"Name","Link","Discipline(s)","Size","Description","Provider(s)","Column2","lat","lng"
"ScienceOpen","https://www.scienceopen.com/","Multidisciplinary",66000000,"Natural and physical sciences, social sciences, and humanities. Incorporates arXiv, PubMed, and SciELO. Integrated with ORCID Altmetric uids. Articles from >25,000 journals.","ScienceOpen Inc.","Berlin, Germany",52.54304091,13.41368358
"Directory of Open Access Journals","https://doaj.org/","Multidisciplinary",5478853,"Articles from 15,000 open access journals (Dec 2020)","Lund University","Lund University",55.71137408,13.20203388
"Google Scholar","https://scholar.google.com/","Multidisciplinary",389000000,"The biggest academic database & search engine (over 390 million records, unofficial estimate)","Google","Mountain View, Californien, USA",37.39873949,-122.0912237
"CountryOfPapers","https://countryofpapers.com/","Multidisciplinary",32000,"Academic journal searcher and comparator engine. Focuses on publication price, speed and journal indexation among different official databases","Clarivate Analytics","Philadelphia, Pennsylvania, USA",39.99406069,-75.15030212
"Civil engineering database","https://cedb.asce.org/CEDBsearch/","Civil engineering",270000,"A bibliographic database covering all of ASCE's publications since 1872","American Society of Civil Engineers","Reston, Virginia, USA",38.94462967,-77.34700189
"Information Bridge: Department of Energy Scientific and Technical Information","https://www.osti.gov/","Multidisciplinary",266000,"Provides free public access to over 266,000 full-text documents and bibliographic citations of Department of Energy (DOE) research report literature. Documents are primarily from 1991 forward.","DOE (OSTI)","Oak Ridge, Tennessee",36.04377056,-84.21053339
"Aminer","www.aminer.org","Computer Science",265034285,"Online service used to index and search academic social networks","Tsinghua University","Tsinghua University",39.99951122,116.3259504
"BASE: Bielefeld Academic Search Engine","https://www.base-search.net/","Multidisciplinary",259497239,"Metadata for 260 million documents from more than 8,000 content providers","Bielefeld University","Universitätsstraße 25, 33615 Bielefeld, Tyskland",52.03715937,8.495144739
"Microsoft Academic","https://www.microsoft.com/en-us/research/publications/","Multidisciplinary",248455650,"Covers publications from over 49,000 journals","Microsoft","Redmond, Washington, USA",47.67229621,-122.1339983
"COnnecting REpositories (CORE)","https://core.ac.uk/","Multidisciplinary",205345147,"A full text aggregator of all open access papers from repositories (institutional, subject, preprints, etc.) and journals. Around 20 million monthly active users.","Open University","Walton Hall, Kents Hill, Milton Keynes MK7 6AA, Storbritannien",52.02450418,-0.710184827
"Semantic Scholar","https://www.semanticscholar.org/?utm_source=google&utm_medium=cpc&utm_campaign=search_br_world_wq&utm_content=&utm_term=semantic%20scholar&gclid=CjwKCAiAsOmABhAwEiwAEBR0ZlMkRPKT0snVd3ykJRe3N4vmtT2bszmQE09jNR6GgxQ4sVfjyfP8-xoCYoMQAvD_BwE","Multidisciplinary",188828724,"Mostly computer science and biomedical publications. Powered by semantic analysis.","Allen Institute for Artificial Intelligence","Seattle, Washington, USA",47.59535033,-122.3331432
"AGRIS: Agricultural database","https://agris.fao.org/agris-search/index.do","Agriculture",12021578,"Covers agriculture, forestry, animal husbandry, aquatic sciences and fisheries, human nutrition, extension literature from over 100 countries. Indexes unpublished scientific and technical reports, theses, conference papers, government publications.","FAO","Rom, Italien",41.91254092,12.4790006
"Crossref","https://www.crossref.org/","Multidisciplinary",111231936,"An official Digital Object Identifier (DOI) Registration Agency of the International DOI Foundation. Metadata about publications, datasets, grants, preprints from 17,633 members (journals, publishers, etc.)","Crossref","Lynnfield, Massachusetts, USA",42.5316111,-71.04017294
"EconBiz","https://www.econbiz.de/","Economics",10000000,"Covers journals, working papers & conferences in business studies and economics","ZBW- German National Library of Economics– Leibniz Information Centre for Economics (ZBW)","ZBW- German National Library of Economics– Leibniz Information Centre for Economics (ZBW)",54.33810793,10.15454248
"ResearchGate","https://www.researchgate.net/","Multidisciplinary","","Commercial social networking site for scientists and researchers. Over 19 million registered users that share their articles, datasets and other research output.","ResearchGate GmbH","Berlin, Tyskland",52.52935458,13.38150691
"Science.gov","https://www.science.gov/","Multidisciplinary","","A gateway to government science information and research results from over 60 databases, over 2,200 websites, and over 200 million pages.","United States Government","Oak Ridge,TN 37831",36.0090217,-84.26261898
"Springer link","https://link.springer.com/","",10000000,"Providing researchers with access to millions of scientific documents from journals","Springer","Heidelberger Pl. 3, 14197 Berlin, Tyskland",52.48063859,13.32119893
"Science direct","https://www.sciencedirect.com/","",1400000,"ScienceDirect is the world's leading source for scientific, technical, and medical research","Elsevier","Amsterdam, Holland",52.37884528,4.877315785
"Taylor and Francis","https://www.tandfonline.com/","Multidisciplinary",45390000,"Search and explore the millions of quality, peer-reviewed journal articles published under the Taylor & Francis and Routledge imprints.","Taylor and Francis","Milton Park, Abingdon-on-Thames, Oxfordshire United Kingdom",51.50306129,-0.128439238
