"Rank","Rank__1","Urban area","Population","County","lat","lng","postal_town","administrative_area_level_2","administrative_area_level_1","political","addresse"
1,1,"Oslo",1000467,"Oslo/Viken",59.9138688,10.7522454,0,0,"none","none","Oslo"
2,2,"Bergen Metropolitan Area","420 000","Vestland",60.39126279999999,5.3220544,0,0,"none","none","Bergen"
3,3,"Stavanger / Sandnes",222697,"Rogaland",58.8532585,5.7329455,0,0,"none","none","Stavanger / Sandnes"
4,4,"Trondheim",183378,"Trøndelag",63.4305149,10.3950528,0,0,"none","none","Trondheim"
5,5,"Drammen",117510,"Viken",59.7440738,10.2044565,0,0,"none","none","Drammen"
6,6,"Fredrikstad / Sarpsborg",112464,"Viken",59.210411,10.9458094,0,0,"Viken","none","Fredrikstad / Sarpsborg"
7,7,"Skien / Porsgrunn",93065,"Vestfold og Telemark",59.1385567,9.6555147,0,0,"none","none","Skien / Porsgrunn"
8,8,"Kristiansand",63441,"Agder",58.15991189999999,8.0182064,0,0,"none","none","Kristiansand"
9,9,"Ålesund",52625,"Møre og Romsdal",62.47222840000001,6.149482099999999,0,0,"none","none","Ålesund"
10,10,"Tønsberg",51887,"Vestfold og Telemark",59.364988,10.3037633,0,0,"none","none","Tønsberg"
11,11,"Moss",47008,"Viken",41.9492645,-87.8895416,0,0,"none","none","Moss"
12,12,"Haugesund",44873,"Rogaland",59.41358100000001,5.267986899999999,0,0,"none","none","Haugesund"
13,13,"Sandefjord",44046,"Vestfold og Telemark",59.1313095,10.2165948,0,0,"none","none","Sandefjord"
14,14,"Arendal",43396,"Agder",58.4617568,8.7724499,0,0,"none","none","Arendal"
15,15,"Bodø",41215,"Nordland",67.28291850000001,14.4150774,0,0,"none","none","Bodø"
16,16,"Tromsø",39762,"Troms og Finnmark",69.6492047,18.9553239,0,0,"none","none","Tromsø"
17,17,"Hamar",27665,"Innlandet",60.7945331,11.0679977,0,0,"none","none","Hamar"
18,18,"Halden",25551,"Viken",59.13299639999999,11.387457,0,0,"none","none","Halden"
19,19,"Larvik",24357,"Vestfold og Telemark",59.0538363,10.0295463,0,0,"none","none","Larvik"
20,20,"Askøy",23438,"Vestland",60.4618726,5.0893297,0,0,"none","none","Askøy"
21,21,"Kongsberg",22047,"Viken",59.66887759999999,9.6501891,0,0,"none","none","Kongsberg"
22,22,"Harstad",20977,"Troms og Finnmark",68.7986342,16.5414503,0,0,"none","none","Harstad"
23,23,"Molde",20957,"Møre og Romsdal",62.73723520000001,7.1607306,0,0,"none","none","Molde"
24,24,"Gjøvik",20549,"Innlandet",60.7954302,10.6916303,0,0,"none","none","Gjøvik"
25,25,"Lillehammer",20536,"Innlandet",61.1152713,10.4662306,0,0,"none","none","Lillehammer"
26,26,"Horten",20469,"Vestfold og Telemark",59.417084,10.4832129,0,0,"none","none","Horten"
27,27,"Ski",19506,"Viken",36.142324,-95.956825,0,"Tulsa County","Oklahoma","none","Ski"
28,28,"Mo i Rana",18866,"Nordland",37.9642529,-91.8318334,0,0,"none","none","Mo"
29,29,"Jessheim",18726,"Viken",60.14758189999999,11.169393,0,0,"none","none","Jessheim"
30,30,"Kristiansund",18412,"Møre og Romsdal",63.11033459999999,7.7280789,0,0,"none","none","Kristiansund"
31,31,"Korsvik",17464,"Agder",58.1447106,8.074438599999999,0,0,"Agder","none","Korsvik"
32,32,"Tromsdalen",16787,"Troms og Finnmark",69.6501953,18.9953622,0,0,"Troms og Finnmark fylke","none","Tromsdalen"
33,33,"Hønefoss",15662,"Viken",60.16822250000001,10.2564171,0,0,"none","none","Hønefoss"
34,34,"Alta",15094,"Troms og Finnmark",36.0855093,-95.86292069999999,0,0,"none","none","Alta"
35,35,"Elverum",14887,"Innlandet",60.88207250000001,11.5624678,0,0,"none","none","Elverum"
36,36,"Narvik",14261,"Nordland",68.4384984,17.4272613,0,0,"none","none","Narvik"
37,37,"Askim",14259,"Viken",59.5834589,11.1629005,0,0,"none","none","Askim"
38,38,"Leirvik",14171,"Vestland",59.77976640000001,5.5005327,0,0,"none","none","Leirvik"
39,39,"Osøyro","14 046","Vestland",60.18385289999999,5.463818799999999,0,0,"none","none","Osøyro"
40,40,"Drøbak",13409,"Viken",59.6633327,10.6307415,0,0,"none","none","Drøbak"
41,41,"Råholt",13156,"Viken",60.27513309999999,11.1790131,0,0,"none","none","Råholt"
42,42,"Vennesla",12920,"Agder",58.2682449,7.973606800000001,0,0,"none","none","Vennesla"
43,43,"Grimstad",12899,"Agder",58.3447019,8.5948668,0,0,"none","none","Grimstad"
44,44,"Nesoddtangen",12803,"Viken",59.86552799999999,10.6594014,0,0,"none","none","Nesoddtangen"
45,45,"Steinkjer",12744,"Trøndelag",64.01501929999999,11.4952627,0,0,"none","none","Steinkjer"
46,46,"Stjørdalshalsen",12737,"Trøndelag",63.4712373,10.9188901,0,0,"Trøndelag","none","Stjørdalshalsen"
47,47,"Kongsvinger",12014,"Innlandet",60.192443,11.9986691,0,0,"none","none","Kongsvinger"
48,48,"Bryne",11961,"Rogaland",58.73579299999999,5.6477347,0,0,"none","none","Bryne"
49,49,"Egersund",11519,"Rogaland",58.4514216,5.9998033,0,0,"none","none","Egersund"
50,50,"Kopervik",11434,"Rogaland",59.2837067,5.306874,0,0,"none","none","Kopervik"
51,51,"Lommedalen",11327,"Viken",59.9549089,10.4896554,0,0,"none","none","Lommedalen"
52,52,"Ålgård/Figgjo",11308,"Rogaland",58.7857405,5.8153532,0,0,"Rogaland","none","Ålgård/Figgjo"
53,53,"Knarrevik/Straume",10988,"Vestland",60.35710129999999,5.1241824,0,0,"none","none","Knarrevik/Straume"
54,54,"Mandal",10851,"Agder",30.4507389,-88.8995437,0,0,"none","none","Mandal"
