"ticker","aktie"
"ES=F","E-Mini S&P 500 Mar 21"
"YM=F","Mini Dow Jones Indus.-$5 Mar 21"
"NQ=F","Nasdaq 100 Mar 21"
"RTY=F","E-mini Russell 2000 Index Futur"
"ZB=F","U.S. Treasury Bond Futures,Mar-"
"ZN=F","10-Year T-Note Futures,Mar-2021"
"ZF=F","Five-Year US Treasury Note Futu"
"ZT=F","2-Year T-Note Futures,Dec-2020"
"GC=F","Gold"
"MGC=F","Micro Gold Futures,Feb-2021"
"SI=F","Silver"
"SIL=F","Micro Silver Futures,Mar-2021"
"PL=F","Platinum Apr 21"
"HG=F","Copper Mar 21"
"PA=F","Palladium Mar 21"
"CL=F","Crude Oil"
"HO=F","Heating Oil Jan 21"
"NG=F","Natural Gas Feb 21"
"RB=F","RBOB Gasoline Jan 21"
"BZ=F","Brent Crude Oil Last Day Financ"
"B0=F","Mont Belvieu LDH Propane (OPIS)"
"ZC=F","Corn Futures,Mar-2021"
"ZO=F","Oat Futures,Mar-2021"
"KE=F","KC HRW Wheat Futures,Mar-2021"
"ZR=F","USD/ZAR - NYCC - Mar21"
"ZM=F","Soybean Meal Futures,Mar-2021"
"ZL=F","Soybean Oil Futures,Mar-2021"
"ZS=F","Soybean Futures,Mar-2021"
"GF=F","Feeder Cattle Futures,Mar-2021"
"HE=F","Lean Hogs Futures,Feb-2021"
"LE=F","Live Cattle Futures,Feb-2021"
"CC=F","Cocoa Mar 21"
"KC=F","Coffee Mar 21"
"CT=F","Cotton Mar 21"
"LB=F","Lumber Nov 20"
"OJ=F","Orange Juice Jan 21"
"SB=F","Sugar #11 Mar 21"
