"ticker","variable","aktie"
"ES=F","E-Mini S&P 500 Mar 21","S&P_500"
"YM=F","Mini Dow Jones Indus.-$5 Mar 21","Mini_Dow_Jones"
"NQ=F","Nasdaq 100 Mar 21","nasdaq"
"RTY=F","E-mini Russell 2000 Index Futur","Russel"
"ZB=F","U.S. Treasury Bond Futures,Mar-","US_treasury_bond"
"ZN=F","10-Year T-Note Futures,Mar-2021","Futures_10_yr"
"ZF=F","Five-Year US Treasury Note Futu","US_treasury_note"
"ZT=F","2-Year T-Note Futures,Dec-2020","Futures_2_yr"
"GC=F","Gold","Gold"
"MGC=F","Micro Gold Futures,Feb-2021","Gold_future"
"SI=F","Silver","Silver"
"SIL=F","Micro Silver Futures,Mar-2021","Silver_futures"
"PL=F","Platinum Apr 21","Platinium"
"HG=F","Copper Mar 21","Copper"
"PA=F","Palladium Mar 21","Palldium"
"CL=F","Crude Oil","Oil"
"HO=F","Heating Oil Jan 21","Heating_oil"
"NG=F","Natural Gas Feb 21","Natural_gas"
"RB=F","RBOB Gasoline Jan 21","Gasoline"
"BZ=F","Brent Crude Oil Last Day Financ","Brent_crude_oil"
"B0=F","Mont Belvieu LDH Propane (OPIS)","Propane"
"ZC=F","Corn Futures,Mar-2021","Corn"
"ZO=F","Oat Futures,Mar-2021","Oat"
"KE=F","KC HRW Wheat Futures,Mar-2021","Wheat"
"ZR=F","USD/ZAR - NYCC - Mar21","USA_ZAR"
"ZM=F","Soybean Meal Futures,Mar-2021","Soybean_meal_futures"
"ZL=F","Soybean Oil Futures,Mar-2021","Soybean_oil_futures"
"ZS=F","Soybean Futures,Mar-2021","Soybean_futures"
"GF=F","Feeder Cattle Futures,Mar-2021","Cattle_futures"
"HE=F","Lean Hogs Futures,Feb-2021","Hogs_futures"
"LE=F","Live Cattle Futures,Feb-2021","Cattle_futures"
"CC=F","Cocoa Mar 21","Mar_cocoa"
"KC=F","Coffee Mar 21","Mar_coffee"
"CT=F","Cotton Mar 21","Mar_cotton"
"LB=F","Lumber Nov 20","Nov_lumber"
"OJ=F","Orange Juice Jan 21","Juice_juice"
"SB=F","Sugar #11 Mar 21","Mar_sugar"
