"Company","Comp_1","Comp_2","Comp_3","Comp_4","Comp_5","Comp_6","Comp_7","Comp_8","Comp_9","Comp_10"
"Atlantic","MOWI.OL","ORK.OL","SALM.OL","LSG.OL","AUSS.OL","AKBM-ME.OL","NRS.OL","GSF.OL","ASA.OL","ANDF-ME.OL"
"Applied_Materials","AMAT","LRCX","KLAC","TER","ENPH","ENTG","MKSI","BRKS","CCMP","AEIS"
"AMD","NVDA","INTC","QCOM","AVGO","TXN","AMD","4966.TWO","MU","ADI","MCHP"
"Nvidia","NVDA","INTC","QCOM","AVGO","TXN","AMD","4966.TWO","MU","ADI","MCHP"
"Bavarian","GMAB.CO","BAVA.CO","ZEAL.CO","ASND","ORPHA.CO","SANION.ST","BIOPOR.CO","FLUO.TE","OV.ST","ALLR.ST"
"Ballard","BLDP.TO","EFL.TO","HPS.A.TO","EGT.V","HMM.A.TO","ESU.V","SSC.V","CTO.V","MVI.H.V","SNRY"
"CREE","NVDA","INTC","QCOM","AVGO","TXN","AMD","4966.TWO","MU","ADI","MCHP"
"Delivery_hero","ZAL.DE","DHER.DE","HFG.DE","JMIA","RKET.DE","ZO1.DE","TTK.DE","WEW.DE","H24.DE","HOC.DE"
"DFDS","MAERSK B.CO","DFDS.CO","DNORD.CO","NORDIC.CO","ERRIA.CO","","","","",""
"Enphase","AMAT","LRCX","KLAC","TER","ENPH","ENTG","MKSI","BRKS","CCMP","AEIS"
"SolarEdge","SEDG","NVMI","CAMT","QLTU.TA","CISY.TA","","","","",""
"Gravity","036570.KS","36570.KS","251270.KS","263750.KQ","078340.KQ","78340.KQ","181710.KS","069080.KQ","69080.KQ","217270.KQ"
"Gomspace","SAAB B.ST","IVSO.ST","CTT.ST","GOMX.ST","AAC.ST","AVT B.ST","SARSYS.NGM","","",""
"Scatec","SSO.OL","AEGA.OL","EAM.OL","","","","","","",""
"Ørsted","ORSTED.CO","","","","","","","","",""
"REC_silicon","REC.OL","","","","","","","","",""
"Sunpower","NVDA","INTC","QCOM","AVGO","TXN","AMD","4966.TWO","MU","ADI","MCHP"
"SMA","WAF.DE","S92.DE","AIXA.DE","SMHN.DE","TPE.DE","M5Z.DE","CTNK.F","PSC.HM","",""
"Taiwan_Semiconductor","PRND.L","SUPD.L","TSM","ASX","TSMC34.SA","IMOS","POSD.L","RLTQY","TSM3.BA","UMC"
"Westport","NFI.TO","WPRT.TO","GPV.V","DYA.TO","BUS.V","KLS.TO","RLPHQ","","",""
"First_solar","NVDA","INTC","QCOM","AVGO","TXN","AMD","4966.TWO","MU","ADI","MCHP"
