"Vare","Vare_2","Masse","Volume","Energi_kj","Kalorier_kcal","Fett_g","Mettet fett_g","Enumettet_fett_g","Flerumettet_fett_g","Karbohydrater_g","Sukkerarter_g","Sukkeralkoholer","Stivelse_g","Kostfiber_g","Protein_g","Salt_g","Land","Merke","Producent","Indeholder_1","Indeholder_2","Indeholder_3","Indeholder_spor_1","Indeholder_spor_2","Indeholder_spor_3"
"Agurk1 stk","","","",44,10,"0,1",0,0,0,"1,2",0,"",0,"0,8","0,8",0,"","","","","","","","",""
"Aluminiumsfolie 29cm20 m","","","","","","","","","","","","","","","","","","","","","","","","",""
"Amerikansk gryte188 gram","",188,"",512,122,"5,1","2,4","","",11,"2,4","","","",8,"0,5","","","","","","","","",""
"Ananasbiter 3 pk eget m.3 pk","","","",238,56,"0,1",0,"","",13,13,"",0,1,"0,3",0,"","","","Indonesia","Kenya","","","",""
"Anthon Berg Marsipanegg124 gram","",124,"","","","","","","","","","","","","","","","","","Danmark","","","","",""
"Appelsin1 kg løsvekt","",1000,"",157,37,"0,1",0,0,0,"7,2",0,"",0,"1,8","0,9",0,"","","","","","","","",""
"Avløpsåpner Pulver Plumbo600 gr","",600,"","","","","","","","","","","","","","","","","","","","","","",""
"Avocado Moden2 pk","","","",1474,358,"33,5","29,7","1,4","0,4","6,2",0,"",0,9,"3,3",0,"","","","","","","","",""
"Bacon med svor","","","",1448,351,"33,3","12,5","","","0,2",0,"","0,2","0,2","12,4","2,2","","","","Norge","","","","",""
"Bakepulver Freia250 gram","",250,"",570,135,0,0,"","","33,5",0,"","",0,"0,1","37,2","","","","Spania","","","","",""
"Bali kyllinggryte91 gr","",91,"",499,119,6,"3,4","","","5,3","3,5","","","",11,"0,6","","","","Norge","","Gluten","Soya","",""
"Ballerina kjeks Nougat205 gr","",205,"",2100,500,23,12,"","",65,32,"","","",6,"0,5","","","","Sverige","","Gluten","Melk","Nøtter","Soya"
"Bamsemums250 gram","",250,"",1623,390,11,"6,6","","",71,56,"","","",5,0,"","","","Norge","","Melk","Soya","",""
"Bananer1 kg løsvekt","",1000,"",352,83,"0,3","0,1",0,"0,1","18,1",0,"","4,4","1,6","1,1",0,"","","","","","","","",""
"Barberskum Regular200 ml","",200,"","","","","","","","","","","","","","","","","","","","","","",""
"Bergensk Fiskesuppe Toro81 gr","",81,"",155,37,"0,7","","","","5,3","2,3","","","","2,2","0,8","","","","","","","","",""
"Bernaisesaus 1 pose","","","",202,48,"1,6","0,3","","","7,1","2,4","","","0,2","1,2","0,9","","","","","","","","",""
"Bernaisesaus Toro4 pakning","","","",202,48,"1,6","0,3","","","7,1","2,4","","","0,2","1,2","0,9","","","","","","","","",""
"Betasuppe Toro112 gr","",112,"",169,40,"0,5","0,1","","","7,1","0,5","","",0,"1,4","0,7","","","","","","","","",""
"Big One Classic Pizza560 gr","",560,"",895,213,"7,9","3,7","","",24,"2,1","","","",11,"1,3","","","","","","","","",""
"Billigst hvetebrød1 stk","","","","","","","","","","","","","","","","","","","","","","","","",""
"Billigste kneip1 stk","","","",1068,255,"3,3","0,4","","","44,2","1,8","","","5,5","8,7","0,9","","","","","","","","",""
"Biola Blåbær1 liter","","","",213,50,"0,1",0,"","","9,4","9,3","","","",3,"0,1","","","","","","","","",""
"Biola Bringebær syrnet1 liter","","",1000,215,51,"0,1",0,"","","9,4","9,2","","","","3,1","0,1","","","","","","","","",""
"Biola Rødbet","","","",195,46,"0,9","0,7","","","6,5","6,4","","","","3,0","0,09","","","","","","","","",""
"Bixit Original300 gram","",300,"",2000,470,20,"2,9",14,"2,8",62,23,"","5,4",8,"0,9","","","","","","","","","",""
"Bixit Sjokolade200 gram","",200,"",2000,480,22,"8,1",12,"2,8",60,29,"","","4,5","7,2","0,7","","","","","","","","",""
"Blomkål1 stk","","","",97,23,"0,2",0,0,"0,1","2,3",0,"",0,"2,3","1,9",0,"","","","","","","","",""
"Blåbær125 gram","",125,"",215,51,"0,9",0,"0,1","0,5","7,5",0,"",0,"4,6",1,0,"","","","","","","","",""
"Bog","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bounty Trio85 gr","",85,"",1966,488,"24,6","21,4","",0,"58,3","47,3","","","1,6","4,1","0,3","","","","","","","","",""
"Bretagne kylling saus27 gram","",27,"",1838,439,"20,7",2,"","","53,6","11,2","","","3,8","7,7","7,6","","","","","","","","",""
"Bringebær125 gram","",125,"",122,29,"0,4",0,0,"0,3","3,2",0,"",0,"","1,1",0,"","","","","","","","",""
"Bringebærgele","","","",336,79,0,0,"","",20,20,"","","",0,"0,2","","","","","","","","",""
"Bringebærsyltetøy eget merke1000 gram","",1000,"","","","","","","","","","","","","","","","","","","","","","",""
"Bringebærsyltetøy Nora400 gr hjemmelaget","",400,"",594,141,"0,6",0,"","",32,31,"","","2,7","0,6",0,"","","","","","","","",""
"Brokkoli1 stk","","","",124,30,"0,3","0,1",0,"0,2","2,1",0,"",0,"2,9","3,2",0,"","","","","","","","",""
"Brun saus med løk","","","",156,37,"1,1","0,1","","","5,7","1,2","","","","0,9","0,9","","","","","","","","",""
"Brun saus uten løk","","","",148,35,"1,2","0,1","","","5,3","0,8","","","0,2","0,7","0,9","","","","","","","","",""
"Budweiser USA4","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bulmers Original5 dl","","",500,177,42,0,0,0,0,"4,3",4,0,0,0,0,0,"","","","","","","","",""
"Bønner i Tomatsaus420 gram","",420,"",351,83,"0,6",0,"0,1",0,14,"5,7","","",0,"3,8","1,2","","","","","","","","",""
"Carlsberg flaske3","","","",100,25,0,0,5,"2,5","0,2",0,0,0,0,0,0,"","","","","","","","",""
