"Vare","Vare_2","Masse","Volume","Energi_kj","Kalorier_kcal","Fett_g","Mettet fett_g","Enumettet_fett_g","Flerumettet_fett_g","Karbohydrater_g","Sukkerarter_g","Sukkeralkoholer","Stivelse_g","Kostfiber_g","Protein_g","Salt_g","Land","Merke","Producent","Indeholder_1","Indeholder_2","Indeholder_3","Indeholder_spor_1","Indeholder_spor_2","Indeholder_spor_3"
"Agurk1_stk","","","",44,10,"0,1",0,0,0,"1,2",0,"",0,"0,8","0,8",0,"","","","","","","","",""
"Aluminiumsfolie_29cm20_m","","","","","","","","","","","","","","","","","","","","","","","","",""
"Amerikansk_gryte188_gram","",188,"",512,122,"5,1","2,4","","",11,"2,4","","","",8,"0,5","Norge","Toro","Orkla foods norge stabburet dv","Gluten","Melk","","","",""
"Ananasbiter_3_pk_eget_m.3_pk","","","",238,56,"0,1",0,"","",13,13,"",0,1,"0,3",0,"","","","","","","","",""
"Anthon_Berg_Marsipanegg124_gram","",124,"","","","","","","","","","","","","","","Danmark","Toms anthon berg","Haugen - gruppen as","Melk","Nøtter","","","",""
"Appelsin1_kg_løsvekt","",1000,"",157,37,"0,1",0,0,0,"7,2",0,"",0,"1,8","0,9",0,"","","","","","","","",""
"Avløpsåpner_Pulver_Plumbo600_gr","",600,"","","","","","","","","","","","","","","","","","","","","","",""
"Avocado_Moden2_pk","","","",1474,358,"33,5","29,7","1,4","0,4","6,2",0,"",0,9,"3,3",0,"","","","","","","","",""
"Bacon_med_svor","","","",1448,351,"33,3","12,5","","","0,2",0,"","0,2","0,2","12,4","2,2","Norge","","","","","","","",""
"Bakepulver_Freia250_gram","",250,"",570,135,0,0,"","","33,5",0,"","",0,"0,1","37,2","Spania","Freia","Mondelez norge as","","","","","",""
"Bali_kyllinggryte91_gr","",91,"",499,119,6,"3,4","","","5,3","3,5","","","",11,"0,6","Norge","Toro","Orkla foods norge stabburet dv","Gluten","Soya","","","",""
"Ballerina_kjeks_Nougat205_gr","",205,"",2100,500,23,12,"","",65,32,"","","",6,"0,5","Sverige","Saetre ballerina","Orkla confectionery & snacks norge as","Gluten","Melk","Nøtter","Soya","","Soya"
"Bamsemums250_gram","",250,"",1623,390,11,"6,6","","",71,56,"","","",5,0,"Norge","Nidar bamsemums","Orkla confectionery & snacks norge as","Melk","Soya","","","",""
"Bananer1_kg_løsvekt","",1000,"",352,83,"0,3","0,1",0,"0,1","18,1",0,"","4,4","1,6","1,1",0,"","","","","","","","",""
"Barberskum_Regular200_ml","",200,"","","","","","","","","","","","","","","","","","","","","","",""
"Bergensk_Fiskesuppe_Toro81_gr","",81,"",155,37,"0,7","","","","5,3","2,3","","","","2,2","0,8","Norge","Toro","Orkla foods norge stabburet dv","Egg","Melk","Gluten","Selleri","Fisk",""
"Bernaisesaus_1_pose","","","",202,48,"1,6","0,3","","","7,1","2,4","","","0,2","1,2","0,9","","","","","","","","",""
"Bernaisesaus_Toro4_pakning","","","",202,48,"1,6","0,3","","","7,1","2,4","","","0,2","1,2","0,9","Norge","Toro","Orkla foods norge stabburet dv","","","","","",""
"Betasuppe_Toro112_gr","",112,"",169,40,"0,5","0,1","","","7,1","0,5","","",0,"1,4","0,7","Norge","Toro","Orkla foods norge stabburet dv","Gluten","Selleri","","","",""
"Big_One_Classic_Pizza560_gr","",560,"",895,213,"7,9","3,7","","",24,"2,1","","","",11,"1,3","Norge","Big one","Orkla foods norge stabburet dv","Gluten","Melk","Soya","","",""
"Billigst_hvetebrød1_stk","","","","","","","","","","","","","","","","","","","","","","","","",""
"Billigste_kneip1_stk","","","",1068,255,"3,3","0,4","","","44,2","1,8","","","5,5","8,7","0,9","Norge","Bakehuset","Bakehuset direkte","Gluten","","","","",""
"Biola_Blåbær1_liter","","","",213,50,"0,1",0,"","","9,4","9,3","","","",3,"0,1","Norge","Biola","Tine sa","Melk","","","","",""
"Biola_Bringebær_syrnet1_liter","","",1000,215,51,"0,1",0,"","","9,4","9,2","","","","3,1","0,1","Norge","Biola","Tine sa","Melk","","","","",""
"Biola_Rødbet","","","",195,46,"0,9","0,7","","","6,5","6,4","","","","3,0","0,09","Norge","Biola","Tine sa","Melk","","","","",""
"Bixit_Original300_gram","",300,"",2000,470,20,"2,9",14,"2,8",62,23,"","5,4",8,"0,9","","Sverige","Saetre bixit","Orkla confectionery & snacks norge as","Gluten","","","","",""
"Bixit_Sjokolade200_gram","",200,"",2000,480,22,"8,1",12,"2,8",60,29,"","","4,5","7,2","0,7","Sverige","Saetre bixit","Orkla confectionery & snacks norge as","Gluten","Melk","Soya","Selleri","Sulfitt",""
"Blomkål1_stk","","","",97,23,"0,2",0,0,"0,1","2,3",0,"",0,"2,3","1,9",0,"","","","","","","","",""
"Blåbær125_gram","",125,"",215,51,"0,9",0,"0,1","0,5","7,5",0,"",0,"4,6",1,0,"","","","","","","","",""
"Bog","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bounty_Trio85_gr","",85,"",1966,488,"24,6","21,4","",0,"58,3","47,3","","","1,6","4,1","0,3","Nederland","Bounty","Mars norge as","Melk","Soya","","","",""
"Bretagne_kylling_saus27_gram","",27,"",1838,439,"20,7",2,"","","53,6","11,2","","","3,8","7,7","7,6","Norge","Toro","Orkla foods norge stabburet dv","","","","","",""
"Bringebær125_gram","",125,"",122,29,"0,4",0,0,"0,3","3,2",0,"",0,"","1,1",0,"","","","","","","","",""
"Bringebærgele","","","",336,79,0,0,"","",20,20,"","","",0,"0,2","","","","","","","","",""
"Bringebærsyltetøy_eget_merke1000_gram","",1000,"","","","","","","","","","","","","","","","","","","","","","",""
