"Vare","Vare_2","Produkter","KIWI","Meny","Obs","Rema100","Spar","Extra","week","Årstal","Dato"
"Agurk1_stk","","Agurk",19.4,21.9,19.9,19.4,21.9,19.4,38,2020,"15.09.2020"
"Champignon1_kg__","","Sjampinjong",46.8,51.9,49.9,46.8,49.9,46.8,38,2020,"15.09.2020"
"Blomkål1_stk","","Blomkål",24.5,26.9,24.9,24.5,25.9,24.5,38,2020,"15.09.2020"
"Sennep_Maille_Dijon380_gram","","",25.3,28.5,27.1,25.4,27.9,25.4,38,2020,"15.09.2020"
"Gilde_original_ovnsbakt_leverpostei190_gr","","",27.9,29.9,28.4,27.9,29.9,27.9,38,2020,"15.09.2020"
"Grillpølser_Gilde600_gr","","",36.9,39.2,38.4,36.9,29.9,36.9,38,2020,"15.09.2020"
"Lettmelk_Tine1_liter","","",17.9,18.9,17.9,17.9,18.9,17.9,38,2020,"15.09.2020"
"Kesam_Vanilje300_gram_vanilje","","",21.4,22.9,23.3,21.9,22.9,21.9,38,2020,"15.09.2020"
"Leverpostei100_gr","","",8.9,9.5,9,8.9,9.5,8.9,38,2020,"15.09.2020"
"Mills_Peanøttsmør350_gram","","",37.9,41.9,40.2,37.9,40.9,37.9,38,2020,"15.09.2020"
"Bringebærsyltetøy_eget_merke1000_gram","","",20.31,20.31,20.3,20.4,20.73,20.3,38,2020,"15.09.2020"
"Tomatpurre_Staveland180_gr","","",7.5,8.5,7.8,7.5,8.5,7.5,38,2020,"15.09.2020"
"Spaghetti_A_la_Capri870_gram","","",28.9,32.5,29.4,28.9,32.5,28.9,38,2020,"15.09.2020"
"Hvit_saus","Toro38 gram","",10.9,11.7,11.6,10.9,11.9,10.9,38,2020,"15.09.2020"
"Brun_saus_uten_løk","Toro44 gram","",10.9,12,11.6,10.9,11.9,10.9,38,2020,"15.09.2020"
"Dolmio_Intens_hvitløk500_gr","","",23.2,24.9,24.8,23.2,24.9,23.2,38,2020,"15.09.2020"
"Idun_Sennep490_gr","","",16.9,18.2,14.9,16.9,18.5,16.9,38,2020,"15.09.2020"
"Idun_Ketchup530_gr","","",16,16.9,14.9,16,17.5,16,38,2020,"15.09.2020"
"Soyasaus_Kikkoman150_ml","","",27.4,31.9,28.7,27.4,29.9,27.4,38,2020,"15.09.2020"
"Taco_spice_mix_3X25G","","",15.4,17.9,16.1,15.4,16.5,15.4,38,2020,"15.09.2020"
"Lipton_Te_Yellow25_poser","","",26.9,30,27.4,26.9,28.5,26.9,38,2020,"15.09.2020"
"Wasa_Rugsprø200gr","","",15.9,17.9,17.2,16.9,18.5,16.9,38,2020,"15.09.2020"
"Bixit_Original300_gram","","",18.9,20.5,14.9,18.9,20.5,18.9,38,2020,"15.09.2020"
"Mariekjeks200_gram","","",10.9,13,12.7,11.9,12.9,11.9,38,2020,"15.09.2020"
"Coca_Cola1","5 liter","",34.2,36.9,34.2,34.2,37.9,34.2,38,2020,"15.09.2020"
"Dobbeldusch_Sport250_ml","","",19.9,21.1,20.7,19.9,21.5,19.9,38,2020,"15.09.2020"
"Whiskas_Sticks_Laks1_stk","","",9.4,10.9,6.3,9.9,10.5,9.9,38,2020,"15.09.2020"
"JIF_Baderom_Spray500_ml","","",39.9,42.3,41.5,39.9,42.9,39.9,38,2020,"15.09.2020"
"JIF_Kjøkken_Spray500_ml","","",34.9,38.5,36.3,34.9,37.5,34.9,38,2020,"15.09.2020"
"Omo_Color1","17 kg","",57.9,61.5,57.9,57.9,62.9,57.9,38,2020,"15.09.2020"
"WC_Duck_Blått1_stk","","",9.9,11.9,10.9,10.4,11.5,10.4,38,2020,"15.09.2020"
"Møllers_Tran500_ml_Naturell","","",106.4,113,111.7,106.4,115,106.4,38,2020,"15.09.2020"
"Barberskum_Regular200_ml","","",16.6,18.3,17.7,16.6,17.5,16.6,38,2020,"15.09.2020"
"Avløpsåpner_Pulver_Plumbo600_gr","","",57.9,62.9,61.9,57.9,62.9,57.9,38,2020,"15.09.2020"
"Bounty_Trio85_gr","","",15.9,18.5,16.9,16.9,11.9,16.9,38,2020,"15.09.2020"
"Lion_King_sjokolade60_gram","","",14.9,16.5,15.1,14.9,16.5,14.9,38,2020,"15.09.2020"
