"Virksomhed","Oprindelsesdato","Kateogori","ticker"
"Austevoll Seafood","11 October 2006","Packaged Foods & Meats","AUSS.OL"
"Bakkafrost","26 March 2010","Packaged Foods & Meats","BAKKA.ol"
"Grieg Seafood","21 June 2007","Packaged Foods & Meats","GSF.ol"
"Lerøy Seafood Group","3 June 2002","Packaged Foods & Meats","LSG.OL"
"Mowi","1 July 1997","Packaged Foods & Meats","Mowi.OL"
"Norway Royal Salmon","29 March 2011","Packaged Foods & Meats","NRS.OL"
"Orkla Group","2 January 1934","Packaged Foods & Meats","ORKLA"
"SalMar","8 May 2007","Packaged Foods & Meats","SalMar"
"Salmones Camanchaca","2 February 2018","Packaged Foods & Meats","SALMON.ol"
"The Scottish Salmon Company","29.apr.11","Packaged Foods & Meats","SSC.ol"
"Andfjord_Salmon","","Packaged Foods & Meats","ANDF.OL"
"atlantic sapphire","","Packaged Foods & Meats","AASZF"
