"Name","Link","Platform","Description","Lokation","lat","lng"
"Reuters","https://www.reuters.com/","England","Reuters.com brings you the latest news from around the world, covering breaking news in markets, business, politics, entertainment, technology","Reuters Building, Canary Wharf, London",51.50435316,-0.020642374
"E24.no","https://e24.no/","Norge","Norges største nettavis for økonomi og næringsliv.","Akersgata 55 0180 OSLO",59.91526893,10.74178263
"Finansavisen.no","https://finansavisen.no/","Norge","I over 26 år har Finansavisen dekket børsnyheter, finansbransjen og næringslivet tettere og bredere enn noen annen norsk avis","Hoffsveien 70 A 0377 Oslo",59.93421348,10.67684355
"Www.dn.no","https://www.dn.no/","Norge","Dagens Næringsliv er Norges viktigste leverandør av nyheter, historier og meninger om næringsliv, økonomi og samfunn","Chr. Krohgs gate 16, 0107 Oslo",59.91474874,10.75958195
"NRK.no","https://www.nrk.no/","Norge","NRK.no er Norges største tilbud på nett: nyheter fra Norge og verden, lokalnyheter, radio- og tv-program, podcast, vær, helse-, kultur-, underholdning","Bjørnstjerne Bjørnsons plass 1, 0340 Oslo",59.93559898,10.71855056
"Børsen","https://borsen.dk/","Danmark","Meget mere end Danmarks førende erhvervsavis. Børsen sætter dagsordenen for erhvervslivet.","Møntergade 19
1140 København K",55.68248877,12.57867787
"BBC News","https://www.bbc.com/news","England","Visit BBC News for up-to-the-minute news, breaking news, video, audio and feature stories.","London, England",51.54478815,-0.170267904
"The Times","https://www.thetimes.co.uk/","England","News and opinion from The Times & The Sunday Times.","1 London Bridge Place London SE1 9GF",51.50523986,-0.087779211
"Financial Times","https://www.ft.com/","England","News, analysis and comment from the Financial Times, the world's leading global business publication.","Bracken House 1 Friday Street London EC4M 9BT",51.51366963,-0.098287067
"Finanzen.net","https://www.finanzen.net/","Tyskland","Aktien, Aktienkurse, Devisenkurse und Währungsrechner, Rohstoffkurse.","Gartenstraße 67, 76135 Karlsruhe, Tyskland",49.00420705,8.38345666
