ds,y
08.09.2020,19.8
25.08.2020,16.9
18.08.2020,21.9
04.08.2020,22.8
21.07.2020,19.9
30.06.2020,10
23.06.2020,10
02.06.2020,19.8
19.05.2020,24.8
12.05.2020,21.8
05.05.2020,21.8
28.04.2020,21.9
14.04.2020,21.9
31.03.2020,21.9
04.02.2020,19.8
14.01.2020,18.8
07.01.2020,17.8
24.12.2019,17.8
10.12.2019,14.5
03.12.2019,14.8
19.11.2019,14.9
22.10.2019,22.8
08.10.2019,19.9
24.09.2019,19.9
10.09.2019,19.9
03.09.2019,18.8
27.08.2019,19.9
13.08.2019,14.9
06.08.2019,14.8
23.07.2019,14.8
09.07.2019,9.8
02.07.2019,9.8
25.06.2019,9.9
18.06.2019,9.9
04.06.2019,14.9
21.05.2019,19.8
07.05.2019,17.9
30.04.2019,19.8
19.03.2019,16
12.03.2019,12.9
26.02.2019,17.9
29.01.2019,10
15.01.2019,10
08.01.2019,19.9
