"Full_navn","Aktie","ticker","Lande"
"A.P. Møller - Mærsk A A/S","Mærsk","MAERSK-B.CO","Danmark"
"Aalborg Boldspilklub A/S","Aalborg_Boldspilklub","AAB.CO","Danmark"
"Agat Ejendomme A/S","Agat_Ejendomme","AGAT.CO","Danmark"
"AGF A/S B","AGF","AGF-B.CO","Danmark"
"Agillic A/S","Agillic","AGILC.CO","Danmark"
"Alefarm Brewing A/S","Alefarm_Brewing","ALEFRM.CO","Danmark"
"ALK-Abelló B A/S","ALK_Abello","ALK-B.CO","Danmark"
"Alm. Brand A/S","Alm_Brand","ALMB.CO","Danmark"
"Ambu A/S","Ambu","AMBU-B.CO","Danmark"
"Astralis Group A/S","Astralis","ASTGRP.CO","Danmark"
"Athena Investments A/S","Athena_Investments","ATHENA.co","Danmark"
"Atlantic Petroleum P/F","Atlantic_Petroleum","ATLA-DKK.CO","Danmark"
"Bang & Olufsen A/S","Bang_og_Olufsen","BO.CO","Danmark"
"BankNordik P/F","BankNordik","BNORDIK-CSE.CO","Danmark"
"Bavarian Nordic A/S","Bavarian","BAVA.CO","Danmark"
"BioPorto A/S","BioPorto","BIOPOR.CO","Danmark"
"Blue Vision A/S A","Blue_Vision","BLVIS-A.CO","Danmark"
"Boliga Gruppen A/S","Boliga","BOLIGA.CO","Danmark"
"Boozt AB","Boozt","BOOZT-DKK.CO","Danmark"
"Brd. Klee B A/S","Brd_Klee","KLEE-B.CO","Danmark"
"Brdr. A & O Johansen præf. A/S","Brdr_A_og_O_Johansen","AOJ-P.CO","Danmark"
"Brdr.Hartmann A/S","BrdrHartmann","HART.CO","Danmark"
"Brøndbyernes IF Fodbold A/S","Brøndbyernes_IF","bif.co","Danmark"
"Carlsberg A A/S","Carlsberg","CARL-A.CO","Danmark"
"cBrain A/S","cBrain","CBRAIN.CO","Danmark"
"Cemat A/S","Cemat","CEMAT.CO","Danmark"
"ChemoMetec A/S","ChemoMetec","CHEMM.CO","Danmark"
"Chr. Hansen Holding A/S","Chr_Hansen","CHRH.CO","Danmark"
"Cleantech Building Materials Plc","Cleantech_Building_Materials","cbm.co","Danmark"
"Coloplast B A/S","Coloplast","COLO-B.CO","Danmark"
"Columbus A/S","Columbus","COLUM.CO","Danmark"
"Conferize A/S","Conferize","confrz.co","Danmark"
"Copenhagen Capital A/S Præf","Copenhagen_Capital","CPHCAP-ST.CO","Danmark"
"D/S Norden","D_S_Norden","DNORD.CO","Danmark"
"Danish Aerospace Company A/S","Danish_Aerospace_Company","DAC.CO","Danmark"
"Danske Andelskassers Bank A/S","Danske_Andelskassers_Bank","DAB.CO","Danmark"
"Danske Bank A/S","Danske_Bank","DANSKE.CO","Danmark"
"Dantax A/S","Dantax","dant.co","Danmark"
"Dataproces Group A/S","Dataproces_Group","DATA.CO","Danmark"
"DecideAct A/S","DecideAct","ACT.CO","Danmark"
"Demant A/S","Demant","DEMANT.CO","Danmark"
"Den Jyske Sparekasse A/S","Den_Jyske_Sparekasse","DJS.CO","Danmark"
"DFDS A/S","DFDS","DFDS.CO","Danmark"
"Djurslands Bank A/S","Djurslands_Bank","DJUR.co","Danmark"
"DSV Panalpina A/S","DSV_Panalpina","DSV.CO","Danmark"
"EAC Invest A/S","EAC_Invest","EAC.CO","Danmark"
"EgnsINVEST Ejd.","EgnsINVEST","egnety.co","Danmark"
"Enalyzer A/S","Enalyzer","ENALYZ.CO","Danmark"
"Erria A/S","Erria","erria.co","Danmark"
"F.E. Bording B A/S","FE_Bording","BORD-B.CO","Danmark"
"Fast Ejendom Danmark A/S","Fast_Ejendom","FED.CO","Danmark"
"FastPassCorp A/S","FastPassCorp","FASTPC.CO","Danmark"
"FirstFarms A/S","FirstFarms","FFARMS.CO","Danmark"
"FLSmidth & Co. A/S","FLSmidth","FLS.CO","Danmark"
"FluoGuide","FluoGuide","fluo.co","Danmark"
"Flügger group A/S B","Flugger_group","FLUG-B.CO","Danmark"
"FOM Technologies A/S","FOM_Technologies","FOM.CO","Danmark"
"Fynske Bank A/S","Fynske_Bank","FYNBK.co","Danmark"
