"ticker","actual","estimate","period","symbol"
"Applied_Materials",1.25,1.1934,"31.12.2020","AMAT"
"Applied_Materials",1.06,0.969,"30.09.2020","AMAT"
"Applied_Materials",0.89,0.9588,"30.06.2020","AMAT"
"Applied_Materials",0.98,0.9486,"31.03.2020","AMAT"
"AMD",0.41,0.3636,"30.09.2020","AMD"
"AMD",0.18,0.1616,"30.06.2020","AMD"
"AMD",0.18,0.1818,"31.03.2020","AMD"
"AMD",0.32,0.3131,"31.12.2019","AMD"
"Nvidia",2.91,2.6214,"31.12.2020","NVDA"
"Nvidia",2.18,2.0094,"30.09.2020","NVDA"
"Nvidia",1.8,1.7238,"30.06.2020","NVDA"
"Nvidia",1.89,1.7034,"31.03.2020","NVDA"
"Bavarian",2.2,-2.4888,"30.06.2020","BAVA.CO"
"Bavarian",12.6,10.9829316,"31.03.2020","BAVA.CO"
"Bavarian",-1.10749,-1.079211,"31.12.2019","BAVA.CO"
"Bavarian",-2.4523,-2.267358,"30.09.2019","BAVA.CO"
"Ballard",-0.05,-0.0422586,"30.06.2020","BLDP.TO"
"Ballard",-0.06,-0.0408,"31.03.2020","BLDP.TO"
"Ballard",-0.04,-0.0408,"31.12.2019","BLDP.TO"
"Ballard",-0.04,-0.0374034,"30.09.2019","BLDP.TO"
"CREE",-0.19,-0.2142,"30.09.2020","CREE"
"CREE",-0.18,-0.1938,"30.06.2020","CREE"
"CREE",-0.14,-0.153,"31.03.2020","CREE"
"CREE",-0.1,-0.0918,"31.12.2019","CREE"
"DFDS",2.21,0,"31.12.2019","DFDS.CO"
"DFDS",10.96,0,"30.09.2019","DFDS.CO"
"DFDS",7.55,0,"30.06.2019","DFDS.CO"
"DFDS",2.09,2.8968,"31.03.2019","DFDS.CO"
"Enphase",0.3,0.2448,"30.09.2020","ENPH"
"Enphase",0.17,0.1428,"30.06.2020","ENPH"
"Enphase",0.38,0.3264,"31.03.2020","ENPH"
"Enphase",0.39,0.3366,"31.12.2019","ENPH"
"SolarEdge",1.21,0.8364,"30.09.2020","SEDG"
"SolarEdge",0.97,0.7038,"30.06.2020","SEDG"
"SolarEdge",0.95,1.275,"31.03.2020","SEDG"
"SolarEdge",1.65,1.2648,"31.12.2019","SEDG"
"Gravity",0.28,0.7752,"30.06.2005","GRVY"
"Gravity",1.04,0,"31.03.2005","GRVY"
"Gomspace",-0.61,-0.1428,"30.06.2020","GOMX.ST"
"Gomspace",-0.78,-0.2652,"31.12.2019","GOMX.ST"
"Gomspace",-0.74,-0.357,"30.09.2019","GOMX.ST"
"Gomspace",-0.81,-0.4896,"30.06.2019","GOMX.ST"
"Scatec",0.54,0.51005,"30.06.2020","SSO.OL"
"Scatec",1.82,0.2525,"31.03.2020","SSO.OL"
"Scatec",-0.1,0.7474,"31.12.2019","SSO.OL"
"Scatec",0.27,0.3939,"30.09.2019","SSO.OL"
"Ørsted",-5.2,0.7672667,"30.06.2020","ORSTED.CO"
"Ørsted",12.8,6.38825,"31.03.2020","ORSTED.CO"
"Ørsted",2.3,5.60045,"31.12.2019","ORSTED.CO"
"Ørsted",2,1.8924067,"30.09.2019","ORSTED.CO"
"REC_silicon",0,0,"30.06.2019","REC.OL"
"REC_silicon",-0.1,0,"31.03.2019","REC.OL"
"REC_silicon",0,-0.201596,"31.12.2018","REC.OL"
"REC_silicon",-0.01,-0.0101,"30.09.2018","REC.OL"
"Sunpower",-0.04,-0.051,"30.09.2020","SPWR"
"Sunpower",-0.1,-0.3978,"30.06.2020","SPWR"
"Sunpower",-0.09,-0.1938,"31.03.2020","SPWR"
"Sunpower",0.23,0.2142,"31.12.2019","SPWR"
"SMA",0.09,-0.101,"30.06.2020","S92.DE"
"SMA",-0.01,0.0707,"31.03.2020","S92.DE"
"SMA",0.054,0.06868,"31.12.2019","S92.DE"
"SMA",0.17,0.1111,"31.03.2017","S92.DE"
"Taiwan_Semiconductor",0.9,0.7777,"30.09.2020","TSM"
"Taiwan_Semiconductor",0.78,0.7777,"30.06.2020","TSM"
"Taiwan_Semiconductor",0.75,0.7373,"31.03.2020","TSM"
"Taiwan_Semiconductor",0.73,0.7272,"31.12.2019","TSM"
"Westport",0.02,-0.067728,"30.06.2020","WPRT.TO"
"Westport",-0.11,-0.04896,"31.03.2020","WPRT.TO"
"Westport",0,0.010812,"31.12.2019","WPRT.TO"
"Westport",0.02,-0.0204,"30.09.2019","WPRT.TO"
"First_solar",1.45,0.6222,"30.09.2020","FSLR"
"First_solar",0.35,0.2346,"30.06.2020","FSLR"
"First_solar",0.85,0.2754,"31.03.2020","FSLR"
"First_solar",2.02,2.7744,"31.12.2019","FSLR"
