"Klokkeslaet","01._Bibliotek_(gnt_af_51_stk)","02._Doegninstitioner__(gnt_af_50_stk)","03._Daginstitutioner_(gnt_af_160_stk)","04._Folkeskoler_(gnt_af_582_stk)","05._Forsyningsanlaeg_(gnt_af_174_stk)","06._Camping_(Hytter/Telte)","07._Vandvaerk","08._Handel/service_(gnt_af_17_stk)","09._Hospitaler_(gnt_af_32_stk)","10._Hoteller_(gnt_af_7_stk)","11._Hustand_","12._Hustand_","13._Hustand_","14._Boligforening","15._Internatskoler/kursuscentre_(gnt_af_39_stk)","16._IT-Service_(gnt_af_21_stk)","17._Kontorer/administration_(gnt_af_322_stk)","18._Laboratorier_(gnt_af_11_stk)","19._Landmand_Kvaeg_og_maelk","20._Museér,_udstillinger_m._v._(gnt_af_23_stk)","21._Plejehjem_(gnt_af_229_stk)","22._Produktioner_(gnt_af_36_stk)","23._Restauranter_(gnt_af_8_stk)","24._Serverrum_(gnt_af_14_stk)","25._Sportsanlaeg_(gnt_af_135_stk)","26._Supermarkeder_(gnt_af_55_stk)","27._Togstationer_(gnt_af_67_stk)","28._Videregående_udd.institutioner_(gnt_af_62_stk)","29._Voksenundervisning_(gnt_af_12_stk)","30._Vaerksteder_(gnt_af_23_stk)"
"2020-01-01 00:00",71.91192055,22.70202017,3.867049932,22.70202017,61.75905228,5.722000122,162.8000031,58.63376617,319.9995422,12.13028574,57.81,1.56,"",13,34.14115429,268.5219421,30.07275391,90.56227112,30.1,22.55017376,17.31889534,62.84063721,7.822249889,123.5959244,21.66517782,41.14448929,16.49499989,181.3754997,9.406083584,31.65160942
"2020-01-01 01:00",72.07121468,22.32651997,3.775768757,22.32651997,62.21544266,5.458000183,189.3999939,59.09111786,317.6907349,11.71971416,55.86,1.58,"",12,32.48656368,267.0038147,30.10804415,88.90372658,37.7,21.98560858,17.19258976,61.59305573,6.365250111,123.0905685,21.62490368,41.26272583,16.68144798,180.8144569,9.929166555,30.25139141
"2020-01-01 02:00",71.61129189,21.18817949,3.801631272,21.18817949,60.86455154,5.518000126,234.3600006,58.87152863,316.2944641,12.27128553,51.79,2.07,"",13,32.51351261,266.539093,29.96447515,90.26409149,34.5,21.36791277,16.67610502,61.67730713,6.076000214,123.1617889,21.64733315,40.92023468,16.44532824,181.2975006,10.54774976,29.73734808
"2020-01-01 03:00",77.64470673,20.88808012,3.709300041,20.88808012,61.57966709,5.539000034,172.3600006,57.54600143,315.0479736,11.87514305,45.7,2.18,"",13,31.31428146,268.0490112,29.94935274,89.67499924,29.5,21.89226151,16.70618343,62.61161041,5.833749771,123.762001,21.52897072,41.21427155,16.68317986,180.7109947,11.15900016,28.39165258
"2020-01-01 04:00",77.7338028,20.08890009,3.713456213,20.08890009,63.83236313,5.289999962,236.3200073,57.71464539,316.5701294,11.1347146,37.15,1.77,"",12,33.43705273,267.7375793,30.03978586,91.02000046,28.9,21.27639151,16.44342375,62.29777908,6.337500095,124.1500015,21.71206665,41.79149246,16.92420912,181.9271927,10.37649989,27.11126089
"2020-01-01 05:00",77.64525795,20.27861977,3.843781292,20.27861977,70.96997643,4.71600008,160.8399963,57.46605682,333.9039612,12.6967144,36.87,1.68,"",12,35.43871689,267.1078186,30.36766148,88.14826965,34.5,21.62904358,17.30272865,64.88339233,6.965000153,124.1778564,22.96862936,43.99183655,17.0524025,183.7457542,11.00908327,27.09447813
"2020-01-01 06:00",79.94454575,21.93854046,4.219487548,21.93854046,76.22881699,4.893000126,227.2799988,58.47411728,373.7077942,13.5170002,35.46,1.64,"",13,36.44838428,270.7298889,31.13108206,91.57772827,40.3,24.72856569,22.01903486,67.00330353,6.987500191,124.5130692,23.3095479,46.17930984,17.23968697,187.4140511,10.99683332,26.5634346
"2020-01-01 07:00",82.88392067,24.7881999,4.459887505,24.7881999,76.78696442,4.909999847,174.1999969,58.56564713,387.283783,14.50114298,37.28,1.63,"",12,38.19361591,272.9076843,31.78386021,88.45809174,48.5,25.42230415,27.8704586,71.83242035,7.281750202,125.5847855,24.66950417,47.46694565,16.68026924,190.3015747,10.60208321,28.0847826
"2020-01-01 08:00",83.21764565,26.04252005,4.429687619,26.04252005,78.83092499,4.913000107,66.44000244,59.52011871,399.0617676,14.8655715,42.6,1.69,"",12,39.07597446,274.1792297,31.65207386,89.39208984,50.2,28.30578232,28.40729666,74.72780609,14.64225006,124.5902176,27.1493187,47.89810944,16.56470156,191.6559792,10.93274975,26.88686943
"2020-01-01 09:00",82.60164642,26.21534014,4.464137554,26.21534014,79.6183567,4.147999763,42.31999969,58.74041367,407.6042175,14.36714292,51.87,2.85,"",12,39.16815472,273.4816284,31.29660749,89.27681732,46.6,33.27599907,31.24810934,71.61250305,13.62349987,124.7597885,27.48322248,47.62192917,14.83492541,190.6945496,10.00224996,23.75786972
