"Klokkeslaet","01_Bibliotek_(gnt_af_51_stk)","02_Doegninstitioner__(gnt_af_50_stk)","03_Daginstitutioner_(gnt_af_160_stk)","04_Folkeskoler_(gnt_af_582_stk)","05_Forsyningsanlaeg_(gnt_af_174_stk)","06_Camping_(Hytter/Telte)","07_Vandvaerk","08_Handel/service_(gnt_af_17_stk)","09_Hospitaler_(gnt_af_32_stk)","10_Hoteller_(gnt_af_7_stk)","11_Hustand_","12_Hustand_","13_Hustand_","14_Boligforening","15_Internatskoler/kursuscentre_(gnt_af_39_stk)","16_IT-Service_(gnt_af_21_stk)","17_Kontorer/administration_(gnt_af_322_stk)","18_Laboratorier_(gnt_af_11_stk)","19_Landmand_Kvaeg_og_maelk","20_Museér,_udstillinger_m_v_(gnt_af_23_stk)","21_Plejehjem_(gnt_af_229_stk)","22_Produktioner_(gnt_af_36_stk)","23_Restauranter_(gnt_af_8_stk)","24_Serverrum_(gnt_af_14_stk)","25_Sportsanlaeg_(gnt_af_135_stk)","26_Supermarkeder_(gnt_af_55_stk)","27_Togstationer_(gnt_af_67_stk)","28_Videregående_uddinstitutioner_(gnt_af_62_stk)","29_Voksenundervisning_(gnt_af_12_stk)","30_Vaerksteder_(gnt_af_23_stk)"
"2020-01-01 00:00",56.74,92.51,73.88,92.09,117.43,43.72,80.79,98.17,80.49,46.71,189.18,187.2,0,129.51,61.82,97.61,79.8,102.16,90.57,66.07,77.33,82.26,54.37,115.67,69.64,58.54,133.71,81.89,51.44,97.37
"2020-01-01 01:00",56.87,90.98,72.14,90.56,118.3,41.7,93.99,98.93,79.91,45.13,182.8,189.6,0,119.55,58.82,97.06,79.89,100.28,113.44,64.42,76.77,80.62,44.25,115.2,69.51,58.71,135.22,81.63,54.3,93.07
"2020-01-01 02:00",56.51,86.34,72.63,85.95,115.73,42.16,116.3,98.57,79.56,47.25,169.48,248.24,0,129.51,58.87,96.89,79.51,101.82,103.81,62.61,74.46,80.74,42.23,115.27,69.58,58.22,133.31,81.85,57.68,91.48
"2020-01-01 03:00",61.27,85.12,70.87,84.73,117.09,42.32,85.53,96.35,79.25,45.73,149.55,261.69,0,129.51,56.7,97.44,79.47,101.15,88.77,64.14,74.59,81.96,40.55,115.83,69.2,58.64,135.24,81.59,61.03,87.34
"2020-01-01 04:00",61.34,81.86,70.95,81.49,121.38,40.42,117.27,96.63,79.63,42.88,121.57,212.55,0,119.55,60.55,97.33,79.71,102.67,86.96,62.34,73.42,81.55,44.05,116.19,69.79,59.46,137.19,82.14,56.75,83.41
"2020-01-01 05:00",61.27,82.64,73.44,82.26,134.95,36.03,79.82,96.21,83.99,48.89,120.65,202.1,0,119.55,64.17,97.1,80.58,99.43,103.81,63.37,77.26,84.93,48.41,116.22,73.83,62.59,138.23,82.96,60.21,83.35
"2020-01-01 06:00",63.08,89.4,80.62,88.99,144.95,37.38,112.79,97.9,94,52.05,116.04,197.41,0,129.51,66,98.42,82.61,103.3,121.27,72.45,98.32,87.71,48.57,116.53,74.92,65.71,139.75,84.61,60.14,81.72
"2020-01-01 07:00",65.4,101.01,85.21,100.55,146.01,37.51,86.45,98.05,97.42,55.84,122,195.25,0,119.55,69.16,99.21,84.34,99.78,145.94,74.49,124.44,94.03,50.62,117.53,79.3,67.54,135.21,85.92,57.98,86.4
"2020-01-01 08:00",65.66,106.13,84.63,105.64,149.9,37.54,32.97,99.65,100.38,57.24,139.41,203.06,0,119.55,70.76,99.67,83.99,100.84,151.06,82.93,126.84,97.82,101.78,116.6,87.27,68.15,134.28,86.53,59.79,82.72
"2020-01-01 09:00",65.18,106.83,85.29,106.34,151.39,31.69,21,98.35,102.53,55.32,169.74,342.44,0,119.55,70.92,99.42,83.05,100.71,140.22,97.5,139.52,93.74,94.7,116.76,88.34,67.76,120.25,86.09,54.7,73.09
