"Fylkesnr_2019","Fylkesnavn_2019","Kommunenr_2019","Kommunenavn_2019","Fylkesnr_2020","Fylkesnavn_2020","Kommunenr_2020","Kommunenavn_2020","Region"
"01","ØSTFOLD","0101","HALDEN",30,"VIKEN",3001,"HALDEN","Vestre Østland"
"01","ØSTFOLD","0104","MOSS",30,"VIKEN",3002,"MOSS","Vestre Østland"
"01","ØSTFOLD","0105","SARPSBORG",30,"VIKEN",3003,"SARPSBORG","Vestre Østland"
"01","ØSTFOLD","0106","FREDRIKSTAD",30,"VIKEN",3004,"FREDRIKSTAD","Vestre Østland"
"01","ØSTFOLD","0111","HVALER",30,"VIKEN",3011,"HVALER","Vestre Østland"
"01","ØSTFOLD","0118","AREMARK",30,"VIKEN",3012,"AREMARK","Vestre Østland"
"01","ØSTFOLD","0119","MARKER",30,"VIKEN",3013,"MARKER","Vestre Østland"
"01","ØSTFOLD","0121","RØMSKOG",30,"VIKEN",3026,"AURSKOG-HØLAND","Vestre Østland"
"01","ØSTFOLD","0122","TRØGSTAD",30,"VIKEN",3014,"INDRE ØSTFOLD","Vestre Østland"
"01","ØSTFOLD","0123","SPYDEBERG",30,"VIKEN",3014,"INDRE ØSTFOLD","Vestre Østland"
"01","ØSTFOLD","0124","ASKIM",30,"VIKEN",3014,"INDRE ØSTFOLD","Vestre Østland"
"01","ØSTFOLD","0125","EIDSBERG",30,"VIKEN",3014,"INDRE ØSTFOLD","Vestre Østland"
"01","ØSTFOLD","0127","SKIPTVET",30,"VIKEN",3015,"SKIPTVET","Vestre Østland"
"01","ØSTFOLD","0128","RAKKESTAD",30,"VIKEN",3016,"RAKKESTAD","Vestre Østland"
"01","ØSTFOLD","0135","RÅDE",30,"VIKEN",3017,"RÅDE","Vestre Østland"
"01","ØSTFOLD","0136","RYGGE",30,"VIKEN",3002,"MOSS","Vestre Østland"
"01","ØSTFOLD","0137","VÅLER (ØSTF.)",30,"VIKEN",3018,"VÅLER (VIKEN)","Vestre Østland"
"01","ØSTFOLD","0138","HOBØL",30,"VIKEN",3014,"INDRE ØSTFOLD","Vestre Østland"
"02","AKERSHUS","0211","VESTBY",30,"VIKEN",3019,"VESTBY","Vestre Østland"
"02","AKERSHUS","0213","SKI",30,"VIKEN",3020,"NORDRE FOLLO","Vestre Østland"
"02","AKERSHUS","0214","ÅS",30,"VIKEN",3021,"ÅS","Vestre Østland"
"02","AKERSHUS","0215","FROGN",30,"VIKEN",3022,"FROGN","Vestre Østland"
"02","AKERSHUS","0216","NESODDEN",30,"VIKEN",3023,"NESODDEN","Vestre Østland"
