"Fylkesnavn_2019","Kommunenr_2019","Kommunenavn_2019","Fylkesnr_2020","Fylkesnavn_2020","Kommunenr_2020","Kommunenavn_2020","DVH_regioner_2019","SIFO_regioner_2019","kommune","kommunenummer"
"ØSTFOLD","0101","HALDEN",30,"VIKEN",3001,"HALDEN","Østre Østland DVH","Østre Østland","halden",3001
"ØSTFOLD","0104","MOSS",30,"VIKEN",3002,"MOSS","Østre Østland DVH","Østre Østland","moss",3002
"ØSTFOLD","0105","SARPSBORG",30,"VIKEN",3003,"SARPSBORG","Østre Østland DVH","Østre Østland","sarpsborg",3003
"ØSTFOLD","0106","FREDRIKSTAD",30,"VIKEN",3004,"FREDRIKSTAD","Østre Østland DVH","Østre Østland","fredrikstad",3004
"ØSTFOLD","0111","HVALER",30,"VIKEN",3011,"HVALER","Østre Østland DVH","Østre Østland","hvaler",3011
"ØSTFOLD","0118","AREMARK",30,"VIKEN",3012,"AREMARK","Østre Østland DVH","Østre Østland","aremark",3012
"ØSTFOLD","0119","MARKER",30,"VIKEN",3013,"MARKER","Østre Østland DVH","Østre Østland","marker",3013
"ØSTFOLD","0121","RØMSKOG",30,"VIKEN",3026,"AURSKOG-HØLAND","Østre Østland DVH","Østre Østland","aurskog-høland",3026
"ØSTFOLD","0122","TRØGSTAD",30,"VIKEN",3014,"INDRE ØSTFOLD","Østre Østland DVH","Østre Østland","indre østfold",3014
"ØSTFOLD","0123","SPYDEBERG",30,"VIKEN",3014,"INDRE ØSTFOLD","Østre Østland DVH","Østre Østland","indre østfold",3014
"ØSTFOLD","0124","ASKIM",30,"VIKEN",3014,"INDRE ØSTFOLD","Østre Østland DVH","Østre Østland","indre østfold",3014
"ØSTFOLD","0125","EIDSBERG",30,"VIKEN",3014,"INDRE ØSTFOLD","Østre Østland DVH","Østre Østland","indre østfold",3014
"ØSTFOLD","0127","SKIPTVET",30,"VIKEN",3015,"SKIPTVET","Østre Østland DVH","Østre Østland","skiptvet",3015
"ØSTFOLD","0128","RAKKESTAD",30,"VIKEN",3016,"RAKKESTAD","Østre Østland DVH","Østre Østland","rakkestad",3016
"ØSTFOLD","0135","RÅDE",30,"VIKEN",3017,"RÅDE","Østre Østland DVH","Østre Østland","råde",3017
"ØSTFOLD","0136","RYGGE",30,"VIKEN",3002,"MOSS","Østre Østland DVH","Østre Østland","moss",3002
"ØSTFOLD","0137","VÅLER (ØSTF.)",30,"VIKEN",3018,"VÅLER (VIKEN)","Østre Østland DVH","Østre Østland","våler (viken)",3018
"ØSTFOLD","0138","HOBØL",30,"VIKEN",3014,"INDRE ØSTFOLD","Østre Østland DVH","Østre Østland","indre østfold",3014
"AKERSHUS","0211","VESTBY",30,"VIKEN",3019,"VESTBY","Østre Østland DVH","Østre Østland","vestby",3019
"AKERSHUS","0213","SKI",30,"VIKEN",3020,"NORDRE FOLLO","Østre Østland DVH","Østre Østland","nordre follo",3020
"AKERSHUS","0214","ÅS",30,"VIKEN",3021,"ÅS","Østre Østland DVH","Østre Østland","ås",3021
"AKERSHUS","0215","FROGN",30,"VIKEN",3022,"FROGN","Østre Østland DVH","Østre Østland","frogn",3022
"AKERSHUS","0216","NESODDEN",30,"VIKEN",3023,"NESODDEN","Østre Østland DVH","Østre Østland","nesodden",3023
"AKERSHUS","0217","OPPEGÅRD",30,"VIKEN",3020,"NORDRE FOLLO","Østre Østland DVH","Østre Østland","nordre follo",3020
"AKERSHUS","0219","BÆRUM",30,"VIKEN",3024,"BÆRUM","Østre Østland DVH","Østre Østland","bærum",3024
