"Aktivitet","Start_dato","Slut_dato","Resourcer"
"1. Forretningsforståelse","01.09.2021","13.09.2021",""
"1.1 Afgør forretningsmål","01.09.2021","05.09.2021",""
"1.2 Vurdere situation","05.09.2021","09.09.2021",""
"1.3 Afgøre data mål til koncept","09.09.2021","13.09.2021",""
"2. Data forståelse","13.09.2021","03.10.2021",""
"2.1 Dataindhentning","13.09.2021","17.09.2021",""
"2.2. Beskriv data","17.09.2021","21.09.2021",""
"2.2.1 Data kvalitet","21.09.2021","25.09.2021",""
"2.3 Udforsk data","25.09.2021","29.09.2021",""
"2.4 Vurdere driftsløsning til metodik","29.09.2021","03.10.2021",""
"3. Dataforberedelse","04.10.2021","28.10.2021",""
"3.1. Udvælg data","04.10.2021","08.10.2021",""
"3.2 Rengør data","08.10.2021","12.10.2021",""
"3.3 Konstruere data","12.10.2021","16.10.2021",""
"3.4 Integere data","16.10.2021","20.10.2021",""
"3.5 Formatere data","20.10.2021","24.10.2021",""
"3.6 Sæt data mål for metode","24.10.2021","28.10.2021",""
"4. Modellering","28.10.2021","13.11.2021",""
"4.1 Vælg model teknik","28.10.2021","01.11.2021",""
"4.2 Genere test design","01.11.2021","05.11.2021",""
"4.3 Byg model","05.11.2021","09.11.2021",""
"4.4. Vurdere model","09.11.2021","13.11.2021",""
"5. Evaluering","13.11.2021","18.11.2021",""
"5.1 Evaluer resultater","13.11.2021","17.11.2021",""
"5.1 Vurdere forløb","17.11.2021","21.11.2021",""
"5.3 Afgør videre trin","21.11.2021","25.11.2021",""
"6. Implementering","25.11.2021","30.11.2021",""
"6.1 Planlæg implementering","25.11.2021","29.11.2021",""
"6.2 Planlæg monitorering og vedlighold","29.11.2021","03.12.2021",""
"6.3 Producere rapport","03.12.2021","07.12.2021",""
"6.4 Vurdere rapport","07.12.2021","11.12.2021",""
