"Niveau_1","Niveau_2","Niveau_3","Eksempel","Start_dato","Slut_dato","Resourcer","Fremskridt","Niveau"
"1. Forretningsforståelse","1. Forretningsforståelse","1. Forretningsforståelse","","01.09.2021","31.10.2021","",25,1
"1. Forretningsforståelse","1.1 Afgør forretningsmål","1.1 Afgør forretningsmål","","02.09.2021","18.09.2021","",10,2
"1. Forretningsforståelse","1.1 Afgør forretningsmål","1.1.1 Organisation","","03.09.2021","04.09.2021","",11,3
"1. Forretningsforståelse","1.1 Afgør forretningsmål","1.1.1.1 Udvikle organisationskort","","04.09.2021","05.09.2021","",12,4
"1. Forretningsforståelse","1.1 Afgør forretningsmål","1.1.1.2 Identificer nøglepersoner","","05.09.2021","06.09.2021","",13,4
"1. Forretningsforståelse","1.1 Afgør forretningsmål","1.1.1.3 Identificer en intern sponsor","","06.09.2021","07.09.2021","",14,4
"1. Forretningsforståelse","1.1 Afgør forretningsmål","1.1.1.4 Angiv, om der er en styregruppe","","07.09.2021","08.09.2021","",15,4
"1. Forretningsforståelse","1.1 Afgør forretningsmål","1.1.1.5 Identificer de forretningsenheder, der er berørt af projektet","","08.09.2021","09.09.2021","",16,4
"1. Forretningsforståelse","1.1 Afgør forretningsmål","1.1.2  Problem kompleks","","09.09.2021","10.09.2021","",17,3
"1. Forretningsforståelse","1.1 Afgør forretningsmål","1.1.2.1 Identificer problemkomplekset","","10.09.2021","11.09.2021","",17,4
"1. Forretningsforståelse","1.1 Afgør forretningsmål","1.1.2.2 Beskriv problemet generelt","","11.09.2021","12.09.2021","",17,4
"1. Forretningsforståelse","1.1 Afgør forretningsmål","1.1.2.3 Kontroller den aktuelle status for projektet","","12.09.2021","13.09.2021","",17,4
"1. Forretningsforståelse","1.1 Afgør forretningsmål","1.1.2.4 Afklar forudsætningerne for projektet","","13.09.2021","14.09.2021","",17,4
"1. Forretningsforståelse","1.1 Afgør forretningsmål","1.1.2.5 Identificer målgrupper for projektresultatet","","14.09.2021","15.09.2021","",17,4
"1. Forretningsforståelse","1.1 Afgør forretningsmål","1.1.2.6 Identificer brugernes behov og forventninger","","15.09.2021","16.09.2021","",17,4
"1. Forretningsforståelse","1.1 Afgør forretningsmål","1.2.2.7 Beskriv løsninger, der i øjeblikket bruges til at løse problemet","","16.09.2021","17.09.2021","",17,4
"1. Forretningsforståelse","1.1 Afgør forretningsmål","1.2.2.8 Beskriv fordelene og ulemperne ved den nuværende løsning","","17.09.2021","18.09.2021","",17,4
"1. Forretningsforståelse","1.1 Afgør forretningsmål","1.1.3 Forretningsmål","","18.09.2021","22.09.2021","",17,3
"1. Forretningsforståelse","1.1 Afgør forretningsmål","1.1.3.1 Beskriv uformelt problemkomplekset","","19.09.2021","20.09.2021","",17,4
"1. Forretningsforståelse","1.1 Afgør forretningsmål","1.1.3.2 Angiv alle forretningsspørgsmål så præcist som muligt","","20.09.2021","21.09.2021","",17,4
"1. Forretningsforståelse","1.1 Afgør forretningsmål","1.1.3.3 Angiv forventede forretnings fordele","","21.09.2021","22.09.2021","",17,4
"1. Forretningsforståelse","1.2 Vurdere situation","1.2 Vurdere situation","","22.09.2021","02.10.2021","",87,2
"1. Forretningsforståelse","1.2 Vurdere situation","1.2.1 Identificere hardware","","23.09.2021","24.09.2021","",87,3
"1. Forretningsforståelse","1.2 Vurdere situation","1.2.1.1 Etablere tilgjengeligheten av hardware","","24.09.2021","25.09.2021","",87,4
"1. Forretningsforståelse","1.2 Vurdere situation","1.2.2 Identificere data og viden","","25.09.2021","26.09.2021","",87,3
"1. Forretningsforståelse","1.2 Vurdere situation","1.2.2.1 Identificere data kilder","","26.09.2021","27.09.2021","",87,4
"1. Forretningsforståelse","1.2 Vurdere situation","1.2.2.2 Identificere typer af data kilder","online, eksperter, dokumentation","27.09.2021","28.09.2021","",87,4
"1. Forretningsforståelse","1.2 Vurdere situation","1.2.2.3 Identificere informations kilder","","28.09.2021","29.09.2021","",87,4
"1. Forretningsforståelse","1.2 Vurdere situation","1.2.2.4 Identificere typer af informations kilder","online, eksperter, dokumentation","29.09.2021","30.09.2021","",87,4
"1. Forretningsforståelse","1.2 Vurdere situation","1.2.2.5 Undersøge tilgængelig værktøjer og tekniker","","30.09.2021","01.10.2021","",87,4
"1. Forretningsforståelse","1.2 Vurdere situation","1.2.2.6 Beskriv relevant baggrunds information","","01.10.2021","02.10.2021","",87,4
