"Longitude","Latitude"
3,54
3.5,54
4,54
4.5,54
5,54
5.5,54
6,54
6.5,54
7,54
7.5,54
8,54
8.5,54
9,54
9.5,54
10,54
10.5,54
11,54
11.5,54
12,54
12.5,54
13,54
13.5,54
14,54
14.5,54
15,54
15.5,54
16,54
16.5,54
17,54
17.5,54
18,54
18.5,54
19,54
19.5,54
20,54
20.5,54
21,54
21.5,54
22,54
22.5,54
23,54
23.5,54
24,54
24.5,54
25,54
25.5,54
26,54
26.5,54
27,54
27.5,54
28,54
28.5,54
29,54
29.5,54
30,54
30.5,54
31,54
3,54.5
3.5,54.5
4,54.5
4.5,54.5
5,54.5
5.5,54.5
6,54.5
6.5,54.5
7,54.5
7.5,54.5
8,54.5
8.5,54.5
9,54.5
9.5,54.5
10,54.5
10.5,54.5
11,54.5
11.5,54.5
12,54.5
12.5,54.5
13,54.5
13.5,54.5
14,54.5
14.5,54.5
15,54.5
15.5,54.5
16,54.5
16.5,54.5
17,54.5
17.5,54.5
18,54.5
18.5,54.5
19,54.5
19.5,54.5
20,54.5
20.5,54.5
21,54.5
21.5,54.5
22,54.5
22.5,54.5
23,54.5
23.5,54.5
24,54.5
24.5,54.5
25,54.5
25.5,54.5
26,54.5
26.5,54.5
27,54.5
27.5,54.5
28,54.5
28.5,54.5
29,54.5
29.5,54.5
30,54.5
30.5,54.5
31,54.5
3,55
3.5,55
4,55
4.5,55
5,55
5.5,55
6,55
6.5,55
7,55
7.5,55
8,55
8.5,55
9,55
9.5,55
10,55
10.5,55
11,55
11.5,55
12,55
12.5,55
13,55
13.5,55
14,55
14.5,55
15,55
15.5,55
16,55
16.5,55
17,55
17.5,55
18,55
18.5,55
19,55
19.5,55
20,55
20.5,55
21,55
21.5,55
22,55
22.5,55
23,55
23.5,55
24,55
24.5,55
25,55
25.5,55
26,55
26.5,55
27,55
27.5,55
28,55
28.5,55
29,55
29.5,55
30,55
30.5,55
31,55
3,55.5
3.5,55.5
4,55.5
4.5,55.5
5,55.5
5.5,55.5
6,55.5
6.5,55.5
7,55.5
7.5,55.5
8,55.5
8.5,55.5
9,55.5
9.5,55.5
10,55.5
10.5,55.5
11,55.5
11.5,55.5
12,55.5
12.5,55.5
13,55.5
13.5,55.5
14,55.5
14.5,55.5
15,55.5
15.5,55.5
16,55.5
16.5,55.5
17,55.5
17.5,55.5
18,55.5
18.5,55.5
19,55.5
19.5,55.5
20,55.5
20.5,55.5
21,55.5
21.5,55.5
22,55.5
22.5,55.5
23,55.5
23.5,55.5
24,55.5
24.5,55.5
25,55.5
25.5,55.5
26,55.5
26.5,55.5
27,55.5
27.5,55.5
28,55.5
28.5,55.5
29,55.5
29.5,55.5
30,55.5
30.5,55.5
31,55.5
3,56
3.5,56
4,56
4.5,56
5,56
5.5,56
6,56
6.5,56
7,56
7.5,56
8,56
8.5,56
9,56
9.5,56
10,56
10.5,56
11,56
11.5,56
12,56
12.5,56
13,56
13.5,56
14,56
14.5,56
15,56
15.5,56
16,56
16.5,56
17,56
17.5,56
18,56
18.5,56
19,56
19.5,56
20,56
20.5,56
21,56
21.5,56
22,56
22.5,56
23,56
23.5,56
24,56
24.5,56
25,56
25.5,56
26,56
26.5,56
27,56
27.5,56
28,56
28.5,56
29,56
29.5,56
30,56
30.5,56
31,56
3,56.5
3.5,56.5
4,56.5
4.5,56.5
5,56.5
5.5,56.5
6,56.5
6.5,56.5
7,56.5
7.5,56.5
8,56.5
8.5,56.5
9,56.5
9.5,56.5
10,56.5
10.5,56.5
11,56.5
11.5,56.5
12,56.5
12.5,56.5
13,56.5
13.5,56.5
14,56.5
14.5,56.5
15,56.5
15.5,56.5
16,56.5
16.5,56.5
17,56.5
17.5,56.5
18,56.5
18.5,56.5
19,56.5
19.5,56.5
20,56.5
20.5,56.5
21,56.5
21.5,56.5
22,56.5
22.5,56.5
23,56.5
23.5,56.5
24,56.5
24.5,56.5
25,56.5
25.5,56.5
26,56.5
26.5,56.5
27,56.5
27.5,56.5
28,56.5
28.5,56.5
29,56.5
29.5,56.5
30,56.5
30.5,56.5
31,56.5
3,57
3.5,57
4,57
4.5,57
5,57
5.5,57
6,57
6.5,57
7,57
7.5,57
8,57
8.5,57
9,57
9.5,57
10,57
10.5,57
11,57
11.5,57
12,57
12.5,57
13,57
13.5,57
14,57
14.5,57
15,57
15.5,57
16,57
16.5,57
17,57
17.5,57
18,57
18.5,57
19,57
19.5,57
20,57
20.5,57
21,57
21.5,57
22,57
22.5,57
23,57
23.5,57
24,57
24.5,57
25,57
25.5,57
26,57
26.5,57
27,57
27.5,57
28,57
28.5,57
29,57
29.5,57
30,57
30.5,57
31,57
3,57.5
3.5,57.5
4,57.5
4.5,57.5
5,57.5
5.5,57.5
6,57.5
6.5,57.5
7,57.5
7.5,57.5
8,57.5
8.5,57.5
9,57.5
9.5,57.5
10,57.5
10.5,57.5
11,57.5
11.5,57.5
12,57.5
12.5,57.5
13,57.5
13.5,57.5
14,57.5
14.5,57.5
15,57.5
15.5,57.5
16,57.5
16.5,57.5
17,57.5
17.5,57.5
18,57.5
18.5,57.5
19,57.5
19.5,57.5
20,57.5
20.5,57.5
21,57.5
21.5,57.5
22,57.5
22.5,57.5
23,57.5
23.5,57.5
