"Grønt","Jan","Feb","Mar","Apr","Mai","Jun","Jul","Aug","Sep","Okt","Nov","Des"
"eple",1,1,1,1,0.5,0.5,0.5,1,1,1,1,1
"aprikos",0,0,0,0,0,0,0.5,0.5,0.5,0,0,0
"pære",0.5,0.5,0,0,0,0,0,1,1,1,1,0.5
"blåbær",0,0,0,0,0,0,1,1,1,0,0,0
"bjørnebær",0,0,0,0,0,0,1,1,1,0.5,0,0
"jordbær",0,0,0,0.5,1,1,1,0.5,0.5,0,0,0
"bringebær",0,0,0,0,0.5,1,1,0.5,0.5,0.5,0,0
"hyllebær",0,0,0,0,0,0,0,0,1,1,0,0
"stikkelsbær",0,0,0,0,0,0.5,1,1,0.5,0,0,0
"banan",0,0,0,0,0,0,0,0,0,0,0,0
"rabarbra",0.5,0.5,0.5,1,1,0.5,0.5,0,0,0,0,0
"paprika",0,0,0,0,0,0,1,1,1,0.5,0,0
"ananas",0,0,0,0,0,0,0,0,0,0,0,0
"avokado",0,0,0,0,0,0,0,0,0,0,0,0
"daddel",0,0,0,0,0,0,0,0,0,0,0,0
"Fig",0,0,0,0,0,0,0,0,0,0,0,0
"granateple",0,0,0,0,0,0,0,0,0,0,0,0
"grapefuit",0,0,0,0,0,0,0,0,0,0,0,0
"rips",0,0,0,0,0,1,1,1,0,0,0,0
"persimmon",0,0,0,0,0,0,0,0,0,0,0,0
"Prikkete pære",0,0,0,0,0,0,0,0,0,0,0,0
"physalis",0,0,0,0,0,0,0,0.5,0.5,0.5,0,0
"starfuit",0,0,0,0,0,0,0,0,0,0,0,0
"kiwi",0,0,0,0,0,0,0,0,0,0,0,0
"kokos",0,0,0,0,0,0,0,0,0,0,0,0
"litchi",0,0,0,0,0,0,0,0,0,0,0,0
"mango",0,0,0,0,0,0,0,0,0,0,0,0
"vannmelon",0,0,0,0,0,0,0,0,0,0,0,0
"gulplomme",0,0,0,0,0,0,0,1,1,0,0,0
"nektarin",0,0,0,0,0,0,0.5,0.5,0.5,0,0,0
"papaya",0,0,0,0,0,0,0,0,0,0,0,0
"pasjonsfrukt",0,0,0,0,0,0,0,0,0,0,0,0
"fersken",0,0,0,0,0,0,0.5,0.5,0.5,0,0,0
"plomme",0,0,0,0,0,0,1,1,1,1,0,0
"sviske",0,0,0,0,0,0,1,1,1,1,0,0
"dragonfruit",0,0,0,0,0,0,0,0,0,0,0,0
"kvede",0,0,0,0,0,0,0,0,0.5,0.5,0.5,0
"kirsebær",0,0,0,0,0,0.5,1,1,0.5,0,0,0
"druer",0,0,0,0,0,0,0,0,1,1,0,0
"amla",0,0,0,0,0,0,0,0,0,0,0,0
"oransje",0,0,0,0,0,0,0,0,0,0,0,0
"sitron",0,0,0,0,0,0,0,0,0,0,0,0
"kalk",0,0,0,0,0,0,0,0,0,0,0,0
"klementin",0,0,0,0,0,0,0,0,0,0,0,0
"bryllupsreise",0,0,0,0,0,0,0,0,0,0,0,0
"nashi",0,0,0,0,0,0,0,0,0,0,0,0
"johannesbrød",0,0,0,0,0,0,0,0,0,0,0,0
"kastanje",0,0,0,0,0,0,0,0,0.5,1,0.5,0
"rosehofte",0,0,0,0,0,0,0,0,0,0.5,0.5,0
"guava",0,0,0,0,0,0,0,0,0,0,0,0
"Markejordbær",0,0,0,0,0,0,0,0,0,0,0,0
"sorb",0,0,0,0,0,0,0,0.3,0.3,0.3,0,0
"tranebær",0,0,0,0,0,0,0,0,0,0,0,0
"tyttebær",0,0,0,0,0,0,0,0,0,0,0,0
"tyttebær",0,0,0,0,0,0,0,0.5,0.5,0.5,0,0
"aubergine",0,0,0,0,0,0,0,0.5,0.5,0.5,0,0
"batavia",0,0,0,0,0.5,0.5,0.5,0.5,0,0,0,0
"spinat",0.5,0.5,0.5,0.5,0.5,1,1,1,1,0.5,0.5,0.5
"sellerigrønn",0,0,0,0,0,0,1,1,1,1,0.5,0
"blomkål",0,0,0,0,0.5,1,1,1,1,0.5,0,0
"grønne bønner",0,0,0,0.5,1,1,1,1,0.5,0,0,0
"brokkoli",0,0,0,0,0,0,0,1,1,0.5,0,0
"champignon",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
"sikori",0.5,0.5,0.5,0.5,0,0,0,0,0,0.5,0.5,0.5
"isfjell",0,0,0,0,0,1,1,1,1,0,0,0
"endiv",0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
"feltsalad",0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0.5
"hodesalat",0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0
"lollorossa",0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
"radicchio",0,0,0,0,0,0,0,0,0,0,0,0
"kinakål",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
"erter",0,0,0,0,0,0.5,0.5,0.5,0,0,0,0
"fennikel",0,0,0,0,0,0,0,1,1,1,0.5,0
"grønn løk",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
"søt mais",0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0
"grønnkål",1,1,0.5,0,0,0,0,0,0.5,1,1,1
"agurk",0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,0.5,0.5,0.5
