"Dato","eple","aprikos","pære","blåbær","bjørnebær","jordbær","bringebær","hyllebær","stikkelsbær","banan","rabarbra","paprika","ananas","avokado","daddel","Fig","granateple","grapefuit","rips","persimmon","Prikkete pære","physalis","starfuit","kiwi","kokos","litchi","mango","vannmelon","gulplomme","nektarin","papaya","pasjonsfrukt","fersken","plomme","sviske","dragonfruit","kvede","kirsebær","druer","amla","oransje","sitron","kalk","klementin","bryllupsreise","nashi","johannesbrød","kastanje","rosehofte","guava","Markejordbær","sorb","tranebær","tyttebær","tyttebær__1","aubergine","batavia","spinat","sellerigrønn","blomkål","grønne bønner","brokkoli","champignon","sikori","isfjell","endiv","feltsalad","hodesalat","lollorossa","radicchio","kinakål","erter","fennikel","grønn løk","søt mais","grønnkål","agurk","potet","gulrot","selleri","kålrabi","purre","Chard","pastinakk","smallradish","reddik","rosenkål","rødbet","purkål","asparges","spisskål","tomat","hvit kål","savoy","squash","søtpotet","pakchoi","artisjokk","gresskar","løk"
"01.01.2021",1,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0.5,0,0,0.5,0,0,0,0.5,0,0,0.5,0,1,0.5,0.5,0.5,0.5,0.5,1,0,1,0.5,1,1,1,0,0,0,0,1,0.5,0,0,0,0,0,0.5
"02.01.2021",1,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0.5,0,0,0.5,0,0,0,0.5,0,0,0.5,0,1,0.5,0.5,0.5,0.5,0.5,1,0,0,0.5,1,0.5,1,0,0,0,0,1,0.5,0,0,0,0,0,0.5
"03.01.2021",1,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0.5,0,0,0.5,0,0,0,0.5,0,0,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,1,0,0,0.5,1,0,1,0,0,0,0,1,0.5,0,0,0,0,0,0.5
"04.01.2021",1,0,0,0,0,0.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0.5,0.5,0,0,0.5,0.5,0,0,0.5,0,0,0.5,0,0,0.5,0.5,0.5,0.5,1,1,0,0,0.5,1,0,0.5,0,1,0,0,1,1,0,0,0,0,0,0.5
"05.01.2021",0.5,0,0,0,0,1,0.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0.5,1,0,0.5,0,0,0.5,0,0.5,0.5,0,0.5,0,0,0.5,0,0,0.5,0.5,0.5,1,1,1,1,0,1,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0.5
"06.01.2021",0.5,0,0,0,0,1,1,0,0.5,0,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,1,1,0,0.5,0,1,0.5,0,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0.5,1,1,1,1,1,1,0,1,1,0,1,0.5,1,1,0,1,1,1,0,1,0,0,0.5
"07.01.2021",0.5,0.5,0,1,1,1,1,0,1,0,0.5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,1,1,1,0,0.5,0,1,0.5,0,0.5,0.5,0,0.5,0.5,0,0.5,0.5,0,0.5,1,1,1,1,1,1,0,1,1,0,1,0.5,0,1,1,1,1,1,0,1,0,0,0.5
"08.01.2021",1,0.5,1,1,1,0.5,0.5,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.5,0,0,0,0,0,0,1,0.5,0,0,0.5,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0.5,0.5,0.5,1,1,1,1,1,0.5,0,1,0.5,0,0.5,0.5,0,0.5,0.5,1,0.5,0.5,0,1,1,1,1,1,1,1,0,0.5,1,0,1,0.5,0,1,1,1,1,1,0,1,1,1,0.5
"09.01.2021",1,0.5,1,1,1,0.5,0.5,1,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,1,0.5,0,0,0.5,1,1,0,0.5,0.5,1,0,0,0,0,0,0,0,0,0.5,0,0,0,0.3,0,0,0.5,0.5,0,1,1,1,0.5,1,0.5,0,1,0.5,0,0.5,0.5,0,0.5,0,1,0.5,0.5,0.5,1,1,1,1,1,1,1,0,0.5,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0.5
"10.01.2021",1,0,1,0,0.5,0,0.5,1,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.5,0,1,0,0,0,0,0,0,0,0,1,0.5,0,0,0.3,0,0,0.5,0.5,0,0.5,1,0.5,0,0.5,0.5,0.5,0,0.5,0,0.5,0.5,0,0.5,0,1,0.5,0.5,1,0.5,1,0.5,1,1,1,1,0,0.5,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0.5
"11.01.2021",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0.5,0.5,0,0.5,0,0,0.5,0,0.5,0,0.5,0.5,0.5,1,0.5,0.5,0.5,1,1,1,0,1,0.5,1,1,1,1,0,1,0,1,1,0,0,1,0,1,0.5
"12.01.2021",1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0.5,0,0.5,0.5,0,0.5,0,0.5,0,0,0.5,0,1,0.5,0.5,0.5,0.5,0.5,1,0,1,0.5,1,1,1,1,0,0.5,0,1,0.5,0,0,0,0,1,0.5
