"Dato","Eple","Aprikos","Pære","Blåbær","Bjørnebær","Jordbær","Bringebær","Hyllebær","Stikkelsbær","Banan","Rabarbra","Paprika","Ananas","Avokado","Daddel","Fig","Granateple","Grapefuit","Rips","Persimmon","Prikkete Pære","Physalis","Starfuit","Kiwi","Kokos","Litchi","Mango","Melon","Gulplomme","Nektarin","Papaya","Pasjonsfrukt","Fersken","Plomme","Sviske","Dragonfruit","Kvede","Kirsebær","Druer","Amla","Appelsin","Sitron","Kalk","Klementin","Bryllupsreise","Nashi","Johannesbrød","Kastanje","Rosehofte","Guava","Markejordbær","Sorb","Tranebær","Tyttebær","Tyttebær__1","Aubergine","Batavia","Spinat","Sellerigrønn","Blomkål","Grønne Bønner","Brokkoli","Champignon","Sikori","Isfjell","Endiv","Feltsalad","Hodesalat","Lollorossa","Radicchio","Kinakål","Erter","Fennikel","Grønn Løk","Søt Mais","Grønnkål","Agurk","Potet","Gulrot","Selleri","Kålrabi","Purre","Chard","Pastinakk","Smallradish","Reddik","Rosenkål","Rødbet","Purkål","Asparges","Spisskål","Tomat","Hvit Kål","Savoy","Squash","Søtpotet","Pakchoi","Artisjokk","Gresskar","Løk"
"01.01.2021",1,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0.5,0,0,0.5,0,0,0,0.5,0,0,0.5,0,1,0.5,0.5,0.5,0.5,0.5,1,0,1,0.5,1,1,1,0,0,0,0,1,0.5,0,0,0,0,0,0.5
"02.01.2021",1,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0.5,0,0,0.5,0,0,0,0.5,0,0,0.5,0,1,0.5,0.5,0.5,0.5,0.5,1,0,0,0.5,1,0.5,1,0,0,0,0,1,0.5,0,0,0,0,0,0.5
"03.01.2021",1,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0.5,0,0,0.5,0,0,0,0.5,0,0,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,1,0,0,0.5,1,0,1,0,0,0,0,1,0.5,0,0,0,0,0,0.5
"04.01.2021",1,0,0,0,0,0.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0.5,0.5,0,0,0.5,0.5,0,0,0.5,0,0,0.5,0,0,0.5,0.5,0.5,0.5,1,1,0,0,0.5,1,0,0.5,0,1,0,0,1,1,0,0,0,0,0,0.5
"05.01.2021",0.5,0,0,0,0,1,0.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0.5,1,0,0.5,0,0,0.5,0,0.5,0.5,0,0.5,0,0,0.5,0,0,0.5,0.5,0.5,1,1,1,1,0,1,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0.5
"06.01.2021",0.5,0,0,0,0,1,1,0,0.5,0,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,1,1,0,0.5,0,1,0.5,0,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0.5,1,1,1,1,1,1,0,1,1,0,1,0.5,1,1,0,1,1,1,0,1,0,0,0.5
"07.01.2021",0.5,0.5,0,1,1,1,1,0,1,0,0.5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,1,1,1,0,0.5,0,1,0.5,0,0.5,0.5,0,0.5,0.5,0,0.5,0.5,0,0.5,1,1,1,1,1,1,0,1,1,0,1,0.5,0,1,1,1,1,1,0,1,0,0,0.5
"08.01.2021",1,0.5,1,1,1,0.5,0.5,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.5,0,0,0,0,0,0,1,0.5,0,0,0.5,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0.5,0.5,0.5,1,1,1,1,1,0.5,0,1,0.5,0,0.5,0.5,0,0.5,0.5,1,0.5,0.5,0,1,1,1,1,1,1,1,0,0.5,1,0,1,0.5,0,1,1,1,1,1,0,1,1,1,0.5
"09.01.2021",1,0.5,1,1,1,0.5,0.5,1,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,1,0.5,0,0,0.5,1,1,0,0.5,0.5,1,0,0,0,0,0,0,0,0,0.5,0,0,0,0.3,0,0,0.5,0.5,0,1,1,1,0.5,1,0.5,0,1,0.5,0,0.5,0.5,0,0.5,0,1,0.5,0.5,0.5,1,1,1,1,1,1,1,0,0.5,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0.5
"10.01.2021",1,0,1,0,0.5,0,0.5,1,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.5,0,1,0,0,0,0,0,0,0,0,1,0.5,0,0,0.3,0,0,0.5,0.5,0,0.5,1,0.5,0,0.5,0.5,0.5,0,0.5,0,0.5,0.5,0,0.5,0,1,0.5,0.5,1,0.5,1,0.5,1,1,1,1,0,0.5,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0.5
"11.01.2021",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0.5,0.5,0,0.5,0,0,0.5,0,0.5,0,0.5,0.5,0.5,1,0.5,0.5,0.5,1,1,1,0,1,0.5,1,1,1,1,0,1,0,1,1,0,0,1,0,1,0.5
"12.01.2021",1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0.5,0,0.5,0.5,0,0.5,0,0.5,0,0,0.5,0,1,0.5,0.5,0.5,0.5,0.5,1,0,1,0.5,1,1,1,1,0,0.5,0,1,0.5,0,0,0,0,1,0.5
