"Produkter","Verdi_andel_Tallene er inkl. 15 % mva","Salg_i_verdi_1000_NOK_2018","Salg_i_verdi_1000_NOK_2019","Endring_i_%_fra_2018_til_2019","Type","Sum","Lookup_navn","Norsk_2018","Import_2018","Total_2018","Norsk_2019","Import_2019","Total_2019","Endring_2018-2019","Endring_2020-2019_gjennomsnitt","Kg_pr_capita_i_2019","Overordnet_type","Oprindeligt_navn","Folketallet_gjennemsnit_2019","Kg_pr_capita_i_20192","Kategorie"
"Tomat",34.6,1619662,1580574,-2.4,"Grønnsaksfrukter","Enhed","Tomat",12486,24872,37358,12416,24540,36956,-0.011,0.014,6.9,"Grønnsaker","Tomat**",5347896,6.91,"Grønnsaker og poteter"
"Agurk",23.6,1052580,1077694,2.4,"Grønnsaksfrukter","Enhed","Agurk",16602,9557,26159,17853,9524,27377,0.047,0.032,5.1,"Grønnsaker","Agurk",5347896,5.12,"Grønnsaker og poteter"
"Avokado",20.1,822533,919500,11.8,"Grønnsaksfrukter","Enhed","Avokado",0,12778,12778,0,13959,13959,0.092,0.117,2.6,"FRUKT","Avokado",5347896,2.61,"Grønnsaker og poteter"
"Paprika",16.9,740691,772438,4.3,"Grønnsaksfrukter","Enhed","Paprika",91,19539,19630,63,19936,19999,0.019,0.038,3.7,"Grønnsaker","Paprika",5347896,3.74,"Grønnsaker og poteter"
"Squash",1.7,64787,77084,19,"Grønnsaksfrukter","Enhed","Squash",374,2748,3122,310,2811,3121,0,0.047,0.6,"Grønnsaker","Squash *",5347896,0.58,"Grønnsaker og poteter"
"Brokkoli",34.8,291333,324685,11.4,"Kålvekster","Enhed","Brokkoli",2972,8498,11470,3148,8700,11848,0.033,0.026,2.2,"Grønnsaker","Brokkoli",5347896,2.22,"Grønnsaker og poteter"
"Blomkål",23.7,214981,221040,2.8,"Kålvekster","Enhed","Blomkål",4458,5262,9720,4871,5527,10398,0.07,0.009,1.9,"Grønnsaker","Blomkål",5347896,1.94,"Grønnsaker og poteter"
"Hodekål",13.7,128599,127477,-0.9,"Kålvekster","Enhed","Hodekål",9500,1488,10988,9445,2337,11782,0.072,-0.009,2.2,"Grønnsaker","Hodekål",5347896,2.2,"Grønnsaker og poteter"
"Kålrot",14.6,131570,135674,3.1,"Kålvekster","Enhed","Kålrot",12530,54,12584,11599,344,11943,-0.051,0.004,2.2,"Grønnsaker","Kålrot",5347896,2.23,"Grønnsaker og poteter"
"Kinakål",6.1,57874,56617,-2.2,"Kålvekster","Enhed","Kinakål",1790,1661,3451,1849,1703,3552,0.029,-0.004,0.7,"Grønnsaker","Kinakål",5347896,0.66,"Grønnsaker og poteter"
"Rosenkål",3.6,31435,33462,6.4,"Kålvekster","Enhed","Rosenkål",376,318,694,484,396,880,0.268,0.108,0.2,"Grønnsaker","Rosenkål",5347896,0.16,"Grønnsaker og poteter"
