"Name","Link","Discipline(s)","Size","Description","Provider(s)","Lokation","lat","lng"
"ScienceOpen","https://www.scienceopen.com/","Multidisciplinary",66000000,"Natural and physical sciences, social sciences, and humanities. Incorporates arXiv, PubMed, and SciELO. Integrated with ORCID Altmetric uids. Articles from >25,000 journals.","ScienceOpen Inc.","Berlin, Germany",53.48460936,13.45600126
"Directory of Open Access Journals","https://doaj.org/","Multidisciplinary",5478853,"Articles from 15,000 open access journals (Dec 2020)","Lund University","Lund University",56.61427153,14.1532197
"Google Scholar","https://scholar.google.com/","Multidisciplinary",389000000,"The biggest academic database & search engine (over 390 million records, unofficial estimate)","Google","Mountain View, Californien, USA",37.61008383,-121.1835825
"CountryOfPapers","https://countryofpapers.com/","Multidisciplinary",32000,"Academic journal searcher and comparator engine. Focuses on publication price, speed and journal indexation among different official databases","Clarivate Analytics","Philadelphia, Pennsylvania, USA",40.22295094,-74.74788816
"Civil engineering database","https://cedb.asce.org/CEDBsearch/","Civil engineering",270000,"A bibliographic database covering all of ASCE's publications since 1872","American Society of Civil Engineers","Reston, Virginia, USA",39.19306441,-76.79833501
"Information Bridge: Department of Energy Scientific and Technical Information","https://www.osti.gov/","Multidisciplinary",266000,"Provides free public access to over 266,000 full-text documents and bibliographic citations of Department of Energy (DOE) research report literature. Documents are primarily from 1991 forward.","DOE (OSTI)","Oak Ridge, Tennessee",36.39750064,-84.18315409
"Aminer","https://www.aminer.org","Computer Science",265034285,"Online service used to index and search academic social networks","Tsinghua University","Tsinghua University",40.11990489,116.6216299
"BASE: Bielefeld Academic Search Engine","https://www.base-search.net/","Multidisciplinary",259497239,"Metadata for 260 million documents from more than 8,000 content providers","Bielefeld University","Universitätsstraße 25, 33615 Bielefeld, Tyskland",52.98452476,9.199690333
"Microsoft Academic","https://www.microsoft.com/en-us/research/publications/","Multidisciplinary",248455650,"Covers publications from over 49,000 journals","Microsoft","Redmond, Washington, USA",48.05865558,-121.6835597
"COnnecting REpositories (CORE)","https://core.ac.uk/","Multidisciplinary",205345147,"A full text aggregator of all open access papers from repositories (institutional, subject, preprints, etc.) and journals. Around 20 million monthly active users.","Open University","Walton Hall, Kents Hill, Milton Keynes MK7 6AA, Storbritannien",52.33650374,-0.594763276
"Semantic Scholar","https://www.semanticscholar.org/?utm_source=google&utm_medium=cpc&utm_campaign=search_br_world_wq&utm_content=&utm_term=semantic%20scholar&gclid=CjwKCAiAsOmABhAwEiwAEBR0ZlMkRPKT0snVd3ykJRe3N4vmtT2bszmQE09jNR6GgxQ4sVfjyfP8-xoCYoMQAvD_BwE","Multidisciplinary",188828724,"Mostly computer science and biomedical publications. Powered by semantic analysis.","Allen Institute for Artificial Intelligence","Seattle, Washington, USA",47.79477645,-121.9077174
"AGRIS: Agricultural database","https://agris.fao.org/agris-search/index.do","Agriculture",12021578,"Covers agriculture, forestry, animal husbandry, aquatic sciences and fisheries, human nutrition, extension literature from over 100 countries. Indexes unpublished scientific and technical reports, theses, conference papers, government publications.","FAO","Rom, Italien",42.75641905,13.17692506
"Crossref","https://www.crossref.org/","Multidisciplinary",111231936,"An official Digital Object Identifier (DOI) Registration Agency of the International DOI Foundation. Metadata about publications, datasets, grants, preprints from 17,633 members (journals, publishers, etc.)","Crossref","Lynnfield, Massachusetts, USA",42.55329798,-70.61720926
"EconBiz","https://www.econbiz.de/","Economics",10000000,"Covers journals, working papers & conferences in business studies and economics","ZBW- German National Library of Economics– Leibniz Information Centre for Economics (ZBW)","ZBW- German National Library of Economics– Leibniz Information Centre for Economics (ZBW)",54.73287897,10.86433001
"ResearchGate","https://www.researchgate.net/","Multidisciplinary","","Commercial social networking site for scientists and researchers. Over 19 million registered users that share their articles, datasets and other research output.","ResearchGate GmbH","Berlin, Tyskland",53.23734105,14.14232294
"Science.gov","https://www.science.gov/","Multidisciplinary","","A gateway to government science information and research results from over 60 databases, over 2,200 websites, and over 200 million pages.","United States Government","Oak Ridge,TN 37831",36.12376705,-83.34697472
"Springer link","https://link.springer.com/","",10000000,"Providing researchers with access to millions of scientific documents from journals","Springer","Heidelberger Pl. 3, 14197 Berlin, Tyskland",52.99207911,14.02328804
"Science direct","https://www.sciencedirect.com/","",1400000,"ScienceDirect is the world's leading source for scientific, technical, and medical research","Elsevier","Amsterdam, Holland",52.51420001,5.013104547
"Taylor and Francis","https://www.tandfonline.com/","Multidisciplinary",45390000,"Search and explore the millions of quality, peer-reviewed journal articles published under the Taylor & Francis and Routledge imprints.","Taylor and Francis","Milton Park, Abingdon-on-Thames, Oxfordshire United Kingdom",52.20910054,0.865602902
