"Dato","Emne","Ansvarlig","Timer","Type"
"2021-02-02","Kursinformasjon, Strandhaugen JF introduktion","Stevik",2,"F"
"2021-02-05","Forretnings forståelse: Afgør forretningsmål & Vurdere situation","Frausig",2,"F"
"2021-02-09","Drift og effektivitet","Stevik",2,"F"
"2021-02-12","Lean produksjonssystem/stabilitet","Stevik",2,""
"2021-02-16","Standardisering/Just in Time","Stevik",2,"F"
"2021-02-19","Kvalitet/involvering/planlegging","Stevik",2,"F"
"2021-02-23","Forretnings forståelse: Afgøre data mål og udarbejd projektplan","Frausig",2,"F"
"2021-02-26","Data forståelse Dataindhetning  Databeskrivelse","Frausig",2,"F"
"2021-03-02","Data forståelse: Udforsk data","Frausig",2,"F"
"2021-03-05","Kvalitet/involvering/planlegging","Stevik",2,"F"
"2021-03-09","Grunnprinsipper for styring (kap1 og 10)","Strandhagen",2,"F"
"2021-03-12","Flyt og layout (kap 7)","Strandhagen",2,"F"
"2021-03-16","ERP/MRP (kap 14 + og (15))","Strandhagen",2,"F"
"2021-03-19","ERP/MRP (kap 14 + og (15))","Strandhagen",2,"F"
"2021-03-23","OEE","Stevik",2,"F"
"2021-03-26","OEE data eksempel","Frausig",2,"F"
"2021-04-06","Lean som operativt styringsverktøy","Strandhagen",2,"F"
"2021-04-09","Digitalisering og Lean","Strandhagen",2,"F"
"2021-04-13","?","Strandhagen",2,"F"
"2021-04-16","Data forståelse: Vurder driftsløsninger til metodik","Frausig",2,"F"
"2021-04-20","Perspektivering til digital driftsledelse","Frausig",2,"F"
"2021-04-23","?","Strandhagen",2,"F"
"2021-04-27","Six sigma","Stevik",2,""
"2021-04-30","Presentasjon","Frausig",2,"F"
"2021-05-04","Sig sigma data","Frausig",2,"F"
"2021-05-07","Test","","","T"
