,navn,addresse,Org_nr,Sektor,godkjenning
0,Wild Supply AS,"Kinnavegen 29 , 5310 HAUGLANDSHELLA",Org. nr. 000 000 000,"Foredling, import og omsetning",Gyldig fra 05.03.2020 til 30.12.2021
1,Wilson Kirsten Aalstveit og Jeremy,"Lykkjavegen 212 , 3560 HEMSEDAL",Org. nr. 969 089 874,Økologisk landbruksproduksjon,Gyldig fra 05.03.2020 til 30.12.2021
2,Winepartners Nordic AS,"Tollbugata 8 A , 0152 OSLO",Org. nr. 999 647 278,"Foredling, import og omsetning",Gyldig fra 01.12.2020 til 30.12.2021
3,Winning Brands AS,"Postboks 139 Skøyen , 0212 OSLO",Org. nr. 997 808 029,"Foredling, import og omsetning",Gyldig fra 16.03.2020 til 30.12.2021
4,Winther Gård Leila Hyvønen,"Djupdalsvn. 131 , 7100 RISSA",Org. nr. 979 923 171,Økologisk landbruksproduksjon,Gyldig fra 15.11.2020 til 30.12.2021
5,Wirgenes Tore Jardar,"Lågendalsveien 2600 , 3282 KVELDE",Org. nr. 987 317 434,"Foredling, import og omsetning",Gyldig fra 27.04.2020 til 30.12.2021
6,Wold Arvid,"Jamtlandsvegen 3353 , 7660 VUKU",Org. nr. 969 292 157,Økologisk landbruksproduksjon,Gyldig fra 08.12.2020 til 30.12.2021
7,Wold Hans Erik,"Øvre Bolli 97 , 6493 LYNGSTAD",Org. nr. 969 395 924,Økologisk landbruksproduksjon,Gyldig fra 09.11.2020 til 30.12.2021
8,Wold-Hansen Jon Herman,"Bettumvn. 263 , 3178 VÅLE",Org. nr. 985 891 923,Økologisk landbruksproduksjon,Gyldig fra 02.11.2020 til 30.12.2021
9,Wolden Snorre,"Selvlia 36 , 7318 AGDENES",Org. nr. 924 364 807,Økologisk landbruksproduksjon,Gyldig fra 13.07.2020 til 30.12.2021
10,Wølneberg Terje,"Trondheimsv - Jessheim 98D , 2050 JESSHEIM",Org. nr. 969 287 129,Økologisk landbruksproduksjon,Gyldig fra 05.05.2020 til 30.12.2021
11,Wølner Kristian og Beate,"Såkrokveien 71 , 1923 SØRUM",Org. nr. 969 309 300,Økologisk landbruksproduksjon,Gyldig fra 26.05.2020 til 30.12.2021
12,World Wines AS,"Skibåsen 42 A , 4636 KRISTIANSAND S",Org. nr. 984 025 815,"Foredling, import og omsetning",Gyldig fra 16.11.2020 til 30.12.2021
13,Wormstrand Elisabeth,"Tuskinvegen 261, Ruud Søndre , 2219 BRANDVAL",Org. nr. 969 358 212,Økologisk landbruksproduksjon,Gyldig fra 16.06.2020 til 30.12.2021
14,Wøyen Kari,"Vikveien 521 , 3185 SKOPPUM",Org. nr. 997 706 285,Økologisk landbruksproduksjon,Gyldig fra 27.09.2020 til 30.12.2021
16,A. Nilsson & Co AS Fruktringen Oslo,"Håndverksveien 31 , 1405 LANGHUS",Org. nr. 914 653 177,"Foredling, import og omsetning",Gyldig fra 02.12.2020 til 30.12.2021
17,A. Strøm-Larsen AS,"Vogtsgt 53 , 0477 OSLO",Org. nr. 933 112 993,"Foredling, import og omsetning",Gyldig fra 02.12.2020 til 30.12.2021
18,A.C. Perch's Thehandel Norge AS,"Kirkegata 5 , 0153 OSLO",Org. nr. 914 114 063,"Foredling, import og omsetning",Gyldig fra 09.09.2020 til 30.12.2021
19,Aabakken Guro Karoline,"Helgbustadveien 81 , 7243 KVENVÆR",Org. nr. 998 460 573,"Foredling, import og omsetning",Gyldig fra 07.07.2020 til 30.12.2021
