"Vare","Vare_2"
"Agurk1 stk",""
"Aluminiumsfolie 29cm20 m",""
"Amerikansk gryte188 gram",""
"Ananasbiter 3 pk eget m.3 pk",""
"Anthon Berg Marsipanegg124 gram",""
"Appelsin1 kg løsvekt",""
"Avløpsåpner Pulver Plumbo600 gr",""
"Avocado Moden2 pk",""
"Bacon med svor",""
"Bakepulver Freia250 gram",""
"Bali kyllinggryte91 gr",""
"Ballerina kjeks Nougat205 gr",""
"Bamsemums250 gram",""
"Bananer1 kg løsvekt",""
"Barberskum Regular200 ml",""
"Bergensk Fiskesuppe Toro81 gr",""
"Bernaisesaus 1 pose",""
"Bernaisesaus Toro4 pakning",""
"Betasuppe Toro112 gr",""
"Big One Classic Pizza560 gr",""
"Billigst hvetebrød1 stk",""
"Billigste kneip1 stk",""
"Biola Blåbær1 liter",""
"Biola Bringebær syrnet1 liter",""
"Biola Rødbet",""
"Bixit Original300 gram",""
"Bixit Sjokolade200 gram",""
"Blomkål1 stk",""
"Blåbær125 gram",""
"Bog",""
"Bounty Trio85 gr",""
"Bretagne kylling saus27 gram",""
"Bringebær125 gram",""
"Bringebærgele",""
"Bringebærsyltetøy eget merke1000 gram",""
"Bringebærsyltetøy Nora400 gr hjemmelaget",""
"Brokkoli1 stk",""
"Brun saus med løk",""
"Brun saus uten løk",""
"Budweiser USA4",""
"Bulmers Original5 dl",""
"Bønner i Tomatsaus420 gram",""
"Carlsberg flaske3",""
"Carlsberg pilsner5 dl",""
"Champignon1 kg",""
"Cheez Doodles120 gr",""
"Chili Sauce",""
"Chillikreps med aioli180 gr",""
"Coca Cola 4 plastflasker4x1",""
"Coca Cola plastflaske5 dl",""
"Coca Cola1",""
"Corona1 stk",""
"Daim Dobbel Freia56 gr",""
"Daim Strøssel Freia100 gr",""
"Dansk Salami",""
"Delikat rekesalat200 gram",""
"Dent Chrush","Dent Crush"
"Dobbeldusch Sport250 ml",""
"Dolmio Classico500 gr",""
"Dolmio Intens hvitløk500 gr",""
"Druer1 beger røde",""
"Edamer850 gram",""
"Egg billigste type12 stk",""
"Eggnudler eget merke250 gr",""
"Ekte kokt skinke",""
"Ekte Remulade",""
"Enchilada the kit657 gram",""
"Ertestuing 5 minutter Toro164 gr",""
"Familiens Fiskegrateng1 kilo",""
"Fanta Appelsin1",""
"Farris naturell1",""
"Farris Sitron1",""
"Favoritt Salami",""
"Fenalår Stranda100 gram",""
"Ferskgjær original50 gram",""
"Firkløver Freia200 gr",""
"Fisherman`s Friend Orig20 gr",""
"Fisherman`s Friend Salmia25 gr",""
"Fishermans`s Friend Mint25 gr",""
"Fiskeboller eget merke800 gram",""
"FiskekakerBilligste type 500 gr",""
"Fiskepinner Findus750 gram",""
"Fjordland Havregrøt370 gram",""
"Fjordland Kylling Sweet & sour460 gr",""
"Fjordland Pasta med ost og skinkesaus350 gr",""
"Fjordland risgrøt970 gr",""
