"Vare","Vare_2"
"Agurk1_stk",""
"Aluminiumsfolie_29cm20_m",""
"Amerikansk_gryte188_gram",""
"Ananasbiter_3_pk_eget_m.3_pk",""
"Anthon_Berg_Marsipanegg124_gram",""
"Appelsin1_kg_løsvekt",""
"Avløpsåpner_Pulver_Plumbo600_gr",""
"Avocado_Moden2_pk",""
"Bacon_med_svor",""
"Bakepulver_Freia250_gram",""
"Bali_kyllinggryte91_gr",""
"Ballerina_kjeks_Nougat205_gr",""
"Bamsemums250_gram",""
"Bananer1_kg_løsvekt",""
"Barberskum_Regular200_ml",""
"Bergensk_Fiskesuppe_Toro81_gr",""
"Bernaisesaus_1_pose",""
"Bernaisesaus_Toro4_pakning",""
"Betasuppe_Toro112_gr",""
"Big_One_Classic_Pizza560_gr",""
"Billigst_hvetebrød1_stk",""
"Billigste_kneip1_stk",""
"Biola_Blåbær1_liter",""
"Biola_Bringebær_syrnet1_liter",""
"Biola_Rødbet",""
"Bixit_Original300_gram",""
"Bixit_Sjokolade200_gram",""
"Blomkål1_stk",""
"Blåbær125_gram",""
"Bog",""
"Bounty_Trio85_gr",""
"Bretagne_kylling_saus27_gram",""
"Bringebær125_gram",""
"Bringebærgele",""
"Bringebærsyltetøy_eget_merke1000_gram",""
"Bringebærsyltetøy_Nora400_gr_hjemmelaget",""
"Brokkoli1_stk",""
"Brun_saus_med_løk",""
"Brun_saus_uten_løk",""
"Budweiser_USA4",""
"Bulmers_Original5_dl",""
"Bønner_i_Tomatsaus420_gram",""
"Carlsberg_flaske3",""
"Carlsberg_pilsner5_dl",""
"Champignon1_kg__",""
"Cheez_Doodles120_gr",""
"Chili_Sauce",""
"Chillikreps_med_aioli180_gr",""
"Coca_Cola_4_plastflasker4x1",""
"Coca_Cola_plastflaske5_dl",""
"Coca_Cola1",""
"Corona1_stk",""
"Daim_Dobbel_Freia56_gr",""
"Daim_Strøssel_Freia100_gr_",""
"Dansk_Salami",""
"Delikat_rekesalat200_gram",""
"Dent_Chrush","Dent Crush"
"Dobbeldusch_Sport250_ml",""
"Dolmio_Classico500_gr",""
"Dolmio_Intens_hvitløk500_gr",""
"Druer1_beger_røde",""
"Edamer850_gram",""
"Egg_billigste_type12_stk",""
"Eggnudler_eget_merke250_gr",""
"Ekte_kokt_skinke",""
"Ekte_Remulade",""
"Enchilada_the_kit657_gram",""
"Ertestuing_5_minutter_Toro164_gr",""
"Familiens_Fiskegrateng1_kilo",""
"Fanta_Appelsin1",""
"Farris_naturell1",""
"Farris_Sitron1",""
"Favoritt_Salami",""
"Fenalår_Stranda100_gram",""
"Ferskgjær_original50_gram",""
"Firkløver_Freia200_gr",""
"Fisherman`s_Friend_Orig20_gr",""
"Fisherman`s_Friend_Salmia25_gr",""
"Fishermans`s_Friend_Mint25_gr",""
"Fiskeboller_eget_merke800_gram",""
"FiskekakerBilligste_type_500_gr",""
