"City","Country","Population","Last update","Time zone"
"Oslo","Norway","580,000","10.06.2014","Europe/Oslo"
"Bergen","Norway","213,585","3/15/18","Europe/Oslo"
"Trondheim","Norway","147,139","2/26/19","Europe/Oslo"
"Stavanger","Norway","121,610","3/15/18","Europe/Oslo"
"Drammen","Norway","90,722","3/15/18","Europe/Oslo"
"Fredrikstad","Norway","72,760","2/27/19","Europe/Oslo"
"Kristiansand","Norway","63,814","2/26/19","Europe/Oslo"
"Sandnes","Norway","63,032","4/26/17","Europe/Oslo"
"Tromsø","Norway","52,436","5/20/19","Europe/Oslo"
"Sarpsborg","Norway","52,159","4/26/17","Europe/Oslo"
"Skien","Norway","50,595","12.02.2016","Europe/Oslo"
"Ålesund","Norway","44,096","12.02.2016","Europe/Oslo"
"Sandefjord","Norway","42,654","9/20/17","Europe/Oslo"
"Haugesund","Norway","40,321","03.01.2012","Europe/Oslo"
"Tønsberg","Norway","38,914","4/26/17","Europe/Oslo"
"Moss","Norway","34,492","4/26/17","Europe/Oslo"
"Porsgrunn","Norway","34,377","4/26/17","Europe/Oslo"
"Bodø","Norway","34,073","12.02.2016","Europe/Oslo"
"Arendal","Norway","30,916","4/26/17","Europe/Oslo"
"Hamar","Norway","29,479","12.02.2016","Europe/Oslo"
"Ytrebygda","Norway","24,044","10/15/10","Europe/Oslo"
"Larvik","Norway","23,113","05.08.2018","Europe/Oslo"
"Halden","Norway","21,970","12.07.2010","Europe/Oslo"
"Steinkjer","Norway","20,000","05.08.2018","Europe/Oslo"
"Harstad","Norway","19,433","6/18/17","Europe/Oslo"
"Lillehammer","Norway","19,096","4/26/17","Europe/Oslo"
"Molde","Norway","18,594","4/26/17","Europe/Oslo"
"Mo i Rana","Norway","17,853","12.07.2010","Europe/Oslo"
"Kongsberg","Norway","17,667","4/26/17","Europe/Oslo"
"Horten","Norway","17,660","4/27/17","Europe/Oslo"
"Gjøvik","Norway","17,596","4/27/17","Europe/Oslo"
"Askøy","Norway","17,224","4/27/17","Europe/Oslo"
"Kristiansund","Norway","16,785","4/27/17","Europe/Oslo"
"Narvik","Norway","14,114","4/26/17","Europe/Oslo"
"Lillestrøm","Norway","14,000","12.07.2010","Europe/Oslo"
"Hønefoss","Norway","13,678","12.07.2010","Europe/Oslo"
"Ski","Norway","12,513","4/27/17","Europe/Oslo"
"Elverum","Norway","12,490","12.07.2010","Europe/Oslo"
"Askim","Norway","12,482","4/27/17","Europe/Oslo"
"Jessheim","Norway","12,365","12.07.2010","Europe/Oslo"
"Alta","Norway","12,077","4/27/17","Europe/Oslo"
"Stjørdalshalsen","Norway","11,416","05.08.2018","Europe/Oslo"
"Drøbak","Norway","11,363","12.07.2010","Europe/Oslo"
"Kongsvinger","Norway","11,181","12.02.2016","Europe/Oslo"
"Leirvik","Norway","11,028","12.07.2010","Europe/Oslo"
"Vennesla","Norway","10,931","1/14/19","Europe/Oslo"
"Nesoddtangen","Norway","10,911","8/19/14","Europe/Oslo"
"Mandal","Norway","10,143","12.02.2016","Europe/Oslo"
"Mosjøen","Norway","9,636","11/22/15","Europe/Oslo"
"Grimstad","Norway","9,561","4/27/17","Europe/Oslo"
"Egersund","Norway","9,502","12.07.2010","Europe/Oslo"
"Namsos","Norway","9,035","05.08.2018","Europe/Oslo"
"Søgne","Norway","9,000","5/24/13","Europe/Oslo"
"Råholt","Norway","8,593","5/24/13","Europe/Oslo"
"Førde","Norway","8,510","04.12.2013","Europe/Oslo"
"Brumunddal","Norway","8,441","12.07.2010","Europe/Oslo"
"Levanger","Norway","8,411","05.08.2018","Europe/Oslo"
"Notodden","Norway","8,306","1/14/18","Europe/Oslo"
"Florø","Norway","8,230","12.07.2010","Europe/Oslo"
"Bryne","Norway","8,006","12.07.2010","Europe/Oslo"
"Ås","Norway","7,961","12.07.2010","Europe/Oslo"
"Sæveland","Norway","7,736","10/23/17","Europe/Oslo"
"Verdal","Norway","7,154","05.08.2018","Europe/Oslo"
"Hammerfest","Norway","6,788","12.02.2016","Europe/Oslo"
"Sogndal","Norway","6,700","4/27/17","Europe/Oslo"
"Kopervik","Norway","6,507","12.07.2010","Europe/Oslo"
"Fetsund","Norway","6,441","8/19/14","Europe/Oslo"
"Malvik","Norway","6,419","05.08.2018","Europe/Oslo"
"Ørsta","Norway","6,337","4/27/17","Europe/Oslo"
"Holmestrand","Norway","6,135","05.08.2018","Europe/Oslo"
"Indre Arna","Norway","6,117","5/24/13","Europe/Oslo"
"Lillesand","Norway","6,081","12/18/12","Europe/Oslo"
