"Indeks","City","Country","Population","Last update","Time zone","addresse","lat","lng","postal_town","administrative_area_level_2","administrative_area_level_1","political"
0,"Oslo","Norway","580,000","10.06.2014","Europe/Oslo","Oslo",59.9138688,10.7522454,0,0,"none","none"
1,"Bergen","Norway","213,585","3/15/18","Europe/Oslo","Bergen",60.3912628,5.3220544,0,0,"none","none"
2,"Trondheim","Norway","147,139","2/26/19","Europe/Oslo","Trondheim",63.4305149,10.3950528,0,0,"none","none"
3,"Stavanger","Norway","121,610","3/15/18","Europe/Oslo","Stavanger",58.9699756,5.7331074,0,0,"none","none"
4,"Drammen","Norway","90,722","3/15/18","Europe/Oslo","Drammen",59.7440738,10.2044565,0,0,"none","none"
5,"Fredrikstad","Norway","72,760","2/27/19","Europe/Oslo","Fredrikstad",59.2205369,10.9347012,0,0,"none","none"
6,"Kristiansand","Norway","63,814","2/26/19","Europe/Oslo","Kristiansand",58.1599119,8.0182064,0,0,"none","none"
7,"Sandnes","Norway","63,032","4/26/17","Europe/Oslo","Sandnes",58.8532585,5.7329455,0,0,"none","none"
8,"Tromsø","Norway","52,436","5/20/19","Europe/Oslo","Tromsø",69.6492047,18.9553239,0,0,"none","none"
9,"Sarpsborg","Norway","52,159","4/26/17","Europe/Oslo","Sarpsborg",59.2840729,11.1094028,0,0,"none","none"
10,"Skien","Norway","50,595","12.02.2016","Europe/Oslo","Skien",59.1881606,9.6127694,0,0,"none","none"
11,"Ålesund","Norway","44,096","12.02.2016","Europe/Oslo","Ålesund",62.4722284,6.1494821,0,0,"none","none"
12,"Sandefjord","Norway","42,654","9/20/17","Europe/Oslo","Sandefjord",59.1313095,10.2165948,0,0,"none","none"
13,"Haugesund","Norway","40,321","03.01.2012","Europe/Oslo","Haugesund",59.413581,5.2679869,0,0,"none","none"
14,"Tønsberg","Norway","38,914","4/26/17","Europe/Oslo","Tønsberg",59.364988,10.3037633,0,0,"none","none"
15,"Moss","Norway","34,492","4/26/17","Europe/Oslo","Moss",59.4260491,10.6985069,0,0,"none","none"
16,"Porsgrunn","Norway","34,377","4/26/17","Europe/Oslo","Porsgrunn",59.1385567,9.6555147,0,0,"none","none"
17,"Bodø","Norway","34,073","12.02.2016","Europe/Oslo","Bodø",67.2829185,14.4150774,0,0,"none","none"
