Name,Manufacturer,alpha_sc,a_ref,I_L_ref,I_o_ref,R_s,R_sh_ref
American_Solar_Wholesale_ASW-175M,American Solar Wholesale,0.002289,2.011291,5.255328,1.48E-09,0.536521,528.663269
American_Solar_Wholesale_ASW-180M,American Solar Wholesale,0.002337,2.031258,5.366315,1.86E-09,0.427371,362.726746
American_Solar_Wholesale_ASW-185M,American Solar Wholesale,0.002341,2.088717,5.374465,2.77E-09,0.216274,260.110229
American_Solar_Wholesale_ASW-215P,American Solar Wholesale,0.00387,1.527072,7.749272,4.04E-10,0.245796,205.16803
American_Solar_Wholesale_ASW-220P,American Solar Wholesale,0.003885,1.51841,7.771533,3.34E-10,0.248561,1259.2771
American_Solar_Wholesale_ASW-225M,American Solar Wholesale,0.00393,1.611658,7.941277,1.27E-09,0.198953,590.128967
American_Solar_Wholesale_ASW-225P,American Solar Wholesale,0.00393,1.528123,7.861329,3.71E-10,0.210843,1247.670044
American_Solar_Wholesale_ASW-230M,American Solar Wholesale,0.00395,1.619389,8.061398,1.42E-09,0.161276,498.379456
American_Solar_Wholesale_ASW-230P,American Solar Wholesale,0.004315,1.56489,8.672478,4.98E-10,0.333254,67.706291
American_Solar_Wholesale_ASW-235M,American Solar Wholesale,0.004155,1.62642,8.313719,1.02E-09,0.292285,653.23175
American_Solar_Wholesale_ASW-235P,American Solar Wholesale,0.00417,1.584545,8.35619,5.51E-10,0.214405,110.447968
American_Solar_Wholesale_ASW-240M-60,American Solar Wholesale,0.00417,1.683847,8.348215,2.05E-09,0.131109,133.102066
American_Solar_Wholesale_ASW-240P,American Solar Wholesale,0.004087,1.623261,8.349809,8.98E-10,0.147663,125.5588
American_Solar_Wholesale_ASW-245M,American Solar Wholesale,0.004175,1.693241,8.354991,1.99E-09,0.109636,183.432404
American_Solar_Wholesale_ASW-245P,American Solar Wholesale,0.004092,1.631517,8.35642,8.58E-10,0.130691,169.997131
American_Solar_Wholesale_ASW-250M,American Solar Wholesale,0.003841,1.665545,8.350753,1.17E-09,0.15308,1697.844849
American_Solar_Wholesale_ASW-250P,American Solar Wholesale,0.002737,1.78436,7.783976,2.25E-10,0.379108,122.704872
American_Solar_Wholesale_ASW-260M,American Solar Wholesale,0.00399,1.987293,7.998288,2.43E-09,0.20037,87.430023
American_Solar_Wholesale_ASW-260P,American Solar Wholesale,0.002815,1.83899,8.002557,4.16E-10,0.22535,79.723969
American_Solar_Wholesale_ASW-265M,American Solar Wholesale,0.00403,1.976575,8.075628,2.08E-09,0.211942,109.307236
American_Solar_Wholesale_ASW-270M,American Solar Wholesale,0.00404,1.953056,8.100485,1.54E-09,0.318041,125.445282
American_Solar_Wholesale_ASW-270P,American Solar Wholesale,0.00285,1.834005,8.094702,3.59E-10,0.200271,110.065712
American_Solar_Wholesale_ASW-275M,American Solar Wholesale,0.004045,1.979666,8.097021,1.94E-09,0.155137,178.752792
American_Solar_Wholesale_ASW-280M,American Solar Wholesale,0.00407,1.98392,8.145116,1.87E-09,0.144639,230.135422
American_Solar_Wholesale_ASW-280P,American Solar Wholesale,0.003886,1.875135,8.090829,5.84E-10,0.210456,1185.745728
American_Solar_Wholesale_ASW-285M,American Solar Wholesale,0.003869,2.007538,8.424747,1.77E-09,0.199395,113.708168
American_Solar_Wholesale_ASW-285P,American Solar Wholesale,0.003953,1.876358,8.428784,3.73E-10,0.235556,105.459305
American_Solar_Wholesale_ASW-290M,American Solar Wholesale,0.003887,1.996941,8.460913,1.54E-09,0.202673,156.934189
American_Solar_Wholesale_ASW-290P,American Solar Wholesale,0.003971,1.867304,8.464201,3.24E-10,0.237781,141.486206
American_Solar_Wholesale_ASW-295M,American Solar Wholesale,0.003915,2.001023,8.520326,1.05E-09,0.318252,262.29718
American_Solar_Wholesale_ASW-295P,American Solar Wholesale,0.004,1.873103,8.523582,2.20E-10,0.351774,220.427002
American_Solar_Wholesale_ASW-300M,American Solar Wholesale,0.003938,2.009797,8.56727,9.14E-10,0.350495,412.697021
American_Solar_Wholesale_ASW-300P,American Solar Wholesale,0.004023,1.884183,8.571157,1.99E-10,0.374864,287.613525
American_Solar_Wholesale_ASW-305P,American Solar Wholesale,0.004047,1.884702,8.616241,1.86E-10,0.371637,512.643311
American_Solar_Wholesale_ASW-310P,American Solar Wholesale,0.00407,1.887456,8.66237,1.80E-10,0.360067,1315.795654
American_Solar_Wholesale_ASW-315P,American Solar Wholesale,0.004094,1.901255,8.803882,2.00E-10,0.344119,446.413635
Amerisolar-Worldwide_Energy_and_Manufacturing_USA_Co.__Ltd_AS-5M36-165W,Amerisolar-Worldwide Energy and Manufacturing USA Co._ Ltd,0.00156,1.795165,5.221629,1.71E-10,0.464587,111.693085
Amerisolar-Worldwide_Energy_and_Manufacturing_USA_Co.__Ltd_AS-5M-170W,Amerisolar-Worldwide Energy and Manufacturing USA Co._ Ltd,0.002205,1.925674,5.265071,7.32E-10,0.443379,154.446304
Amerisolar-Worldwide_Energy_and_Manufacturing_USA_Co.__Ltd_AS-5M36-170W,Amerisolar-Worldwide Energy and Manufacturing USA Co._ Ltd,0.001575,1.791965,5.268341,1.35E-10,0.502599,143.86525
