hour,dayofweek,LocationID,pickups
0,5,4,64
0,5,12,6
0,5,13,35
0,5,24,23
0,5,41,40
0,5,42,20
0,5,43,52
0,5,45,42
0,5,48,421
0,5,50,100
0,5,68,314
0,5,74,37
0,5,75,40
0,5,79,872
0,5,87,90
0,5,88,55
0,5,90,212
0,5,100,175
0,5,103,13
0,5,107,265
0,5,113,170
0,5,114,414
0,5,116,27
0,5,120,9
0,5,125,88
0,5,127,12
0,5,128,12
0,5,137,131
0,5,140,75
0,5,141,156
0,5,142,184
0,5,143,38
0,5,144,233
0,5,148,622
0,5,151,38
0,5,152,17
0,5,153,15
0,5,158,268
0,5,161,212
0,5,162,167
0,5,163,177
0,5,164,291
0,5,166,42
0,5,170,222
0,5,186,251
0,5,194,14
0,5,202,14
0,5,209,46
0,5,211,138
0,5,224,43
0,5,229,131
0,5,230,353
0,5,231,189
0,5,232,45
0,5,233,78
0,5,234,303
0,5,236,94
0,5,237,139
0,5,238,82
0,5,239,140
0,5,243,7
0,5,244,18
0,5,246,156
0,5,249,525
0,5,261,36
0,5,262,29
0,5,263,148
1,5,4,65
1,5,12,5
1,5,13,19
1,5,24,16
1,5,41,30
1,5,42,18
1,5,43,24
1,5,45,34
1,5,48,337
1,5,50,80
1,5,68,285
1,5,74,26
1,5,75,28
1,5,79,923
1,5,87,59
1,5,88,43
1,5,90,189
1,5,100,139
1,5,103,17
1,5,107,226
1,5,113,125
1,5,114,443
1,5,116,10
1,5,120,1
1,5,125,83
1,5,127,1
1,5,128,0
1,5,137,102
1,5,140,52
1,5,141,118
1,5,142,112
1,5,143,20
1,5,144,250
1,5,148,880
1,5,151,13
1,5,152,9
1,5,153,7
1,5,158,304
1,5,161,145
1,5,162,124
1,5,163,147
1,5,164,243
1,5,166,28
1,5,170,146
1,5,186,175
1,5,194,4
1,5,202,4
1,5,209,31
1,5,211,125
1,5,224,25
1,5,229,102
1,5,230,258
1,5,231,150
1,5,232,46
1,5,233,59
1,5,234,222
1,5,236,58
1,5,237,77
1,5,238,45
1,5,239,78
1,5,243,1
1,5,244,12
1,5,246,171
1,5,249,460
1,5,261,22
1,5,262,16
1,5,263,106
2,5,4,56
2,5,12,6
2,5,13,14
2,5,24,14
2,5,41,23
2,5,42,16
2,5,43,16
2,5,45,27
2,5,48,259
2,5,50,81
2,5,68,241
2,5,74,26
2,5,75,28
2,5,79,754
2,5,87,47
2,5,88,38
2,5,90,149
2,5,100,104
2,5,103,25
2,5,107,159
2,5,113,95
2,5,114,338
2,5,116,27
2,5,120,17
2,5,125,80
2,5,127,14
2,5,128,14
2,5,137,73
2,5,140,37
2,5,141,80
2,5,142,52
2,5,143,14
2,5,144,233
2,5,148,799
2,5,151,7
2,5,152,8
2,5,153,7
2,5,158,251
2,5,161,78
2,5,162,71
2,5,163,101
2,5,164,176
2,5,166,34
2,5,170,99
2,5,186,120
2,5,194,5
2,5,202,5
2,5,209,21
2,5,211,84
2,5,224,16
2,5,229,70
2,5,230,185
2,5,231,116
2,5,232,35
2,5,233,36
2,5,234,152
2,5,236,25
2,5,237,37
2,5,238,30
2,5,239,41
2,5,243,-1
2,5,244,2
2,5,246,192
2,5,249,350
2,5,261,17
2,5,262,11
2,5,263,70
3,5,4,35
3,5,12,5
3,5,13,10
3,5,24,11
3,5,41,18
3,5,42,11
3,5,43,10
3,5,45,14
3,5,48,207
3,5,50,59
3,5,68,201
3,5,74,16
3,5,75,18
3,5,79,523
3,5,87,26
3,5,88,20
3,5,90,100
3,5,100,67
3,5,103,13
3,5,107,99
3,5,113,61
3,5,114,167
3,5,116,21
3,5,120,16
3,5,125,61
3,5,127,13
3,5,128,13
3,5,137,50
3,5,140,26
3,5,141,58
3,5,142,34
3,5,143,15
3,5,144,155
3,5,148,587
3,5,151,11
3,5,152,12
3,5,153,8
3,5,158,156
3,5,161,43
3,5,162,42
3,5,163,70
