"Emne","Niveau_2","Niveau_3","Eksempel","Start_dato","Slut_dato","Resourcer","Fremskridt","Niveau","Underviser"
"Kursinformasjon, Strandhaugen JF introduktion","","","","2021.02.02","2021.02.03","",0,1,"Stevik"
"Forretnings forståelse: Afgør forretningsmål & Vurdere situation","","","","2021.02.05","2021.02.06","",0,1,"Frausig"
"Drift og effektivitet","","","","2021.02.09","2021.02.10","",0,1,"Stevik"
"Lean produksjonssystem/stabilitet","","","","2021.02.12","2021.02.13","",0,1,"Stevik"
"Standardisering/Just in Time","","","","2021.02.16","2021.02.17","",0,1,"Stevik"
"Kvalitet/involvering/planlegging","","","","2021.02.19","2021.02.20","",0,1,"Stevik"
"Forretnings forståelse: Afgøre data mål og udarbejd projektplan","","","","2021.02.23","2021.02.24","",0,1,"Frausig"
"Data forståelse Dataindhetning  Databeskrivelse","","","","2021.02.26","2021.02.27","",0,1,"Frausig"
"Data forståelse: Udforsk data","","","","2021.03.02","2021.03.03","",0,1,"Frausig"
"Kvalitet/involvering/planlegging","","","","2021.03.05","2021.03.06","",0,1,"Stevik"
"Grunnprinsipper for styring (kap1 og 10)","","","","2021.03.09","2021.03.10","",0,1,"Strandhagen"
"Flyt og layout (kap 7)","","","","2021.03.12","2021.03.13","",0,1,"Strandhagen"
"ERP/MRP (kap 14 + og (15))","","","","2021.03.16","2021.03.17","",0,1,"Strandhagen"
"ERP/MRP (kap 14 + og (15))","","","","2021.03.19","2021.03.20","",0,1,"Strandhagen"
"OEE","","","","2021.03.23","2021.03.24","",0,1,"Stevik"
"OEE data eksempel","","","","2021.03.26","2021.03.27","",0,1,"Frausig"
"Lean som operativt styringsverktøy","","","","2021.04.06","2021.04.07","",0,1,"Strandhagen"
"Digitalisering og Lean","","","","2021.04.09","2021.04.10","",0,1,"Strandhagen"
"?","","","","2021.04.13","2021.04.14","",0,1,"Strandhagen"
"Data forståelse: Vurder driftsløsninger til metodik","","","","2021.04.16","2021.04.17","",0,1,"Frausig"
"Perspektivering til digital driftsledelse","","","","2021.04.20","2021.04.21","",0,1,"Frausig"
"?","","","","2021.04.23","2021.04.24","",0,1,"Strandhagen"
"Six sigma","","","","2021.04.27","2021.04.28","",0,1,"Stevik"
"Presentasjon","","","","2021.04.30","2021.05.01","",0,1,"Frausig"
"Sig sigma data","","","","2021.05.04","2021.05.05","",0,1,"Frausig"
"Test","","","","2021.05.07","2021.05.08","",0,1,"Alle"
"Ferie","Skjærtorsdag","","","2021.04.01","2021.04.02","","","","Ferie"
"Ferie","Langfredag","","","2021.04.02","2021.04.03","","","","Ferie"
"Ferie","1. påskedag","","","2021.04.04","2021.04.05","","","","Ferie"
"Ferie","2. påskedag","","","2021.04.05","2021.04.06","","","","Ferie"
"Ferie","1.5: Offentlig høytidsdag","","","2021.05.01","2021.05.02","","","","Ferie"
"Ferie","13.5: Kristi Himmelfartsdag","","","2021.05.13","2021.05.14","","","","Ferie"
