,Category,Menn,Kvinner,kommune
0,0-4 år,-761,714,halden
1,5-9 år,-888,835,halden
2,10-14 år,-947,919,halden
3,15-19 år,-1029,895,halden
4,20-24 år,-1020,916,halden
5,25-29 år,-1049,874,halden
6,30-34 år,-932,917,halden
7,35-39 år,-887,931,halden
8,40-44 år,-1031,951,halden
9,45-49 år,-1097,1085,halden
10,50-54 år,-1172,1151,halden
11,55-59 år,-1041,997,halden
12,60-64 år,-984,988,halden
13,65-69 år,-903,910,halden
14,70-74 år,-932,968,halden
15,75-79 år,-534,604,halden
16,80-84 år,-316,422,halden
17,85-89 år,-197,289,halden
18,90-94 år,-73,147,halden
19,95-99 år,-13,49,halden
20,100 år eller eldre,0,5,halden
0,0-4 år,-1201,1094,moss
1,5-9 år,-1372,1354,moss
2,10-14 år,-1523,1461,moss
3,15-19 år,-1568,1422,moss
4,20-24 år,-1475,1235,moss
5,25-29 år,-1409,1252,moss
6,30-34 år,-1462,1413,moss
7,35-39 år,-1483,1456,moss
8,40-44 år,-1601,1630,moss
9,45-49 år,-1857,1873,moss
10,50-54 år,-1905,1948,moss
11,55-59 år,-1706,1662,moss
12,60-64 år,-1485,1539,moss
13,65-69 år,-1321,1477,moss
14,70-74 år,-1313,1520,moss
15,75-79 år,-846,1054,moss
16,80-84 år,-559,694,moss
17,85-89 år,-273,439,moss
18,90-94 år,-108,190,moss
19,95-99 år,-15,69,moss
20,100 år eller eldre,-2,7,moss
0,0-4 år,-1539,1403,sarpsborg
1,5-9 år,-1677,1596,sarpsborg
2,10-14 år,-1869,1699,sarpsborg
3,15-19 år,-1813,1705,sarpsborg
4,20-24 år,-1676,1604,sarpsborg
5,25-29 år,-1808,1741,sarpsborg
6,30-34 år,-1777,1735,sarpsborg
7,35-39 år,-1802,1765,sarpsborg
8,40-44 år,-1838,1806,sarpsborg
9,45-49 år,-2076,2047,sarpsborg
10,50-54 år,-2139,1894,sarpsborg
11,55-59 år,-1843,1779,sarpsborg
12,60-64 år,-1675,1696,sarpsborg
13,65-69 år,-1468,1505,sarpsborg
14,70-74 år,-1499,1602,sarpsborg
15,75-79 år,-914,1127,sarpsborg
16,80-84 år,-569,789,sarpsborg
17,85-89 år,-293,496,sarpsborg
18,90-94 år,-114,265,sarpsborg
