"Klokkeslaet","Haelding_30_oest","Haelding_30_vest","Haelding_30_syd","Haeldning_15_syd","Haeldning_15_vest","Haeldning_0","Haeldning_15_oest","Haelding_30_oestvest","Haelding_15_oestvest"
"2020-01-01 00:00",0,0,0,0,0,0,0,0,0
"2020-01-01 01:00",0,0,0,0,0,0,0,0,0
"2020-01-01 02:00",0,0,0,0,0,0,0,0,0
"2020-01-01 03:00",0,0,0,0,0,0,0,0,0
"2020-01-01 04:00",0,0,0,0,0,0,0,0,0
"2020-01-01 05:00",0,0,0,0,0,0,0,0,0
"2020-01-01 06:00",0,0,0,0,0,0,0,0,0
"2020-01-01 07:00",0,0,0,0,0,0,0,0,0
"2020-01-01 08:00",0.00015273,0.000155595,0.000154004,0.000136745,0.000155546,0.000154216,0.000154187,0.000154149,0.000154863
"2020-01-01 09:00",0.006329351,0.006448069,0.016472438,0.005681294,0.006445639,0.00638969,0.006389321,0.006388159,0.006417356
"2020-01-01 10:00",0.014153721,0.014419198,0.039641052,0.012705424,0.014413952,0.014288671,0.014288012,0.014285226,0.014350706
"2020-01-01 11:00",0.020453225,0.02083686,0.055900121,0.018360281,0.020829392,0.020648326,0.020647398,0.02064326,0.020737996
"2020-01-01 12:00",0.023410027,0.023849122,0.066212386,0.021014955,0.023840508,0.023633235,0.023632205,0.023627534,0.023735899
"2020-01-01 13:00",0.01854701,0.018894891,0.052262522,0.016649146,0.018888068,0.018723815,0.018723036,0.018719335,0.01880519
"2020-01-01 14:00",0.010359285,0.010553591,0.028853868,0.009299564,0.010549816,0.010458053,0.010457639,0.010455536,0.010503525
"2020-01-01 15:00",0.001133144,0.001154398,0.00095844,0.001017382,0.001153977,0.001143927,0.001143894,0.001143673,0.001148913
"2020-01-01 16:00",0,0,0,0,0,0,0,0,0
"2020-01-01 17:00",0,0,0,0,0,0,0,0,0
"2020-01-01 18:00",0,0,0,0,0,0,0,0,0
"2020-01-01 19:00",0,0,0,0,0,0,0,0,0
"2020-01-01 20:00",0,0,0,0,0,0,0,0,0
"2020-01-01 21:00",0,0,0,0,0,0,0,0,0
"2020-01-01 22:00",0,0,0,0,0,0,0,0,0
"2020-01-01 23:00",0,0,0,0,0,0,0,0,0
"2020-01-02 00:00",0,0,0,0,0,0,0,0,0
"2020-01-02 01:00",0,0,0,0,0,0,0,0,0
"2020-01-02 02:00",0,0,0,0,0,0,0,0,0
"2020-01-02 03:00",0,0,0,0,0,0,0,0,0
"2020-01-02 04:00",0,0,0,0,0,0,0,0,0
"2020-01-02 05:00",0,0,0,0,0,0,0,0,0
"2020-01-02 06:00",0,0,0,0,0,0,0,0,0
"2020-01-02 07:00",0,0,0,0,0,0,0,0,0
"2020-01-02 08:00",0.000159292,0.00016228,0.000147982,0.000143126,0.000162165,0.000160789,0.000160748,0.000160772,0.000161453
"2020-01-02 09:00",0.016799771,0.017114879,0.013136825,0.015081138,0.017108701,0.016959991,0.016959217,0.016955861,0.017033631
"2020-01-02 10:00",0.041664172,0.03924847,0.033258907,0.037647692,0.039544849,0.040196614,0.041144608,0.040467543,0.040348238
"2020-01-02 11:00",0.056340012,0.055314513,0.045770251,0.052232902,0.055929807,0.055991644,0.056465897,0.055832026,0.056199028
"2020-01-02 12:00",0.05961381,0.061540243,0.049228035,0.056764627,0.061443826,0.060752107,0.0605092,0.060568077,0.060974463
"2020-01-02 13:00",0.046290208,0.050225714,0.039288304,0.045104846,0.049519849,0.048358116,0.04756776,0.048239678,0.048539522
"2020-01-02 14:00",0.025312537,0.027997452,0.021582972,0.024449986,0.027210186,0.026190588,0.025545803,0.026642521,0.026374343
"2020-01-02 15:00",0.001231577,0.001254678,0.000962742,0.00110581,0.001254192,0.001243333,0.001243234,0.00124302,0.001248689
"2020-01-02 16:00",0,0,0,0,0,0,0,0,0
"2020-01-02 17:00",0,0,0,0,0,0,0,0,0
"2020-01-02 18:00",0,0,0,0,0,0,0,0,0
"2020-01-02 19:00",0,0,0,0,0,0,0,0,0
"2020-01-02 20:00",0,0,0,0,0,0,0,0,0
"2020-01-02 21:00",0,0,0,0,0,0,0,0,0
"2020-01-02 22:00",0,0,0,0,0,0,0,0,0
"2020-01-02 23:00",0,0,0,0,0,0,0,0,0
"2020-01-03 00:00",0,0,0,0,0,0,0,0,0
"2020-01-03 01:00",0,0,0,0,0,0,0,0,0
"2020-01-03 02:00",0,0,0,0,0,0,0,0,0
"2020-01-03 03:00",0,0,0,0,0,0,0,0,0
"2020-01-03 04:00",0,0,0,0,0,0,0,0,0
"2020-01-03 05:00",0,0,0,0,0,0,0,0,0
"2020-01-03 06:00",0,0,0,0,0,0,0,0,0
"2020-01-03 07:00",0,0,0,0,0,0,0,0,0
"2020-01-03 08:00",0.000182789,0.000186218,0.000153144,0.000164094,0.000186159,0.000184553,0.000184532,0.000184487,0.000185342
"2020-01-03 09:00",0.046466753,0.047338316,0.012844303,0.041712661,0.047321109,0.046909803,0.046907648,0.046898486,0.047113471
"2020-01-03 10:00",0.194691799,0.044077081,0.031275779,0.186119824,0.059174035,0.106655513,0.152437757,0.120084138,0.106010509
"2020-01-03 11:00",0.202142334,0.092817476,0.043885204,0.269974525,0.127274066,0.155934474,0.181832182,0.147987786,0.15467282
"2020-01-03 12:00",0.137926938,0.181605339,0.046514462,0.29344086,0.178017907,0.168539615,0.156239529,0.159563226,0.167080938
"2020-01-03 13:00",0.045796032,0.211508314,0.037866131,0.232282164,0.174839042,0.134349426,0.092287779,0.127882338,0.1333823
"2020-01-03 14:00",0.041164915,0.110061101,0.020421487,0.09035373,0.086224331,0.061479197,0.041339289,0.075292943,0.063683336
"2020-01-03 15:00",0.001331386,0.001356359,0.00103071,0.00119515,0.001355855,0.001344155,0.001344009,0.001343757,0.001349906
"2020-01-03 16:00",0,0,0,0,0,0,0,0,0
"2020-01-03 17:00",0,0,0,0,0,0,0,0,0
"2020-01-03 18:00",0,0,0,0,0,0,0,0,0
"2020-01-03 19:00",0,0,0,0,0,0,0,0,0
"2020-01-03 20:00",0,0,0,0,0,0,0,0,0
"2020-01-03 21:00",0,0,0,0,0,0,0,0,0
"2020-01-03 22:00",0,0,0,0,0,0,0,0,0
"2020-01-03 23:00",0,0,0,0,0,0,0,0,0
"2020-01-04 00:00",0,0,0,0,0,0,0,0,0
"2020-01-04 01:00",0,0,0,0,0,0,0,0,0
"2020-01-04 02:00",0,0,0,0,0,0,0,0,0
"2020-01-04 03:00",0,0,0,0,0,0,0,0,0
"2020-01-04 04:00",0,0,0,0,0,0,0,0,0
"2020-01-04 05:00",0,0,0,0,0,0,0,0,0
"2020-01-04 06:00",0,0,0,0,0,0,0,0,0
"2020-01-04 07:00",0,0,0,0,0,0,0,0,0
"2020-01-04 08:00",0.000167654,0.000170798,0.000178955,0.000150419,0.000170749,0.000169182,0.000169257,0.000169211,0.00017
"2020-01-04 09:00",0.047814545,0.048711389,0.022422682,0.042922398,0.048693822,0.048270542,0.048268367,0.0482588,0.048480161
"2020-01-04 10:00",0.066206073,0.057619968,0.053516926,0.060120347,0.058572846,0.061118079,0.064028637,0.061952908,0.061312711
"2020-01-04 11:00",0.065560966,0.063699699,0.087434007,0.061230715,0.064618554,0.064870123,0.065575221,0.064638979,0.065098987
"2020-01-04 12:00",0.128573575,0.160487589,0.075708171,0.240491415,0.158091281,0.151083605,0.142190383,0.144382322,0.150105947
"2020-01-04 13:00",0.062090619,0.070282229,0.059437918,0.063899064,0.068713113,0.066469315,0.064687212,0.066148369,0.06669133
"2020-01-04 14:00",0.030074685,0.225239143,0.02524294,0.17998636,0.157641605,0.088146084,0.029732836,0.126750256,0.093406598
"2020-01-04 15:00",0.018536214,0.018883893,0.000985111,0.01664003,0.018877002,0.018712893,0.018712067,0.018708439,0.018794172
"2020-01-04 16:00",0,0,0,0,0,0,0,0,0
"2020-01-04 17:00",0,0,0,0,0,0,0,0,0
"2020-01-04 18:00",0,0,0,0,0,0,0,0,0
"2020-01-04 19:00",0,0,0,0,0,0,0,0,0
"2020-01-04 20:00",0,0,0,0,0,0,0,0,0
"2020-01-04 21:00",0,0,0,0,0,0,0,0,0
"2020-01-04 22:00",0,0,0,0,0,0,0,0,0
"2020-01-04 23:00",0,0,0,0,0,0,0,0,0
"2020-01-05 00:00",0,0,0,0,0,0,0,0,0
"2020-01-05 01:00",0,0,0,0,0,0,0,0,0
"2020-01-05 02:00",0,0,0,0,0,0,0,0,0
"2020-01-05 03:00",0,0,0,0,0,0,0,0,0
"2020-01-05 04:00",0,0,0,0,0,0,0,0,0
"2020-01-05 05:00",0,0,0,0,0,0,0,0,0
"2020-01-05 06:00",0,0,0,0,0,0,0,0,0
"2020-01-05 07:00",0,0,0,0,0,0,0,0,0
"2020-01-05 08:00",0.000206074,0.00020994,0.000162608,0.000185061,0.000209946,0.000208115,0.000208111,0.000207989,0.000209024
"2020-01-05 09:00",0.030387978,0.030957956,0.037362821,0.027278782,0.030946699,0.03067771,0.030676307,0.030670319,0.03081091
"2020-01-05 10:00",0.090490884,0.057036407,0.183417404,0.083573007,0.060547782,0.070931156,0.081332109,0.073919062,0.070985545
"2020-01-05 11:00",0.06663812,0.064696562,0.231021081,0.062233511,0.065645322,0.06591424,0.066642432,0.065676361,0.066146065
