"Nr","Group","city","lat","lng","country","iso2","admin","capital","population","population_proper",""
1,"Reko-ringen Sandvika","Sandvika",59.891667,10.524722,"Norway","NO","Akershus","minor","","","59.891667,10.524722"
2,"REKO-ringen Skien","Skien",59.2,9.6,"Norway","NO","Telemark","admin","","","59.2,9.6"
3,"REKO-Ringen Ski","Ski",59.716667,10.833333,"Norway","NO","Akershus","minor","","","59.716667,10.833333"
4,"REKO-Ringen OSLO St.Hanshaugen/Grünerløkka","Oslo",59.916667,10.75,"Norway","NO","Oslo","primary",835000,580000,"59.916667,10.75"
5,"REKO ringen Skøyen","Oslo",59.916667,10.75,"Norway","NO","Oslo","primary",835000,580000,"59.916667,10.75"
6,"REKO-ringen Follo","Ski",59.716667,10.833333,"Norway","NO","Akershus","minor","","","59.716667,10.833333"
7,"REKO-ringen Frogn","Drøbak",59.663333,10.631111,"Norway","NO","Akershus","minor","","","59.663333,10.631111"
8,"REKO-ringen Asker - RETT HJEM","Asker",59.833333,10.433333,"Norway","NO","Akershus","minor","","","59.833333,10.433333"
9,"REKO-ringen Ringerike","Hønefoss",60.166667,10.3,"Norway","NO","Buskerud","minor","","","60.166667,10.3"
10,"REKO-RINGEN JESSHEIM","Jessheim",60.15,11.183333,"Norway","NO","Akershus","minor","","","60.15,11.183333"
11,"REKO-RINGEN Årnes","Årnes",63.966667,10.233333,"Norway","NO","Sør-Trøndelag","minor","","","63.966667,10.233333"
12,"REKO-Ringen Lillestrøm","Lillestrøm",59.95,11.083333,"Norway","NO","Akershus","minor","","","59.95,11.083333"
13,"REKO-ringen Tønsberg - uten mellomledd.","Tønsberg",59.285833,10.418056,"Norway","NO","Vestfold","admin",38914,38914,"59.285833,10.418056"
14,"Reko - Ringen Eidsvoll","Eidsvoll",60.316667,11.233333,"Norway","NO","Akershus","minor","","","60.316667,11.233333"
15,"REKO-ringen Hamar","Hamar",60.8,11.1,"Norway","NO","Hedmark","admin",29479,29479,"60.8,11.1"
16,"REKO-RINGEN HAUGALANDET","Haugesund",59.411944,5.2775,"Norway","NO","Rogaland","minor",40321,32118,"59.411944,5.2775"
17,"REKO-ringen Valdres","Fagernes",60.983333,9.25,"Norway","NO","Oppland","minor","","","60.983333,9.25"
18,"Reko-ringen Sarpsborg","Sarpsborg",59.283333,11.116667,"Norway","NO","Østfold","admin","","","59.283333,11.116667"
19,"REKO-RINGEN HORTEN - uten mellomledd.","","","","","","","","","",""
20,"Reko-ringen Hadeland","","","","","","","","","",""
21,"Reko-Ringen Elverum","Elverum",60.883333,11.566667,"Norway","NO","Hedmark","minor","","","60.883333,11.566667"
22,"Reko-ringen Molde ☀️","Molde",62.733333,7.183333,"Norway","NO","Møre og Romsdal","admin",18594,13749,"62.733333,7.183333"
23,"REKO-ringen Førde","Førde",61.45,5.866667,"Norway","NO","Sogn og Fjordane","minor","","","61.45,5.866667"
24,"REKO-ringen i Holmestrand","","","","","","","","","",""
25,"REKO-ringen Kongsvinger","Kongsvinger",60.2,12,"Norway","NO","Hedmark","minor","","","60.2,12"
26,"Reko-ringen Tromsø","Tromsø",69.666667,18.966667,"Norway","NO","Troms","admin","","","69.666667,18.966667"
27,"REKO-RINGEN ODDA","Odda",60.066667,6.55,"Norway","NO","Hordaland","minor","","","60.066667,6.55"
28,"REKO-ringen Larvik","","","","","","","","","",""
29,"REKO-ringen Sandefjord","","","","","","","","","",""
30,"REKO-ringen Kongsberg","Kongsberg",59.65,9.65,"Norway","NO","Buskerud","minor","","","59.65,9.65"
31,"Reko-ring Östersund","","","","","","","","","",""
32,"Reko-ringen Trysil","Trysil",61.316667,12.266667,"Norway","NO","Hedmark","minor","","","61.316667,12.266667"
33,"REKO-ring Karlstad","","","","","","","","","",""
34,"Reko-ringen Fana","","","","","","","","","",""
35,"REKO Ringen - Bergen Sentrum","Bergen",60.391111,5.324722,"Norway","NO","Hordaland","admin",213585,187194,"60.391111,5.324722"
36,"REKO-ringen Bodø","Bodø",67.283333,14.383333,"Norway","NO","Nordland","admin",34073,28694,"67.283333,14.383333"
37,"REKO-ringen Fosen","","","","","","","","","",""
38,"REKO-RINGEN Trondheim","Trondheim",63.416667,10.416667,"Norway","NO","Sør-Trøndelag","admin",147139,141533,"63.416667,10.416667"
39,"REKO-ringen Støren","Støren",63.03718,10.28558,"Norway","NO","Sør-Trøndelag","minor","","","63.03718,10.28558"
40,"REKO-ringen Moholt","","","","","","","","","",""
41,"REKO-ringen Sunndal","Sunndalsøra",62.666667,8.55,"Norway","NO","Møre og Romsdal","minor","","","62.666667,8.55"
42,"REKO-ringen Kristiansand - Velkommen!","Kristiansand",58.166667,8,"Norway","NO","Vest-Agder","admin",63814,52770,"58.166667,8"
43,"REKO-Ringen Stryn","Stryn",61.916667,6.783333,"Norway","NO","Sogn og Fjordane","minor","","","61.916667,6.783333"
44,"REKO-ringen Sogndal","Sogndal",61.23155,7.10268,"Norway","NO","Sogn og Fjordane","minor","","","61.23155,7.10268"
45,"REKO-ring Umeå","","","","","","","","","",""
46,"REKO-RINGEN VOSS","Voss",60.63182,6.41669,"Norway","NO","Hordaland","minor","","","60.63182,6.41669"
47,"REKO-RINGEN Fauske","Fauske",67.25,15.4,"Norway","NO","Nordland","minor","","","67.25,15.4"
48,"REKO-ringen Mandal - velkommen!","Mandal",58.033333,7.45,"Norway","NO","Vest-Agder","minor","","","58.033333,7.45"
49,"REKO-Ring Lund","","","","","","","","","",""
50,"REKO-ringen Sykkylven","Sykkylven",62.39723,6.58321,"Norway","NO","Møre og Romsdal","minor","","","62.39723,6.58321"
51,"REKO-ring Oskarshamn","","","","","","","","","",""
52,"REKO-ring Skellefteå","","","","","","","","","",""
53,"REKO-Ringen Midt-Telemark","","","","","","","","","",""
54,"REKO-ringen Stjørdal","Stjørdal",63.47025,10.91215,"Norway","NO","Nord-Trøndelag","minor","","","63.47025,10.91215"
55,"Reko-ring Åredalen","","","","","","","","","",""
56,"REKO-ringen Narvik og Bjerkvik","Narvik",68.435556,17.437222,"Norway","NO","Nordland","minor",20000,18473,"68.435556,17.437222"
57,"Reko-ringen Kristiansund","Kristiansund",63.116667,7.75,"Norway","NO","Møre og Romsdal","minor","","","63.116667,7.75"
