"Nr","navn","city","lat","lng","country","iso2","admin","capital","population","population_proper","","Groupid","ID","Type","Size"
3,"REKO-Ringen Ski","Ski",59.716667,10.833333,"Norway","NO","Akershus","minor","","","59.716667,10.833333","rekoski","","offentlig",5
4,"REKO-Ringen OSLO St.Hanshaugen/Grünerløkka","Oslo",59.916667,10.75,"Norway","NO","Oslo","primary",835000,580000,"59.916667,10.75","rekosthanshaugen","","offentlig",5
5,"REKO ringen Skøyen","Oslo",59.916667,10.75,"Norway","NO","Oslo","primary",835000,580000,"59.916667,10.75","rekobygdoy","","offentlig",5
6,"REKO-ringen Follo","Ski",59.716667,10.833333,"Norway","NO","Akershus","minor","","","59.716667,10.833333","",266634880636822,"offentlig",5
7,"REKO-ringen Frogn","Drøbak",59.663333,10.631111,"Norway","NO","Akershus","minor","","","59.663333,10.631111","",266634880636822,"offentlig",5
18,"Reko-ringen Sarpsborg","Sarpsborg",59.283333,11.116667,"Norway","NO","Østfold","admin","","","59.283333,11.116667","",375453713240984,"offentlig",5
51,"REKO-ring Oskarshamn","","","","","","","","","","","rekooskarshamn","","offentlig",5
1,"Reko-ringen Sandvika","Sandvika",59.891667,10.524722,"Norway","NO","Akershus","minor","","","59.891667,10.524722","REKOSANDVIKA","","privat",5
2,"REKO-ringen Skien","Skien",59.2,9.6,"Norway","NO","Telemark","admin","","","59.2,9.6","",603260130517161,"privat",5
8,"REKO-ringen Asker - RETT HJEM","Asker",59.833333,10.433333,"Norway","NO","Akershus","minor","","","59.833333,10.433333","rekoasker","","privat",5
9,"REKO-ringen Ringerike","Hønefoss",60.166667,10.3,"Norway","NO","Buskerud","minor","","","60.166667,10.3","RekoRngerike","","privat",5
10,"REKO-RINGEN JESSHEIM","Jessheim",60.15,11.183333,"Norway","NO","Akershus","minor","","","60.15,11.183333","REKOJESSHEIM","","privat",5
11,"REKO-RINGEN Årnes","Årnes",63.966667,10.233333,"Norway","NO","Sør-Trøndelag","minor","","","63.966667,10.233333","rekoarnes","","privat",5
12,"REKO-Ringen Lillestrøm","Lillestrøm",59.95,11.083333,"Norway","NO","Akershus","minor","","","59.95,11.083333","rekolillestrom","","privat",5
13,"REKO-ringen Tønsberg - uten mellomledd.","Tønsberg",59.285833,10.418056,"Norway","NO","Vestfold","admin",38914,38914,"59.285833,10.418056","REKOTONSBERG","","privat",5
14,"Reko - Ringen Eidsvoll","Eidsvoll",60.316667,11.233333,"Norway","NO","Akershus","minor","","","60.316667,11.233333","",185367628675166,"privat",5
15,"REKO-ringen Hamar","Hamar",60.8,11.1,"Norway","NO","Hedmark","admin",29479,29479,"60.8,11.1","rekohamar","","privat",5
16,"REKO-RINGEN HAUGALANDET","Haugesund",59.411944,5.2775,"Norway","NO","Rogaland","minor",40321,32118,"59.411944,5.2775","",489491634779966,"privat",5
17,"REKO-ringen Valdres","Fagernes",60.983333,9.25,"Norway","NO","Oppland","minor","","","60.983333,9.25","rekovaldres","","privat",5
19,"REKO-RINGEN HORTEN - uten mellomledd.","","","","","","","","","","","REKOHORTEN","","privat",5
20,"Reko-ringen Hadeland","","","","","","","","","","","rekohadeland","","privat",5
21,"Reko-Ringen Elverum","Elverum",60.883333,11.566667,"Norway","NO","Hedmark","minor","","","60.883333,11.566667","",1458149704328210,"privat",5
22,"Reko-ringen Molde ☀️","Molde",62.733333,7.183333,"Norway","NO","Møre og Romsdal","admin",18594,13749,"62.733333,7.183333","rekomolde","","privat",5
