"Ticker","SPAC Company","Price","Target","Pro Forma Market Cap (at $10)","Expected Net Cash (Debt) at Closing (with no redemptions)","Pro Forma Enterprise Value at $10","Pro Forma Market Cap at Current Price","PIPE Size","2019 Revenue","2020 Revenue","2021 Revenue Projection","2022 Revenue Projection","2023 Revenue Projection","2020 Growth (Decline)","2021 Growth (Decline)","2022 Growth (Decline)","2023 Growth (Decline)","2021 Price-to-Sales Multiple","2022 Price-to-Sales Multiple","Investor Presentation","Links"
"ALAC","Alberton Acq. Corp.","$10.89","SolarMax","$300.0","NA","","$326.7","","$44.4","$110.0","","","","147.70 %","-","-","-","","","Investor Presentation","https://www.sec.gov/Archives/edgar/data/0001748621/000121390021017108/ea138236ex99-1_alberton.htm"
"FIII","Forum Merger III Corp.","$10.20","Electric Last Mile Solutions","$1,425.0","$229.0","$1,196.0","$1,453.5","$155.0","$0.0","$0.0","$122.0","$613.0","$1,177.0","-","-","402.50 %","92.00 %",11.91,2.37,"Investor Presentation","https://www.sec.gov/Archives/edgar/data/1784168/000121390020042147/ea131352ex99-2_forum3.htm"
"BRPA","Big Rock Partners Acq. Corp.","$35.89","NeuroRx","$536.0","$11.0","$525.0","$1,923.7","$10.0","$0.0","$0.0","$0.0","$0.0","$0.0","-","-","-","-","","","Investor Presentation","https://www.sec.gov/Archives/edgar/data/1719406/000165495420013699/brpa_ex992.htm"
"NPA","New Providence Acq. Corp.","$12.39","AST SpaceMobile","$1,816.0","$423.0","$1,393.0","$2,250.0","$230.0","$0.0","$0.0","$0.0","$0.0","$181.0","-","-","-","-","","","Investor Presentation","https://www.sec.gov/Archives/edgar/data/1780312/000121390020042897/ea131629ex99-2_newprovidence.htm"
"GXGX","GX Acq. Corp.","$10.06","Celularity","$1,668.0","$375.0","$1,293.0","$1,678.0","$80.0","$0.0","$0.0","$0.0","$0.0","$0.0","-","-","-","-","","","Investor Presentation","https://www.sec.gov/Archives/edgar/data/1752828/000121390021001040/ea132952ex99-3_gxacquisit.htm"
"VIH","VPC Impact Acq. Holdings","$12.75","Bakkt","$2,666.0","$574.0","$2,092.0","$3,399.2","$325.0","$0.0","$0.0","$55.0","$224.0","$357.0","-","-","307.30 %","59.40 %",61.8,15.17,"Investor Presentation","https://www.sec.gov/Archives/edgar/data/1820302/000119312521005832/d913171dex992.htm"
"PSAC","Property Solutions Acq. Corp.","$12.19","Faraday Future","$3,370.0","$748.0","$2,622.0","$4,108.0","$775.0","$0.0","$0.0","$0.0","$504.0","$4,038.0","-","-","-","701.20 %","",8.15,"Investor Presentation","https://www.sec.gov/Archives/edgar/data/1805521/000121390021004766/ea134038ex99-2_property.htm"
"ALUS","Alussa Energy Acq. Corp.","$10.13","FREYR","$1,377.0","$849.0","$528.0","$1,394.9","$600.0","$0.0","$0.0","$0.0","$11.0","$321.0","-","-","-","2818.20 %","",126.81,"Investor Presentation","https://www.sec.gov/Archives/edgar/data/1781115/000121390021005199/ea134163ex99-2_alussaenergy.htm"
"LACQ","Leisure Acq. Corp.","$12.77","Ensysce Biosciences","$274.2","$6.8","$267.4","$350.2","","$0.0","$0.0","$6.6","$6.0","$2.9","-","-","-9.10 %","-51.70 %",53.05,58.36,"Investor Presentation","https://www.sec.gov/Archives/edgar/data/1716947/000121390021006308/ea134513ex99-1_leisureacq.htm"
"HOL","Holicity Inc.","$12.42","Astra","$2,605.0","$482.0","$2,123.0","$3,235.4","$200.0","$0.0","$0.0","$4.0","$67.0","$256.0","-","-","1575.00 %","282.10 %",808.85,48.29,"Investor Presentation","https://www.sec.gov/Archives/edgar/data/1814329/000121390021005957/ea134316ex99-2_holicity.htm"
