"country","industry","ticker","virksomhed"
"Germany","Biotechnology","05Y.DE","Vivoryon Therapeutics AG"
"United States","Diagnostics & Research","A","Agilent Technologies Inc"
"United States","Drug Manufacturers—General","ABBV","AbbVie Inc"
"United States","Medical Devices","ABMD","ABIOMED Inc"
"United States","Medical Devices","ABT","Abbott Laboratories"
"United States","Biotechnology","ACAD","ACADIA Pharmaceuticals Inc"
"United States","Health Information Services","ACCD","Accolade Inc"
"United States","Biotechnology","ADPT","Adaptive Biotechnologies Corp"
"United States","Biotechnology","ADVM","Adverum Biotechnologies Inc"
"United States","Drug Manufacturers—Specialty & Generic","AERI","Aerie Pharmaceuticals Inc"
"United States","Medical Devices","AFIB","Acutus Medical Inc"
"Germany","Medical Instruments & Supplies","AFX.DE","Carl Zeiss Meditec AG"
"United States","Biotechnology","AGIO","Agios Pharmaceuticals Inc"
"United States","Biotechnology","AKBA","Akebia Therapeutics Inc"
"United States","Biotechnology","ALEC","Alector Inc"
"United States","Medical Devices","ALGN","Align Technology Inc"
"Ireland","Biotechnology","ALKS","Alkermes PLC"
"United States","Biotechnology","ALLK","Allakos Inc"
"United States","Biotechnology","ALLO","Allogene Therapeutics Inc"
"United States","Biotechnology","ALNY","Alnylam Pharmaceuticals Inc"
"United States","Biotechnology","ALVR","Allovir Inc"
"United States","Biotechnology","ALXN","Alexion Pharmaceuticals Inc"
"United States","Medical Care Facilities","AMED","Amedisys Inc"
"United States","Drug Manufacturers—General","AMGN","Amgen Inc"
"United States","Medical Care Facilities","AMN","AMN Healthcare Services Inc"
"United States","Drug Manufacturers—Specialty & Generic","AMRX","Amneal Pharmaceuticals Inc"
"United States","Health Information Services","AMWL","American Well Corp"
"United States","Healthcare Plans","ANTM","Anthem Inc"
"United States","Biotechnology","APLS","Apellis Pharmaceuticals Inc"
"United States","Biotechnology","ARCT","Arcturus Therapeutics Holdings Inc"
"Sweden","Medical Distribution","ARJO-B.ST","Assa Abloy AB"
"United States","Biotechnology","ARNA","Arena Pharmaceuticals Inc"
"United States","Biotechnology","ARQT","Arcutis Biotherapeutics Inc"
"United States","Biotechnology","ARVN","Arvinas Inc"
"United States","Biotechnology","ARWR","Arrowhead Pharmaceuticals Inc"
"United States","Medical Devices","ATEC","Alphatec Holdings Inc"
"United States","Biotechnology","ATRA","Atara Biotherapeutics Inc"
"United States","Medical Instruments & Supplies","ATRC","AtriCure Inc"
"Sweden","Medical Care Facilities","ATT.ST","Attendo AB"
"United States","Biotechnology","AVEO","AVEO Pharmaceuticals Inc"
"United States","Biotechnology","AVIR","Atea Pharmaceuticals Inc"
"United States","Medical Devices","AVNS","Avanos Medical Inc"
"United States","Medical Devices","AXGN","Axogen Inc"
"United States","Medical Devices","AXNX","Axonics Modulation Technologies Inc"
"United States","Biotechnology","AXSM","Axsome Therapeutics Inc"
"Denmark","Biotechnology","BAVA.CO","Bavarian Nordic A/S"
"United States","Medical Instruments & Supplies","BAX","Baxter International Inc"
"Germany","Drug Manufacturers—General","BAYN.DE","Bayer AG"
"United States","Biotechnology","BBIO","Bridgebio Pharma Inc"
"United States","Biotechnology","BCAB","BioAtla Inc"
"United States","Biotechnology","BCRX","BioCryst Pharmaceuticals Inc"
"United States","Biotechnology","BDTX","Black Diamond Therapeutics Inc"
"United States","Medical Instruments & Supplies","BDX","Becton Dickinson and Co"
"United States","Biotechnology","BHVN","Biohaven Pharmaceutical Holding Co Ltd"
"United States","Drug Manufacturers—General","BIIB","Biogen Inc"
"Germany","Biotechnology","BIO.DE","Biotest AG"
"Sweden","Biotechnology","BIOA-B.ST","BioArctic AB"
"Sweden","Drug Manufacturers—Specialty & Generic","BIOG-B.ST","BioGaia AB"
"Sweden","Medical Instruments & Supplies","BIOT.ST","Biotage AB"
"United States","Medical Care Facilities","BKD","Brookdale Senior Living Inc"
"United States","Biotechnology","BLI","Berkeley Lights Inc"
"United States","Biotechnology","BLUE","Bluebird Bio Inc"
"United States","Biotechnology","BMRN","BioMarin Pharmaceutical Inc"
"United States","Drug Manufacturers—General","BMY","Bristol-Myers Squibb Co"
"Sweden","Diagnostics & Research","BOUL.ST","Boule Diagnostics AB"
"United States","Biotechnology","BPMC","Blueprint Medicines Corp"
"United States","Medical Devices","BRKR","Bruker Corp"
"United States","Medical Devices","BSX","Boston Scientific Corp"
"United States","Medical Distribution","CAH","Cardinal Health Inc"
"United States","Biotechnology","CALA","Calithera Biosciences Inc"
"Sweden","Biotechnology","CAMX.ST","Camurus AB"
"United States","Biotechnology","CCXI","ChemoCentryx Inc"
"United States","Biotechnology","CDMO","Avid Bioservices Inc"
"United States","Diagnostics & Research","CDNA","CareDx Inc"
"United States","Health Information Services","CERN","Cerner Corp"
"United States","Biotechnology","CERS","Cerus Corp"
"United States","Biotechnology","CERT","Certara Inc"
"Sweden","Medical Devices","CEVI.ST","Cellavision AB"
"United States","Medical Care Facilities","CHE","Chemed Corp"
"United States","Health Information Services","CHNG","Change Healthcare Inc"
"United States","Healthcare Plans","CI","Cigna Corp"
"Sweden","Medical Devices","CLNK-B.ST","CELLINK AB"
"United States","Healthcare Plans","CNC","Centene Corp"
"United States","Medical Devices","CNMD","CONMED Corp"
"Denmark","Medical Instruments & Supplies","COLO-B.CO","Coloplast A/S"
"United States","Medical Instruments & Supplies","COO","Cooper Cos Inc/The"
"Germany","Health Information Services","COP.DE","CompuGroup Medical SE & Co KgaA"
"United States","Biotechnology","CORT","Corcept Therapeutics Inc"
"United States","Diagnostics & Research","CRL","Charles River Laboratories International Inc"
"Switzerland","Biotechnology","CRSP","CRISPR Therapeutics AG"
"United States","Medical Devices","CSII","Cardiovascular Systems Inc"
"United States","Drug Manufacturers—Specialty & Generic","CTLT","Catalent Inc"
"United States","Medical Devices","CTSO","CytoSorbents Corp"
"United States","Health Information Services","CVET","Covetrus Inc"
"United States","Biotechnology","DCPH","Deciphera Pharmaceuticals Inc"
"Denmark","Medical Instruments & Supplies","DEMANT.CO","Demant A/S"
"United States","Diagnostics & Research","DGX","Quest Diagnostics Inc"
"United States","Diagnostics & Research","DHR","Danaher Corp"
"Germany","Drug Manufacturers—Specialty & Generic","DMP.DE","Dermapharm Holding SE"
"United States","Biotechnology","DNLI","Denali Therapeutics Inc"
"Germany","Medical Devices","DRW3.DE","Draegerwerk AG & Co KGaA"
"United States","Medical Care Facilities","DVA","DaVita Inc"
"United States","Diagnostics & Research","DXCM","DexCom Inc"
"United States","Drug Manufacturers—Specialty & Generic","EBS","Emergent BioSolutions Inc"
"United States","Biotechnology","EDIT","Editas Medicine Inc"
"United States","Drug Manufacturers—Specialty & Generic","EGRX","Eagle Pharmaceuticals Inc/DE"
"United States","Medical Care Facilities","EHC","Encompass Health Corp"
"Sweden","Medical Instruments & Supplies","EKTA-B.ST","Elekta AB"
"United States","Drug Manufacturers—Specialty & Generic","ELAN","Elanco Animal Health Inc"
"Ireland","Drug Manufacturers—Specialty & Generic","ENDP","Endo International PLC"
"United States","Medical Care Facilities","ENSG","Ensign Group Inc/The"
"United States","Biotechnology","ENTA","Enanta Pharmaceuticals Inc"
"United States","Biotechnology","EPZM","Epizyme Inc"
"United States","Biotechnology","ESPR","Esperion Therapeutics Inc"
"United States","Health Information Services","EVH","Evolent Health Inc"
"United States","Medical Devices","EW","Edwards Lifesciences Corp"
"United States","Diagnostics & Research","EXAS","Exact Sciences Corp"
"United States","Biotechnology","EXEL","Exelixis Inc"
"United States","Biotechnology","FATE","Fate Therapeutics Inc"
"United States","Biotechnology","FDMT","4D Molecular Therapeutics Inc"
"United States","Biotechnology","FGEN","FibroGen Inc"
"United States","Diagnostics & Research","FLDM","Fluidigm Corp"
"Germany","Medical Care Facilities","FME.DE","Fresenius Medical Care AG & Co KGaA"
"United States","Biotechnology","FMTX","Forma Therapeutics Holdings Inc"
"United States","Biotechnology","FOLD","Amicus Therapeutics Inc"
"Germany","Medical Care Facilities","FRE.DE","Fresenius SE & Co KGaA"
"United States","Medical Care Facilities","FVE","Five Star Senior Living Inc"
"United States","Biotechnology","GBT","Global Blood Therapeutics Inc"
"Sweden","Medical Instruments & Supplies","GETI-B.ST","Getinge AB"
