"aktie_nr","aktie","aktie_2","ticker","sektor"
1,"BJ_Wholesale","BJ_Wholesale","BJ","Dagligvarer"
2,"Costco","Costco","cost","Dagligvarer"
3,"Dollar_general","Dollar_general","DG","Dagligvarer"
4,"Kroger","Kroger","kr","Dagligvarer"
5,"Target","Target","tgt","Dagligvarer"
6,"Walmart","Walmart","Wmt","Dagligvarer"
7,"Amazon","Amazon","Amzn","Dagligvarer"
8,"Delivery_hero","Delivery_hero","Dher.de","Dagligvarer"
9,"Ocado","Ocado","OCDO.L","Dagligvarer"
10,"Ahold","Ahold","AD.AS","Dagligvarer"
11,"Carrefour","Carrefour","CA.PA","Dagligvarer"
12,"Blue_apron","Blue_apron","APRN","Dagligvarer"
13,"PriceSmart","PriceSmart","PSMT","Dagligvarer"
14,"UPS","UPS","UPS","Goods_logistik"
15,"Fedex","Fedex","FDX","Goods_logistik"
16,"Expeditors","Expeditors","Expd","Goods_logistik"
17,"CH_Robinson","CH_Robinson","Chrw","Goods_logistik"
18,"XPO_logistics","XPO_logistics","Xpo","Goods_logistik"
19,"Forward_air","Forward_air","FWRD","Goods_logistik"
20,"Hub_Group","Hub_Group","Hubg","Goods_logistik"
21,"Air_transport","Air_transport","Atsg","Goods_logistik"
22,"Atlas_Air","Atlas_Air","Aaww","Goods_logistik"
23,"Echo_global","Echo_global","Echo","Goods_logistik"
24,"AP_Moeller_Maersk","AP_Moeller_Maersk","Maersk-b.co","Goods_logistik"
25,"DSV_Panalpina","DSV_Panalpina","dsv.co","Goods_logistik"
26,"Enel","Enel","Enel.MI","Energi"
27,"Terna","Terna","Trn.Mi","Energi"
28,"Ørsted","Ørsted","ORSTED.CO","Energi"
29,"Scatec","Scatec","SSO.OL","Energi"
30,"Eon","Eon","EONGY","Energi"
31,"Rwe","Rwe","RWEOY","Energi"
32,"Cadeler","Cadeler","CADLR.OL","Energi"
33,"Jinkosolar","Jinkosolar","jks","Energi"
34,"Equinor","Equinor","eqnr.ol","Energi"
35,"American_Water_Works","American_Water_Works","awk","Vand"
36,"Essential_Utilities","Essential_Utilities","wtrg","Vand"
37,"Evoqua","Evoqua","aqua","Vand"
38,"Xylem","Xylem","xyl","Vand"
39,"Pentair","Pentair","pnr","Vand"
40,"First_Trust_Water","First_Trust_Water","fiw","Vand"
41,"Invesco_Water_Resources_ETF","Invesco_Water_Resources_ETF","pho","Vand"
42,"Honeywell","Honeywell","Hon","Vand"
43,"Parker-Hannifin","Parker-Hannifin","ph","Vand"
44,"3M","3M","mmm","Vand"
45,"Roper","Roper","rop","Vand"
46,"Caterpillar","Caterpillar","CAT","Byggeri"
47,"Cummins","Cummins","cmi","Byggeri"
48,"PACCAR","PACCAR","PCAR","Byggeri"
49,"Wabtec_Corporation","Wabtec_Corporation","WAB","Byggeri"
50,"Oshkosh_Corporation","Oshkosh_Corporation","OSK","Byggeri"
51,"Allison_Transmission","Allison_Transmission","alsn","Byggeri"
52,"Navistar_International","Navistar_International","nav","Byggeri"
53,"terex","terex","TEX","Byggeri"
54,"Nucor","Nucor","nue","Byggeri"
55,"Rockwool_International","Rockwool_International","ROCK-B.CO","Byggeri"
56,"Mowi","Mowi","Mowi.OL","Precision_landbrug"
57,"ORKLA","ORKLA","ORK.OL","Precision_landbrug"
58,"SalMar","SalMar","SALM.OL","Precision_landbrug"
59,"Leroey_Seafood","Leroey_Seafood","LSG.OL","Precision_landbrug"
60,"Austevoll","Austevoll","AUSS.OL","Precision_landbrug"
61,"Aker_BioMarine_","Aker_BioMarine_","AKBM-ME.OL","Precision_landbrug"
62,"Norway_Royal_Salmon","Norway_Royal_Salmon","NRS.OL","Precision_landbrug"
63,"Grieg_Seafood","Grieg_Seafood","GSF.OL","Precision_landbrug"
64,"Andfjord_Salmon","Andfjord_Salmon","ANDF.OL","Precision_landbrug"
65,"Ayro","Ayro","Ayro","Passengertransport"
66,"BMW","BMW","bmw.de","Passengertransport"
67,"Daimler","Daimler","dai.de","Passengertransport"
68,"zaptec","zaptec","zap.ol","Passengertransport"
69,"VW","VW","VOW3.DE","Passengertransport"
70,"Tesla","Tesla","TLSA","Passengertransport"
71,"Nikola","Nikola","NKLA","Passengertransport"
72,"Ferrari","Ferrari","RACE","Passengertransport"
73,"General_Motors","General_Motors","GM","Passengertransport"
74,"Porsche","Porsche","PAH3.DE","Passengertransport"
75,"Ford","Ford","F","Passengertransport"
76,"Allarity","Allarity","ALLR.ST","Sundhed"
77,"Bavarian","Bavarian","BAVA.co","Sundhed"
78,"Ascendis","Ascendis","ASND","Sundhed"
79,"BioPorto","BioPorto","BIOPOR.co","Sundhed"
80,"Genmab","Genmab","GMAB","Sundhed"
81,"Orphazyme","Orphazyme","ORPHA.co","Sundhed"
82,"Saniona","Saniona","SANION.st","Sundhed"
83,"Zealand_Pharma","Zealand_Pharma","ZEAL","Sundhed"
84,"Novo_nordisk","Novo_nordisk","nvo","Sundhed"
85,"H_Lundbeck","H_Lundbeck","HLUYY","Sundhed"
86,"Novozymes","Novozymes","NZYM-B.CO","Sundhed"
87,"Demant","Demant","Demant.co","Sundhed"
88,"rec_silicon","rec_silicon","REC.OL","Industri"
89,"elkem","elkem","ELK.OL","Industri"
90,"borregaard","borregaard","brg.ol","Industri"
91,"Aqua_Bio_Technology","Aqua_Bio_Technology","abt.ol","Industri"
92,"Teradyne","Teradyne","TER","Industri"
93,"Advanced_energy","Advanced_energy","aeis","Industri"
94,"applied_materials","applied_materials","amat","Industri"
95,"Brooks_automation","Brooks_automation","brks","Industri"
96,"cmc_materials","cmc_materials","ccmp","Industri"
97,"entegris","entegris","entg","Industri"
98,"kla_corporation","kla_corporation","klac","Industri"
99,"lam_research","lam_research","lrcx","Industri"
100,"mks_instruments","mks_instruments","mksi","Industri"
