"aktie","ticker","sektor","Lande"
"Walmart","Wmt","Dagligvarer","USA"
"Amazon","Amzn","Dagligvarer","USA"
"Delivery_hero","Dher.de","Dagligvarer","Tyskland"
"Ocado","OCDO.L","Dagligvarer","UK"
"Ahold","AD.AS","Dagligvarer","Holland"
"Carrefour","CA.PA","Dagligvarer","Frankrig"
"Blue_apron","APRN","Dagligvarer","USA"
"Tesco","TSCO.L","Dagligvarer","UK"
"Pricer","PRIC-B.ST","Dagligvarer","Sverige"
"UPS","UPS","Goods_logistik","USA"
"Fedex","FDX","Goods_logistik","USA"
"Echo_global","Echo","Goods_logistik","USA"
"Maersk","Maersk-b.co","Goods_logistik","Danmark"
"DSV_Panalpina","dsv.co","Goods_logistik","Danmark"
"Ryanair","RYAAY","Goods_logistik","Irland"
"Sas","SAS-DKK.CO","Goods_logistik","Sverige"
"Norwegian","NAS.OL","Goods_logistik","Norge"
"Enel","Enel.MI","Energi","Italien"
"Ørsted","ORSTED.CO","Energi","Danmark"
"Scatec","SSO.OL","Energi","Norge"
"Cadeler","CADLR.OL","Energi","Norge"
"Jinkosolar","jks","Energi","Kina"
"Equinor","eqnr.ol","Energi","Norge"
"QuantumScape","QS","Energi","USA"
"Enphase","ENPH","Energi","USA"
"SolarEdge","SEDG","Energi","Israel"
"Vestas","VWS.CO","Energi","Danmark"
"SMA","S92.DE","Energi","Tyskland"
"First_Solar","FSLR","Energi","USA"
"Sunpower","SPWR","Energi","USA"
"Maxeon","MAXN","Energi","Singapore"
"","","",""
"Xylem","xyl","Vand","Danmark"
"Honeywell","Hon","Vand","USA"
"3M","mmm","Vand","USA"
"Caterpillar","CAT","Byggeri","USA"
"Rockwool","ROCK-B.CO","Byggeri","Danmark"
"Solar","SOLAR-B.CO","Byggeri","Danmark"
"Cree","CREE","Byggeri","USA"
"Osram","OSR","Byggeri","Tyskland"
"Mowi","Mowi.OL","Precision_landbrug","Norge"
"ORKLA","ORK.OL","Precision_landbrug",""
"SalMar","SALM.OL","Precision_landbrug",""
"Leroey_Seafood","LSG.OL","Precision_landbrug",""
"Austevoll","AUSS.OL","Precision_landbrug",""
"Aker_BioMarine_","AKBM-ME.OL","Precision_landbrug",""
"Norway_Royal_Salmon","NRS.OL","Precision_landbrug",""
"Grieg_Seafood","GSF.OL","Precision_landbrug",""
"Andfjord_Salmon","ANDF.OL","Precision_landbrug",""
"Ayro","Ayro","Passengertransport",""
"BMW","bmw.de","Passengertransport",""
"Daimler","dai.de","Passengertransport",""
"zaptec","zap.ol","Passengertransport",""
"VW","VOW3.DE","Passengertransport",""
"Tesla","TLSA","Passengertransport",""
"Nikola","NKLA","Passengertransport",""
"Ferrari","RACE","Passengertransport",""
"General_Motors","GM","Passengertransport",""
"Porsche","PAH3.DE","Passengertransport",""
"Ford","F","Passengertransport",""
"Carvana","CVNA","Passengertransport",""
"Allarity","ALLR.ST","Sundhed","Denmark"
"Bavarian","BAVA.co","Sundhed",""
"Ascendis","ASND","Sundhed","Denmark"
"BioPorto","BIOPOR.co","Sundhed","Denmark"
"Genmab","GMAB","Sundhed",""
"Orphazyme","ORPHA.co","Sundhed",""
"Saniona","SANION.st","Sundhed",""
"Zealand_Pharma","ZEAL","Sundhed",""
"Novo_nordisk","nvo","Sundhed",""
"H_Lundbeck","HLUYY","Sundhed",""
"Novozymes","NZYM-B.CO","Sundhed",""
"Demant","Demant.co","Sundhed",""
"rec_silicon","REC.OL","Industri",""
"elkem","ELK.OL","Industri",""
"Teradyne","TER","Industri",""
"applied_materials","amat","Industri",""
"lam_research","lrcx","Industri",""
"AMD","AMD","Industri",""
"ABB","ABB","Industri",""
"GomSpace","GOMX.ST","Industri",""
"Irobot","IRBT","Industri",""
