"name","nok","usd","sector","ownership","country","id","type","voting"
"AAK AB",499371585,58324515,"Consumer Goods",1.13,"Sweden",2220,"equities",1.13
"AF Poyry AB",789416842,92200590,"Industrials",2.67,"Sweden",1526,"equities",1.99
"ANDRITZ AG",695381835,81217694,"Industrials",1.7,"Austria",1700,"equities",1.7
"AddTech AB",688991758,80471360,"Industrials",2.22,"Sweden",1715,"equities",1.56
"Agrana Beteiligungs AG",44124072,5153507,"Consumer Goods",0.42,"Austria",6674,"equities",0.42
"Alfa Laval AB",2254636497,263332126,"Industrials",2.28,"Sweden",648,"equities",2.28
"Arjo AB",486425089,56812419,"Health Care",2.73,"Sweden",2275,"equities",1.7
"Assa Abloy AB",5355211026,625466281,"Industrials",2.28,"Sweden",280,"equities",1.56
"Atlas Copco AB",9800613367,1144670708,"Industrials",1.92,"Sweden",125,"equities",1.62
"Atria Oyj",4111436,480199,"Consumer Goods",0.14,"Finland",8668,"equities",0.04
"Attendo AB",175955019,20550811,"Health Care",2.36,"Sweden",4173,"equities",2.36
"Beijer Ref AB",727551672,84974997,"Industrials",1.45,"Sweden",1639,"equities",0.86
"Bergman & Beving AB",1164356,135992,"Industrials",0.04,"Sweden",8892,"equities",0.03
"BioArctic AB",48750208,5693821,"Health Care",0.56,"Sweden",6504,"equities",0.23
"BioGaia AB",9381347,1095702,"Health Care",0.08,"Sweden",8296,"equities",0.06
"Biotage AB",226810961,26490573,"Health Care",2.4,"Sweden",3692,"equities",2.4
"Bonava AB",199638945,23316995,"Consumer Goods",2.24,"Sweden",3942,"equities",1.17
"Boule Diagnostics AB",35668059,4165880,"Health Care",2.96,"Sweden",7012,"equities",2.96
"Bravida Holding AB",626229538,73140995,"Industrials",2.7,"Sweden",1847,"equities",2.7
"Bufab AB",65197738,7614824,"Industrials",0.84,"Sweden",5999,"equities",0.84
"CELLINK AB",59188791,6913004,"Health Care",0.47,"Sweden",6165,"equities",0.37
"Camurus AB",14795533,1728056,"Health Care",0.14,"Sweden",8006,"equities",0.14
"Cargotec Oyj",514494087,60090761,"Industrials",2.24,"Finland",2154,"equities",0.97
"Caverion Oyj",26960515,3148876,"Industrials",0.32,"Finland",7408,"equities",0.32
"Cellavision AB",44979801,5253453,"Health Care",0.59,"Sweden",6636,"equities",0.59
"Cloetta AB",138476362,16173461,"Consumer Goods",1.88,"Sweden",4633,"equities",1.59
"Concentric AB",260115735,30380431,"Industrials",3.56,"Sweden",3407,"equities",3.56
"Coor Service Management Holding AB",255878,29885,"Industrials",0,"Sweden",8987,"equities",0
"Dometic Group AB",886215770,103506301,"Consumer Goods",2.64,"Sweden",1404,"equities",2.64
"Duni AB",315918,36898,"Consumer Goods",0.01,"Sweden",8977,"equities",0.01
"EVN AG",255956683,29894672,"Utilities",0.76,"Austria",3451,"equities",0.76
"Electrolux AB",1072472345,125260291,"Consumer Goods",1.74,"Sweden",1213,"equities",1.4
"Electrolux Professional AB",330823818,38638840,"Industrials",2.37,"Sweden",2970,"equities",1.89
"Elekta AB",791483365,92441951,"Health Care",1.79,"Sweden",1524,"equities",1.33
"Enad Global 7 AB",71989792,8408107,"Consumer Goods",1.24,"Sweden",5821,"equities",1.24
"Enea AB",161493,18862,"Technology",0,"Sweden",8997,"equities",0
"Epiroc AB",4016926066,469160187,"Industrials",2.21,"Sweden",380,"equities",1.57
"Essity AB",7670752818,895911891,"Consumer Goods",3.94,"Sweden",174,"equities",6.77
"Etteplan Oyj",850070,99285,"Industrials",0.03,"Finland",8917,"equities",0.03
"F-Secure Oyj",163466228,19092173,"Technology",2.56,"Finland",4331,"equities",2.56
"FACC AG",35047831,4093440,"Industrials",0.86,"Austria",7036,"equities",0.86
"Fabasoft AG",15263494,1782712,"Technology",0.28,"Austria",7989,"equities",0.28
"Ferronordic AB",71529676,8354367,"Industrials",3,"Sweden",5836,"equities",3
"Fiskars OYJ Abp",45280765,5288604,"Consumer Goods",0.35,"Finland",6624,"equities",0.35
"Flughafen Wien AG",170908054,19961347,"Industrials",0.64,"Austria",4232,"equities",0.64
"Fortnox AB",409850362,47868810,"Technology",1.41,"Sweden",2577,"equities",1.41
"Fortum Oyj",372839502,43546097,"Utilities",0.2,"Finland",2742,"equities",0.2
"Getinge AB",1496018779,174728745,"Health Care",2.74,"Sweden",914,"equities",1.71
"Greater Than AB",25768576,3009662,"Technology",2.99,"Sweden",7458,"equities",2.99
"Hansa Biopharma AB",270698000,31616396,"Health Care",2.35,"Sweden",3329,"equities",2.43
"Hexagon AB",5989477419,699545947,"Technology",2.08,"Sweden",247,"equities",1.5
"Huhtamaki Oyj",1194417141,139502933,"Industrials",2.5,"Finland",1114,"equities",2.5
"Husqvarna AB",1071371197,125131681,"Consumer Goods",1.67,"Sweden",1215,"equities",1.36
"Indutrade AB",1109711581,129609678,"Industrials",1.66,"Sweden",1179,"equities",1.66
"Infant Bacterial Therapeutics AB",38488079,4495247,"Health Care",2.94,"Sweden",6895,"equities",2.25
"Inwido AB",6693764,781804,"Industrials",0.09,"Sweden",8485,"equities",0.09
"KNOW IT AB",48996732,5722614,"Technology",0.77,"Sweden",6490,"equities",0.77
"Kapsch TrafficCom AG",7153388,835486,"Industrials",0.4,"Austria",8457,"equities",0.4
"Karo Pharma AB",85019115,9929878,"Health Care",0.69,"Sweden",5501,"equities",0.69
"Kone Oyj",6023048198,703466874,"Industrials",1.63,"Finland",246,"equities",0.71
"Konecranes Oyj",589896948,68897500,"Industrials",2.47,"Finland",1933,"equities",2.47
"Lagercrantz Group AB",11678210,1363966,"Industrials",0.07,"Sweden",8168,"equities",0.05
"Lassila & Tikanoja Oyj",23554787,2751101,"Industrials",0.38,"Finland",7571,"equities",0.38
"Lifco AB",742506382,86721644,"Industrials",0.99,"Sweden",1614,"equities",0.62
"Lindab International AB",443626421,51813713,"Industrials",3.17,"Sweden",2441,"equities",3.17
"Loomis AB",516540461,60329768,"Industrials",2.91,"Sweden",2150,"equities",2.91
"Lundin Energy AB",1060479544,123859581,"Oil & Gas",1.6,"Sweden",1228,"equities",1.6
"Marimekko Oyj",344524,40239,"Consumer Goods",0.01,"Finland",8973,"equities",0.01
"Mayr Melnhof Karton AG",451730333,52760216,"Industrials",1.31,"Austria",2403,"equities",1.31
"Medicover AB",42100430,4917154,"Health Care",0.16,"Sweden",6749,"equities",0.03
"Mekonomen AB",77263397,9024042,"Consumer Goods",1.44,"Sweden",5698,"equities",1.44
"Metso Outotec Oyj",1417239747,165527683,"Industrials",2,"Finland",961,"equities",2
"Momentum Group AB",5215940,609200,"Industrials",0.07,"Sweden",8593,"equities",0.06
"Munters Group AB",284418207,33218859,"Industrials",1.78,"Sweden",3234,"equities",1.78
"Mycronic AB",560527248,65467241,"Industrials",2.24,"Sweden",2026,"equities",2.24
"NCC AB",439265530,51304379,"Industrials",2.59,"Sweden",2457,"equities",1.26
"Nanoform Finland Plc",146810469,17146850,"Health Care",2.97,"Finland",4525,"equities",2.97
"Neles Oyj",336245603,39272082,"Industrials",1.97,"Finland",2942,"equities",1.97
"Neste Oyj",5234967171,611422301,"Oil & Gas",1.1,"Finland",287,"equities",1.1
"Nibe Industrier AB",1633218011,190753042,"Industrials",1.15,"Sweden",855,"equities",0.56
"Nobia AB",274533212,32064333,"Consumer Goods",2.35,"Sweden",3300,"equities",2.35
"Nokia Oyj",4187534275,489086514,"Technology",2.24,"Finland",367,"equities",2.24
"Nokian Renkaat Oyj",335345580,39166963,"Consumer Goods",0.8,"Finland",2948,"equities",0.8
"Nolato AB",724638317,84634729,"Industrials",3.12,"Sweden",1647,"equities",1.62
"Nordic Waterproofing Holding AB",32591697,3806574,"Industrials",0.79,"Sweden",7147,"equities",0.79
"OMV AG",1308045189,152774215,"Oil & Gas",1.16,"Austria",1028,"equities",1.16
"Oesterreichische Post AG",374015889,43683494,"Industrials",1.84,"Austria",2732,"equities",1.84
"Oriola Oyj",95737970,11181795,"Health Care",2.65,"Finland",5292,"equities",0.4
"Orion Oyj",1061494520,123978126,"Health Care",1.91,"Finland",1227,"equities",0.33
"Palfinger AG",165976867,19385405,"Industrials",1.63,"Austria",4295,"equities",1.63
"Peab AB",584045459,68214070,"Industrials",2.11,"Sweden",1950,"equities",1.03
"Ponsse Oyj",294580,34406,"Industrials",0,"Finland",8983,"equities",0
"Porr Ag",38851282,4537667,"Industrials",0.99,"Austria",6878,"equities",0.99
"Probi AB",1054569,123169,"Health Care",0.02,"Sweden",8903,"equities",0.02
"QT Group Oyj",11537316,1347510,"Technology",0.08,"Finland",8177,"equities",0.08
"Raisio Oyj",136955845,15995871,"Consumer Goods",2.48,"Finland",4644,"equities",0.54
"Rovio Entertainment Oyj",18178434,2123165,"Technology",0.34,"Finland",7821,"equities",0.34
"SKF AB",528159243,61686794,"Industrials",0.52,"Sweden",2114,"equities",0.32
"Saab AB",492683710,57543400,"Industrials",1.45,"Sweden",2247,"equities",1.25
"Sandvik AB",4462594039,521212345,"Industrials",1.7,"Sweden",343,"equities",1.7
"Scandi Standard AB",1456060,170062,"Consumer Goods",0.03,"Sweden",8870,"equities",0.03
"Schoeller-Bleckmann Oilfield Equipment AG",109223756,12756879,"Oil & Gas",2.1,"Austria",5062,"equities",2.1
"Sectra AB",553231501,64615129,"Health Care",1.88,"Sweden",2046,"equities",1.88
"Securitas AB",1008126397,117744953,"Industrials",2,"Sweden",1281,"equities",1.4
"Semperit AG Holding",7193531,840174,"Industrials",0.14,"Austria",8455,"equities",0.14
"Sinch AB",1232368020,143935438,"Technology",1.5,"Sweden",1089,"equities",1.5
"Skanska AB",1850105059,216084544,"Industrials",2.02,"Sweden",766,"equities",1.42
"Strabag SE",238746408,27884583,"Industrials",0.73,"Austria",3585,"equities",0.73
"Sweco AB",592032111,69146878,"Industrials",1.04,"Sweden",1927,"equities",0.58
"Swedish Orphan Biovitrum AB",783488245,91508155,"Health Care",1.49,"Sweden",1539,"equities",1.49
"Telefonaktiebolaget LM Ericsson",5907045882,689918287,"Technology",1.74,"Sweden",249,"equities",1.02
"Terveystalo Oyj",94699816,11060543,"Health Care",0.7,"Finland",5308,"equities",0.7
"Thule Group AB",872049201,101851704,"Consumer Goods",2.6,"Sweden",1422,"equities",2.6
"TietoEVRY Oyj",785472052,91739855,"Technology",2.36,"Finland",1532,"equities",2.36
"Tikkurila Oyj",44403262,5186116,"Industrials",0.39,"Finland",6660,"equities",0.39
"Trelleborg AB",1090606749,127378313,"Industrials",2.11,"Sweden",1195,"equities",1.09
"Uponor Oyj",292541141,34167583,"Industrials",2.1,"Finland",3188,"equities",2.1
"VBG Group AB",37493480,4379082,"Consumer Goods",0.89,"Sweden",6938,"equities",0.48
"Valmet Oyj",957228895,111800337,"Industrials",2.61,"Finland",1331,"equities",2.61
"Verbund AG",873394661,102008849,"Utilities",0.34,"Austria",1421,"equities",0.34
"Vitrolife AB",461965460,53955636,"Health Care",1.89,"Sweden",2365,"equities",1.89
"Volati AB",25501464,2978465,"Industrials",0.3,"Sweden",7469,"equities",0.3
"Volvo AB",9773383691,1141490395,"Industrials",2.37,"Sweden",126,"equities",4.21
"Wartsila OYJ Abp",168182314,19642992,"Industrials",0.33,"Finland",4267,"equities",0.33
"Wienerberger AG",1008139413,117746473,"Industrials",3.2,"Austria",1280,"equities",3.2
"YIT Oyj",248254914,28995137,"Industrials",2.28,"Finland",3496,"equities",2.28
