rid,gen_name,country,date,month,year,period,output,capacity_ofgem,capacity_ref,capacity_is,cap_mw,days_month,max_output,load_factor,start,smonth,syear,speriod,mage,yage,decc_wind,nasa_wind,nasa_LF,performance,WC_LF
R00001RQWA_A,Hafoty Ucha 1,WA,2002-04,4,2002,268,150,600,,,0.6,30,432,34.722222,1998-09,9,1998,225,43,3,4.701482,6.642134,31.841677,1.090465,35.398513
R00001RQWA_A,Hafoty Ucha 1,WA,2002-05,5,2002,269,191,600,,,0.6,31,446.4,42.786738,1998-09,9,1998,225,44,3,5.113346,7.142074,37.079715,1.153912,37.45812
R00001RQWA_A,Hafoty Ucha 1,WA,2002-06,6,2002,270,168,600,,,0.6,30,432,38.888889,1998-09,9,1998,225,45,3,5.07538,6.716851,31.468273,1.235813,40.116778
R00001RQWA_A,Hafoty Ucha 1,WA,2002-07,7,2002,271,87,600,,,0.6,31,446.4,19.489247,1998-09,9,1998,225,46,3,3.614049,4.898353,16.869298,1.155309,37.50347
R00001RQWA_A,Hafoty Ucha 1,WA,2002-08,8,2002,272,68,600,,,0.6,31,446.4,15.232975,1998-09,9,1998,225,47,3,3.237913,4.465051,13.680205,1.113505,36.146434
R00001RQWA_A,Hafoty Ucha 1,WA,2002-09,9,2002,273,41,600,,,0.6,30,432,9.490741,1998-09,9,1998,225,48,3,3.174997,4.748869,14.636244,0.648441,21.049596
R00001RQWA_A,Hafoty Ucha 1,WA,2002-10,10,2002,274,128,600,,,0.6,31,446.4,28.673835,1998-09,9,1998,225,49,4,4.30199,6.802308,31.786084,0.902088,29.283447
R00001RQWA_A,Hafoty Ucha 1,WA,2002-11,11,2002,275,189,600,,,0.6,30,432,43.75,1998-09,9,1998,225,50,4,4.875416,7.614357,41.23145,1.061083,34.444719
R00001RQWA_A,Hafoty Ucha 1,WA,2002-12,12,2002,276,156,600,,,0.6,31,446.4,34.946237,1998-09,9,1998,225,51,4,4.344355,7.413744,37.988706,0.919911,29.862015
R00001RQWA_A,Hafoty Ucha 1,WA,2003-01,1,2003,277,225,600,,,0.6,31,446.4,50.403226,1998-09,9,1998,225,52,4,5.769031,8.48612,48.494975,1.039349,33.739193
R00001RQWA_A,Hafoty Ucha 1,WA,2003-02,2,2003,278,145,600,,,0.6,28,403.2,35.962302,1998-09,9,1998,225,53,4,4.55484,7.368917,38.63834,0.930741,30.213576
R00001RQWA_A,Hafoty Ucha 1,WA,2003-03,3,2003,279,127,600,,,0.6,31,446.4,28.449821,1998-09,9,1998,225,54,4,4.462239,6.543408,30.954875,0.919074,29.834844
R00001RQWA_A,Hafoty Ucha 1,WA,2003-04,4,2003,280,146,600,,,0.6,30,432,33.796296,1998-09,9,1998,225,55,4,4.386565,6.463995,30.852428,1.095418,35.559297
R00001RQWA_A,Hafoty Ucha 1,WA,2003-05,5,2003,281,190,600,,,0.6,31,446.4,42.562724,1998-09,9,1998,225,56,4,5.137397,7.194563,36.956468,1.151699,37.386282
R00001RQWA_A,Hafoty Ucha 1,WA,2003-06,6,2003,282,102,600,,,0.6,30,432,23.611111,1998-09,9,1998,225,57,4,4.411927,5.669361,23.769742,0.993326,32.245201
R00001RQWA_A,Hafoty Ucha 1,WA,2003-07,7,2003,283,105,600,,,0.6,31,446.4,23.521505,1998-09,9,1998,225,58,4,4.386719,5.909467,24.118759,0.975237,31.657999
R00001RQWA_A,Hafoty Ucha 1,WA,2003-08,8,2003,284,42,600,,,0.6,31,446.4,9.408602,1998-09,9,1998,225,59,4,3.644325,4.463544,12.862911,0.731452,23.744286
R00001RQWA_A,Hafoty Ucha 1,WA,2003-09,9,2003,285,76,600,,,0.6,30,432,17.592593,1998-09,9,1998,225,60,4,3.689081,4.947043,17.834021,0.986463,32.022416
R00001RQWA_A,Hafoty Ucha 1,WA,2003-10,10,2003,286,124,600,,,0.6,31,446.4,27.777778,1998-09,9,1998,225,61,5,4.388159,6.827553,33.424658,0.831056,26.977617
R00001RQWA_A,Hafoty Ucha 1,WA,2003-11,11,2003,287,180,600,,,0.6,30,432,41.666667,1998-09,9,1998,225,62,5,5.146193,7.663842,41.673113,0.999845,32.45682
R00001RQWA_A,Hafoty Ucha 1,WA,2003-12,12,2003,288,154,600,,,0.6,31,446.4,34.498208,1998-09,9,1998,225,63,5,4.659015,7.250581,37.292924,0.92506,30.029161
R00001RQWA_A,Hafoty Ucha 1,WA,2004-01,1,2004,289,223,600,,,0.6,31,446.4,49.955197,1998-09,9,1998,225,64,5,5.256156,8.54522,48.741602,1.024899,33.270119
R00001RQWA_A,Hafoty Ucha 1,WA,2004-02,2,2004,290,143,600,,,0.6,29,417.6,34.243295,1998-09,9,1998,225,65,5,4.847713,7.292317,37.23985,0.919534,29.849776
R00001RQWA_A,Hafoty Ucha 1,WA,2004-03,3,2004,291,164,600,,,0.6,31,446.4,36.738351,1998-09,9,1998,225,66,5,4.962099,7.277024,37.151996,0.988866,32.100422
R00001RQWA_A,Hafoty Ucha 1,WA,2004-04,4,2004,292,152,600,,,0.6,30,432,35.185185,1998-09,9,1998,225,67,5,4.79259,6.323121,30.578966,1.150634,37.35171
R00001RQWA_A,Hafoty Ucha 1,WA,2004-05,5,2004,293,56,600,,,0.6,31,446.4,12.544803,1998-09,9,1998,225,68,5,3.531352,4.227734,12.364069,1.014618,32.936379
R00001RQWA_A,Hafoty Ucha 1,WA,2004-06,6,2004,294,149,600,,,0.6,30,432,34.490741,1998-09,9,1998,225,69,5,4.49501,6.218615,27.901587,1.236157,40.127945
R00001RQWA_A,Hafoty Ucha 1,WA,2004-07,7,2004,295,96,600,,,0.6,31,446.4,21.505376,1998-09,9,1998,225,70,5,3.918472,5.500586,21.561296,0.997406,32.377646
