"Ticker","SimFinId","Company Name","IndustryId","Industry"
"MON",79638,"Monsanto",110003,"Agriculture"
"MOS",94993,"MOSAIC CO",110003,"Agriculture"
"SMG",355003,"SCOTTS MIRACLE-GRO CO",110003,"Agriculture"
"LMNR",1077535,"Limoneira CO",110003,"Agriculture"
"BFB",185450,"BROWN FORMAN CORP",102004,"Beverages - Alcoholic"
"TAP",248956,"MOLSON COORS BREWING CO",102004,"Beverages - Alcoholic"
"KO",82117,"COCA COLA CO",102005,"Beverages - Non-Alcoholic"
"COKE",156024,"COCA COLA BOTTLING CO CONSOLIDATED /DE/",102005,"Beverages - Non-Alcoholic"
"FIZZ",199147,"NATIONAL BEVERAGE CORP",102005,"Beverages - Non-Alcoholic"
"PEP",218222,"PEPSICO INC",102005,"Beverages - Non-Alcoholic"
"MNST",333441,"Monster Beverage Corp",102005,"Beverages - Non-Alcoholic"
"DPS",378130,"Keurig Dr Pepper Inc.",102005,"Beverages - Non-Alcoholic"
"JSDA",727078,"JONES SODA CO",102005,"Beverages - Non-Alcoholic"
"COT",727266,"COTT CORP /CN/",102005,"Beverages - Non-Alcoholic"
"BRID",33021,"BRIDGFORD FOODS CORP",102002,"Consumer Packaged Goods"
"JVA",40037,"COFFEE HOLDING CO INC",102002,"Consumer Packaged Goods"
"CYAN",65022,"CYANOTECH CORP",102002,"Consumer Packaged Goods"
"ADM",66997,"ARCHER DANIELS MIDLAND CO",102002,"Consumer Packaged Goods"
"GIS",78526,"GENERAL MILLS INC",102002,"Consumer Packaged Goods"
"HELE",91621,"HELEN OF TROY LTD",102002,"Consumer Packaged Goods"
"K",97995,"KELLOGG CO",102002,"Consumer Packaged Goods"
"PG",133209,"PROCTER & GAMBLE Co",102002,"Consumer Packaged Goods"
"TSN",138054,"TYSON FOODS INC",102002,"Consumer Packaged Goods"
"EL",172930,"ESTEE LAUDER COMPANIES INC",102002,"Consumer Packaged Goods"
"CLX",218764,"CLOROX CO /DE/",102002,"Consumer Packaged Goods"
"CENT",239618,"CENTRAL GARDEN & PET CO",102002,"Consumer Packaged Goods"
"SANW",246310,"S&W Seed Co",102002,"Consumer Packaged Goods"
"HSY",248677,"HERSHEY CO",102002,"Consumer Packaged Goods"
"CPB",249099,"CAMPBELL SOUP CO",102002,"Consumer Packaged Goods"
"MKC",251282,"MCCORMICK & CO INC",102002,"Consumer Packaged Goods"
"LANC",253076,"LANCASTER COLONY CORP",102002,"Consumer Packaged Goods"
"SJM",254348,"J M SMUCKER Co",102002,"Consumer Packaged Goods"
"CL",255327,"COLGATE PALMOLIVE CO",102002,"Consumer Packaged Goods"
"NAII",257524,"NATURAL ALTERNATIVES INTERNATIONAL INC",102002,"Consumer Packaged Goods"
"CAG",326285,"CONAGRA FOODS INC /DE/",102002,"Consumer Packaged Goods"
"HLF",335043,"HERBALIFE LTD.",102002,"Consumer Packaged Goods"
"AVP",335142,"AVON PRODUCTS INC",102002,"Consumer Packaged Goods"
"NUTR",357986,"NUTRACEUTICAL INTERNATIONAL CORP",102002,"Consumer Packaged Goods"
"HRL",375369,"HORMEL FOODS CORP /DE/",102002,"Consumer Packaged Goods"
"COTY",376164,"COTY INC.",102002,"Consumer Packaged Goods"
"CHD",378113,"Church & Dwight",102002,"Consumer Packaged Goods"
"MDLZ",378190,"Mondelez International",102002,"Consumer Packaged Goods"
"NWL",378194,"Newell Rubbermaid Co.",102002,"Consumer Packaged Goods"
"KMB",384594,"KIMBERLY CLARK CORP",102002,"Consumer Packaged Goods"
"PPC",423305,"PILGRIMS PRIDE CORP",102002,"Consumer Packaged Goods"
"BG",445920,"Bunge LTD",102002,"Consumer Packaged Goods"
"NHTC",511953,"NATURAL HEALTH TRENDS CORP",102002,"Consumer Packaged Goods"
"UG",512245,"UNITED GUARDIAN INC",102002,"Consumer Packaged Goods"
"RMCF",515680,"ROCKY MOUNTAIN CHOCOLATE FACTORY INC",102002,"Consumer Packaged Goods"
"TR",527072,"TOOTSIE ROLL INDUSTRIES INC",102002,"Consumer Packaged Goods"
"FLO",531177,"FLOWERS FOODS INC",102002,"Consumer Packaged Goods"
"INGR",610276,"Ingredion Inc",102002,"Consumer Packaged Goods"
"REV",639819,"REVLON INC /DE/",102002,"Consumer Packaged Goods"
"SAFM",684669,"SANDERSON FARMS INC",102002,"Consumer Packaged Goods"
"NATR",687929,"NATURES SUNSHINE PRODUCTS INC",102002,"Consumer Packaged Goods"
"KHC",693432,"Kraft Heinz Co",102002,"Consumer Packaged Goods"
"TIS",693955,"Orchids Paper Products CO /DE",102002,"Consumer Packaged Goods"
"USNA",741592,"USANA HEALTH SCIENCES INC",102002,"Consumer Packaged Goods"
"ALCO",798086,"ALICO INC",102002,"Consumer Packaged Goods"
"DF",824643,"DEAN FOODS CO",102002,"Consumer Packaged Goods"
"IPAR",853111,"INTER PARFUMS INC",102002,"Consumer Packaged Goods"
"ATK",858017,"Simply Good Foods Co",102002,"Consumer Packaged Goods"
"JJSF",968241,"J&J SNACK FOODS CORP",102002,"Consumer Packaged Goods"
"MGPI",968242,"MGP INGREDIENTS INC",102002,"Consumer Packaged Goods"
"CALM",776100,"CAL-MAINE FOODS INC",102002,"Consumer Packaged Goods"
"JOY",39382,"JOY GLOBAL INC",100009,"Farm & Construction Machinery"
"LNN",80469,"LINDSAY CORP",100009,"Farm & Construction Machinery"
"ALG",128246,"ALAMO GROUP INC",100009,"Farm & Construction Machinery"
