"Type matvare","Type","Oslo","Østre Østland","Vestre Østland","Vestlandet","Midt-Norge","Nord-Norge"
"Pakket mat, matoljer og tobakk","Hovedgrupper","1,00","1,04","1,04","0,97","0,91","0,86"
"Kjølevarer","Hovedgrupper","1,00","1,00","0,99","0,92","0,84","0,79"
"Drikkevarer","Hovedgrupper","1,00","0,95","0,96","0,91","0,86","0,81"
"Sjokolade og sukkervarer","Hovedgrupper","1,00","1,03","1,05","1,00","0,99","0,95"
"Fersk mat","Hovedgrupper","1,00","1,02","0,99","0,91","0,84","0,77"
"Dypfryst","Hovedgrupper","1,00","1,04","1,03","0,98","0,91","0,88"
"Helse og skjønnhet","Hovedgrupper","1,00","1,02","1,00","0,94","0,88","0,84"
"Vaske- og husholdningsprodukter","Hovedgrupper","1,00","1,13","1,12","1,01","0,99","0,99"
"Ost","Kategorier","1,00","1,02","0,98","0,90","0,85","0,80"
"Juice","Kategorier","1,00","0,88","0,90","0,85","0,73","0,67"
"Melk","Kategorier","1,00","0,93","0,97","0,90","0,79","0,71"
"Sjokolade","Kategorier","1,00","1,01","1,03","1,00","0,98","0,93"
"Dypfryst pizza","Kategorier","1,00","1,03","1,00","0,97","0,94","0,88"
"Dypfryst fisk","Kategorier","1,00","1,11","1,07","1,04","0,93","0,86"
"Tannpleie","Kategorier","1,00","1,00","1,00","0,95","0,87","0,82"
"Tøyvaskemidler","Kategorier","1,00","0,95","0,95","0,90","0,80","0,75"
"Vaskeredskaper","Kategorier","1,00","0,90","0,90","0,85","0,85","0,85"
"Såpe","Kategorier","1,00","1,08","1,08","1,00","0,92","0,92"
"Cerealer","Kategorier","1,00","0,97","0,94","0,91","0,84","0,75"
"Barnemat","Kategorier","1,00","0,90","0,92","0,90","0,78","0,68"
"Frukt/bær","Kategorier","1,00","0,92","0,90","0,85","0,78","0,77"
"Grønnsaker/poteter","Kategorier","1,00","0,95","0,93","0,85","0,79","0,74"
