"Kategori","Produkt","01.01.2021","08.01.2021","15.01.2021","22.01.2021","29.01.2021","05.02.2021","12.02.2021","19.02.2021","26.02.2021","05.03.2021","12.03.2021","19.03.2021","26.03.2021","02.04.2021","09.04.2021","16.04.2021","23.04.2021","30.04.2021","07.05.2021","14.05.2021","21.05.2021","28.05.2021","04.06.2021","11.06.2021","18.06.2021","25.06.2021","02.07.2021","09.07.2021","16.07.2021","23.07.2021","30.07.2021","06.08.2021","13.08.2021","20.08.2021","27.08.2021","03.09.2021","10.09.2021","17.09.2021","24.09.2021","01.10.2021","08.10.2021","15.10.2021","22.10.2021","29.10.2021","05.11.2021","12.11.2021","19.11.2021","26.11.2021","03.12.2021","10.12.2021","17.12.2021","24.12.2021","31.12.2021"
"Grønnsaker","Agurk",12,7,12,6,5,6,7,6,8,7,7,8,9,11,8,12,8,10,11,10,10,10,8,9,8,5,11,10,9,8,11,8,10,10,10,7,8,5,8,8,9,8,8,10,6,6,6,5,6,11,5,8,9
"Grønnsaker","Paprika",7,7,7,7,7,6,7,6,7,6,7,7,5,9,4,7,5,8,7,6,7,6,9,5,4,6,5,5,7,4,6,6,7,7,5,5,5,7,5,5,4,5,5,4,5,6,5,3,4,4,6,7,5
"Grønnsaker","Brokkoli",6,7,6,4,5,4,4,4,5,5,4,6,4,5,3,4,5,3,3,3,3,4,3,4,3,3,3,3,4,4,4,4,4,4,4,5,3,4,4,4,5,4,4,5,4,4,3,4,3,3,3,6,5
"Grønnsaker","Blomkål",4,5,5,4,4,4,4,4,4,4,4,5,3,4,3,3,3,4,3,3,3,3,3,3,4,5,4,4,4,4,6,6,6,5,5,5,4,5,4,5,4,4,4,3,4,3,3,3,3,3,3,4,5
"Grønnsaker","Hodekål",3,8,6,8,6,3,2,6,3,3,5,8,0,3,2,9,2,6,5,0,3,5,3,0,3,6,3,2,2,3,2,5,5,3,8,6,6,11,17,8,11,8,2,2,5,2,5,2,2,3,5,5,7
"Grønnsaker","Kålrot",6,7,5,3,4,3,8,3,3,4,4,3,2,4,2,3,2,3,3,3,1,4,3,2,2,3,3,2,2,2,3,3,4,5,2,4,4,6,7,6,6,4,7,5,5,5,4,8,7,8,13,9,9
"Grønnsaker","Kinakål",2,1,1,1,1,1,2,2,1,1,1,3,1,1,3,2,1,1,1,2,1,1,2,1,1,2,1,0,1,1,2,1,2,2,1,1,1,1,1,1,0,1,1,2,1,1,1,1,0,1,1,3,0
"Grønnsaker","Rosenkål",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,1
"Grønnsaker","Isbergsalat",5,8,5,8,5,5,5,6,5,9,5,5,1,9,5,5,9,1,17,5,9,5,13,1,5,9,13,13,9,5,9,5,1,1,5,5,1,5,1,5,1,5,1,9,9,5,1,1,5,5,5,17,18
"Grønnsaker","Purre",1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,2,1,1,2,1,1,0,1,1,1,1,1,1,0,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,0,2,2,1,2
"Grønnsaker","Sjampinjong",2,3,2,2,2,3,2,3,3,4,2,2,2,3,4,2,3,3,4,2,2,2,2,1,5,4,2,3,5,2,3,2,3,4,3,2,2,3,3,3,4,1,4,4,2,3,1,3,2,2,3,4,2
"FRUKT","Banan",31,38,38,31,35,35,36,34,42,36,40,41,35,32,42,27,38,32,26,26,32,26,23,20,26,24,25,29,26,32,30,28,36,35,27,31,33,39,36,22,29,31,29,30,30,30,23,20,23,16,22,30,26
"FRUKT","Drue",5,5,7,5,9,11,11,7,8,6,6,12,12,10,19,8,4,8,12,10,8,8,8,8,6,6,6,10,12,6,12,10,6,12,4,6,8,19,12,6,4,10,10,12,12,10,10,6,6,17,12,18,9
"FRUKT","Melon",6,7,13,7,7,6,8,5,13,7,11,8,8,9,14,12,19,16,24,17,20,20,21,14,25,18,28,18,21,18,11,14,10,11,8,9,11,10,8,11,10,3,5,11,5,8,4,5,3,9,13,9,23
"FRUKT","Kiwi",1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,1,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,1
"FRUKT","Ananas",2,1,2,1,2,2,2,1,1,1,2,1,1,2,1,1,2,1,3,2,3,2,2,2,2,2,2,2,2,3,2,1,1,2,2,1,2,2,1,1,1,2,1,2,2,2,2,1,1,1,2,2,2
"FRUKT","Pære",7,8,7,7,9,8,5,5,7,6,8,7,10,9,5,5,5,7,6,5,5,9,5,6,5,5,3,9,8,5,5,6,5,7,7,12,7,12,9,8,7,5,7,7,6,7,8,7,4,5,7,8,6
"FRUKT","Appelsin",18,15,15,15,15,14,14,13,15,19,28,28,22,24,17,13,13,8,10,9,6,9,6,9,6,11,4,5,8,7,6,5,5,9,7,6,9,9,9,10,10,10,9,11,16,11,16,14,16,26,25,20,18
"BÆR","Jordbær",3,2,2,3,3,4,3,3,3,4,4,4,5,4,6,6,7,11,12,8,10,8,8,11,11,13,13,14,8,9,5,4,4,4,3,3,3,3,3,3,4,3,2,3,3,2,2,2,3,2,4,4,2
"BÆR","Blåbær",1,1,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2,2,3,2,2,1,1,1,2,1,3,3,4,4,5,5,5,4,3,2,2,2,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1
"BÆR","Bringebær",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,3,3,2,2,2,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0
"FRUKT","Fersken",3,3,3,3,4,2,1,2,2,3,2,0,3,3,4,3,3,4,3,2,6,3,6,2,4,4,4,5,2,4,4,4,2,4,3,2,2,4,2,2,2,1,2,2,3,2,2,2,1,2,2,4,0
