"Dato","Agurk","Paprika","Brokkoli","Blomkål","Hodekål","Kålrot","Kinakål","Rosenkål","Isbergsalat","Purre","Sjampinjong","Banan","Drue","Melon","Kiwi","Ananas","Pære","Appelsin","Jordbær","Blåbær","Bringebær","Fersken"
"01.01.2021",12,7,6,4,3,6,2,0,5,1,2,31,5,6,1,2,7,18,3,1,1,3
"08.01.2021",7,7,7,5,8,7,1,0,8,1,3,38,5,7,1,1,8,15,2,1,1,3
"15.01.2021",12,7,6,5,6,5,1,0,5,1,2,38,7,13,1,2,7,15,2,2,1,3
"22.01.2021",6,7,4,4,8,3,1,0,8,1,2,31,5,7,1,1,7,15,3,2,1,3
"29.01.2021",5,7,5,4,6,4,1,0,5,1,2,35,9,7,1,2,9,15,3,2,1,4
"05.02.2021",6,6,4,4,3,3,1,0,5,1,3,35,11,6,1,2,8,14,4,2,1,2
"12.02.2021",7,7,4,4,2,8,2,0,5,1,2,36,11,8,1,2,5,14,3,2,1,1
"19.02.2021",6,6,4,4,6,3,2,0,6,1,3,34,7,5,1,1,5,13,3,2,1,2
"26.02.2021",8,7,5,4,3,3,1,0,5,1,3,42,8,13,1,1,7,15,3,2,1,2
"05.03.2021",7,6,5,4,3,4,1,0,9,2,4,36,6,7,1,1,6,19,4,1,1,3
"12.03.2021",7,7,4,4,5,4,1,0,5,1,2,40,6,11,2,2,8,28,4,1,1,2
"19.03.2021",8,7,6,5,8,3,3,0,5,2,2,41,12,8,2,1,7,28,4,2,1,0
"26.03.2021",9,5,4,3,0,2,1,0,1,1,2,35,12,8,1,1,10,22,5,1,1,3
"02.04.2021",11,9,5,4,3,4,1,0,9,1,3,32,10,9,2,2,9,24,4,2,1,3
"09.04.2021",8,4,3,3,2,2,3,0,5,1,4,42,19,14,2,1,5,17,6,2,1,4
"16.04.2021",12,7,4,3,9,3,2,0,5,1,2,27,8,12,1,1,5,13,6,2,1,3
"23.04.2021",8,5,5,3,2,2,1,0,9,1,3,38,4,19,2,2,5,13,7,2,1,3
"30.04.2021",10,8,3,4,6,3,1,0,1,1,3,32,8,16,1,1,7,8,11,2,1,4
"07.05.2021",11,7,3,3,5,3,1,0,17,2,4,26,12,24,2,3,6,10,12,3,2,3
"14.05.2021",10,6,3,3,0,3,2,0,5,1,2,26,10,17,2,2,5,9,8,2,1,2
"21.05.2021",10,7,3,3,3,1,1,0,9,1,2,32,8,20,2,3,5,6,10,2,1,6
"28.05.2021",10,6,4,3,5,4,1,0,5,2,2,26,8,20,1,2,9,9,8,1,1,3
"04.06.2021",8,9,3,3,3,3,2,0,13,1,2,23,8,21,1,2,5,6,8,1,1,6
"11.06.2021",9,5,4,3,0,2,1,0,1,1,1,20,8,14,1,2,6,9,11,1,1,2
"18.06.2021",8,4,3,4,3,2,1,0,5,0,5,26,6,25,1,2,5,6,11,2,1,4
"25.06.2021",5,6,3,5,6,3,2,0,9,1,4,24,6,18,1,2,5,11,13,1,1,4
"02.07.2021",11,5,3,4,3,3,1,0,13,1,2,25,6,28,1,2,3,4,13,3,1,4
"09.07.2021",10,5,3,4,2,2,0,0,13,1,3,29,10,18,1,2,9,5,14,3,2,5
"16.07.2021",9,7,4,4,2,2,1,0,9,1,5,26,12,21,1,2,8,8,8,4,3,2
"23.07.2021",8,4,4,4,3,2,1,0,5,1,2,32,6,18,1,3,5,7,9,4,3,4
"30.07.2021",11,6,4,6,2,3,2,0,9,1,3,30,12,11,1,2,5,6,5,5,2,4
"06.08.2021",8,6,4,6,5,3,1,0,5,0,2,28,10,14,1,1,6,5,4,5,2,4
"13.08.2021",10,7,4,6,5,4,2,0,1,1,3,36,6,10,1,1,5,5,4,5,2,2
"20.08.2021",10,7,4,5,3,5,2,0,1,1,4,35,12,11,1,2,7,9,4,4,1,4
"27.08.2021",10,5,4,5,8,2,1,0,5,1,3,27,4,8,1,2,7,7,3,3,1,3
"03.09.2021",7,5,5,5,6,4,1,0,5,2,2,31,6,9,1,1,12,6,3,2,1,2
"10.09.2021",8,5,3,4,6,4,1,0,1,2,2,33,8,11,1,2,7,9,3,2,1,2
"17.09.2021",5,7,4,5,11,6,1,0,5,2,3,39,19,10,1,2,12,9,3,2,1,4
"24.09.2021",8,5,4,4,17,7,1,0,1,1,3,36,12,8,1,1,9,9,3,1,1,2
"01.10.2021",8,5,4,5,8,6,1,0,5,1,3,22,6,11,1,1,8,10,3,1,1,2
"08.10.2021",9,4,5,4,11,6,0,0,1,1,4,29,4,10,1,1,7,10,4,2,1,2
"15.10.2021",8,5,4,4,8,4,1,0,5,1,1,31,10,3,1,2,5,10,3,1,1,1
"22.10.2021",8,5,4,4,2,7,1,0,1,1,4,29,10,5,1,1,7,9,2,1,0,2
"29.10.2021",10,4,5,3,2,5,2,0,9,1,4,30,12,11,1,2,7,11,3,2,1,2
"05.11.2021",6,5,4,4,5,5,1,0,9,1,2,30,12,5,1,2,6,16,3,1,0,3
"12.11.2021",6,6,4,3,2,5,1,0,5,1,3,30,10,8,1,2,7,11,2,1,1,2
