"Dato","Agurk","Ananas","Appelsin","Banan","Blomkål","Blåbær","Bringebær","Brokkoli","Drue","Fersken","Hodekål","Isbergsalat","Jordbær","Kinakål","Kiwi","Kålrot","Melon","Paprika"
"01.01.2021",28.08,5.41,41.94,72.07,10.47,2.93,2.24,14.24,12.17,6.2,7.5,10.74,6.11,3.98,3.4,14.41,13.06,15.88
"01.08.2021",16.34,1.81,34.69,90.19,10.7,2.62,1.64,15.8,12.17,6.2,17.94,19.75,4.81,1.25,2.78,17.49,15.73,16.32
"01.15.2021",28.08,5.86,34.69,88.8,12.57,3.71,1.94,13.13,17.07,7.16,14.46,10.74,5.85,2.16,2.95,12.36,31.73,17.2
"01.22.2021",14.87,2.71,34.69,73.47,9.3,3.56,2.04,10.46,12.17,7.16,17.94,19.75,7.4,2.16,2.82,7.24,15.73,17.64
"01.29.2021",11.94,3.61,34.69,81.83,10.23,4.03,1.94,11.57,21.97,9.09,14.46,10.74,6.37,3.07,2.89,9.29,15.73,17.64
"02.05.2021",13.41,4.06,33.48,81.83,10,4.18,2.55,9.57,26.88,5.23,7.5,10.74,8.44,3.07,2.93,7.24,13.06,14.57
"02.12.2021",16.34,3.61,33.48,84.62,9.06,4.34,2.65,8.45,26.88,3.31,4.02,10.74,6.62,4.89,2.89,19.53,18.4,17.2
"02.19.2021",13.5,2.83,29.98,80.23,9.8,4.04,2.56,10.18,15.8,4.24,13.86,13.86,7.8,5.06,2.7,6.51,12.92,13.4
"02.26.2021",18,3.17,35.54,98.14,8.79,3.98,1.86,11.34,19.44,4.68,8.04,12.47,8.07,3.42,3.14,6.29,31.46,15.97
"03.05.2021",16.53,1.83,45.21,85.6,9.26,2.1,2.26,11.12,14.54,7.57,8.04,21.48,8.59,2.51,3.17,9.36,15.45,13.77
"03.12.2021",16.53,3.62,66.96,93.96,9.96,2.42,2.37,9.56,14.54,5.65,11.52,12.47,8.85,2.51,3.63,8.34,26.12,15.97
"03.19.2021",19.47,3.17,66.96,96.75,11.13,3.98,1.86,13.12,29.24,0.83,18.49,12.47,9.1,7.97,3.63,7.32,18.12,15.97
"03.26.2021",20.94,3.17,51.25,81.42,6.46,3.51,1.96,9.34,29.24,6.61,1.08,3.47,12.47,2.51,3.06,4.24,18.12,12.9
"04.02.2021",26.81,4.07,57.29,75.84,9.26,4.77,2.06,12.01,24.34,7.57,8.04,21.48,9.62,2.51,4.33,8.34,20.79,21.67
"04.09.2021",18,3.17,39.17,99.54,7.16,3.83,2.67,7.56,43.95,8.54,4.56,12.47,14.8,7.06,4.23,4.24,34.12,9.38
"04.16.2021",28.28,3.17,29.5,64.69,8.09,4.14,1.86,8.67,19.44,7.57,21.97,12.47,13.77,4.33,3.02,7.32,28.79,15.53
"04.23.2021",18,5.42,30.7,89.78,7.39,5.71,2.37,10.67,9.63,7.57,4.56,21.48,15.58,2.51,3.72,4.24,44.79,12.9
"04.30.2021",22.41,3.17,19.83,75.84,8.33,4.61,2.97,8,19.44,8.54,15,3.47,24.91,2.51,3.42,6.29,36.79,19.92
"05.07.2021",26.81,6.77,24.66,61.9,7.86,6.02,4.69,8.23,29.24,6.61,11.52,39.49,28.53,3.42,4.18,6.29,55.46,15.97
"05.14.2021",22.41,5.42,21.04,60.51,7.62,3.83,2.87,7.78,24.34,4.68,1.08,12.47,19.47,5.24,3.72,7.32,39.46,14.21
"05.21.2021",22.41,6.32,13.78,74.45,7.16,3.98,2.26,8,19.44,13.36,8.04,21.48,22.83,2.51,3.76,3.22,47.46,17.28
"05.28.2021",23.87,5.42,21.04,61.9,6.92,1.95,3.28,8.45,19.44,7.57,11.52,12.47,19.73,2.51,3.23,10.39,47.46,14.65
"06.04.2021",19.47,5.42,14.99,54.93,7.86,3.2,1.76,7.56,19.44,13.36,8.04,30.49,18.95,4.33,3.42,6.29,50.13,20.8
"06.11.2021",20.94,4.97,22.24,47.96,7.86,3.51,2.97,8.45,19.44,5.65,1.08,3.47,24.91,3.42,3.14,5.27,34.12,11.58
"06.18.2021",19.47,5.87,13.78,60.51,9.49,4.61,2.26,7.33,14.54,9.5,8.04,12.47,26.2,3.42,3.08,5.27,58.13,10.26
"06.25.2021",12.13,4.97,25.87,56.33,10.66,3.2,2.16,7.33,14.54,8.54,15,21.48,31.64,4.33,3.06,7.32,42.13,13.77
"07.02.2021",26.81,4.07,8.95,57.72,9.03,6.18,2.57,6.67,14.54,10.47,8.04,30.49,30.09,2.51,3.31,6.29,66.13,11.58
"07.09.2021",23.87,5.42,11.37,68.87,9.96,6.8,5.2,6.22,24.34,12.4,4.56,30.49,32.16,0.69,3,4.24,42.13,11.58
"07.16.2021",20.94,5.87,19.83,60.51,9.73,10.09,7.01,8.89,29.24,4.68,4.56,21.48,18.95,2.51,3.34,5.27,50.13,15.53
"07.23.2021",19.47,7.22,16.2,74.45,9.96,9.15,7.12,10.45,14.54,10.47,8.04,12.47,21.02,3.42,3.32,5.27,42.13,10.26
"07.30.2021",25.34,3.62,14.99,71.66,14.16,11.81,5.2,9.56,29.24,8.54,4.56,21.48,12.73,4.33,3.27,7.32,26.12,14.65
"08.06.2021",18,2.28,12.58,66.08,13.46,11.66,4.59,10.45,24.34,9.5,11.52,12.47,10.14,2.51,3.21,7.32,34.12,14.21
"08.13.2021",22.41,2.28,11.37,84.2,13.93,10.72,4.29,9.12,14.54,3.72,11.52,3.47,10.4,4.33,2.68,9.36,23.45,16.41
"08.20.2021",22.41,3.62,21.04,81.42,12.53,8.99,2.67,10.01,29.24,9.5,8.04,3.47,8.33,4.33,3.04,11.41,26.12,17.28
"08.27.2021",22.41,4.52,17.41,63.3,12.29,6.96,2.47,8.67,9.63,6.61,18.49,12.47,7.81,3.42,2.83,5.27,18.12,11.58
"09.03.2021",16.53,2.73,13.78,73.05,11.13,5.86,1.86,11.12,14.54,4.68,15,12.47,7.55,2.51,3,10.39,20.79,11.58
"09.10.2021",19.47,5.87,22.24,77.23,9.73,4.77,1.66,8.23,19.44,3.72,15,3.47,6.25,1.6,2.59,10.39,26.12,11.58
"09.17.2021",12.13,3.62,21.04,92.57,12.06,3.83,1.46,10.45,43.95,8.54,25.45,12.47,8.07,1.6,2.89,13.46,23.45,16.41
"09.24.2021",18,3.17,22.24,85.6,9.96,3.51,1.66,10.23,29.24,5.65,39.37,3.47,6.51,1.6,2.81,15.51,18.12,12.9
"10.01.2021",19.47,1.83,23.45,50.75,10.89,2.89,1.76,9.56,14.54,4.68,18.49,12.47,7.29,3.42,2.81,14.49,26.12,10.7
"10.08.2021",20.94,1.83,23.45,67.48,9.73,3.98,1.76,11.34,9.63,3.72,25.45,3.47,8.33,0.69,2.59,14.49,23.45,9.38
"10.15.2021",19.47,4.52,24.66,73.05,8.33,2.57,2.67,10.01,24.34,2.75,18.49,12.47,7.29,3.42,3.15,10.39,7.45,12.46
"10.22.2021",19.47,3.17,22.24,68.87,8.56,2.89,0.95,9.56,24.34,4.68,4.56,3.47,4.96,3.42,2.78,15.51,12.78,12.9
"10.29.2021",23.87,3.62,25.87,71.66,8.09,3.83,1.76,11.56,29.24,5.65,4.56,21.48,6.51,5.24,3.15,12.44,26.12,8.95
"11.05.2021",13.6,3.62,36.75,71.66,8.56,2.42,1.05,9.56,29.24,7.57,11.52,21.48,6.77,3.42,3.25,11.41,12.78,12.9
"11.12.2021",13.6,4.52,25.87,71.66,6.92,2.26,1.35,9.12,24.34,3.72,4.56,12.47,5.48,2.51,3.12,12.44,18.12,14.21
