"Time measured","Globalstråling (Q0)","Middeltemperatur i 2m høyde (TM)","Vindhastighet i 2m"," 60 min middel (FM2)","Timestamp","GHI","Middeltemperatur","Vindhastighet"
"2020-07-07 00:00:00+02",20.6,11.8,1.5,null,"2020-07-07 00:00:00+02",20.6,11.8,1.5
"2020-07-08 00:00:00+02",25.6,13,1.7,null,"2020-07-08 00:00:00+02",25.6,13,1.7
"2020-07-09 00:00:00+02",23.9,13.6,1.2,null,"2020-07-09 00:00:00+02",23.9,13.6,1.2
"2020-07-10 00:00:00+02",17.8,13.2,0.8,null,"2020-07-10 00:00:00+02",17.8,13.2,0.8
"2020-07-11 00:00:00+02",23.5,14.5,1.5,null,"2020-07-11 00:00:00+02",23.5,14.5,1.5
"2020-07-12 00:00:00+02",22.3,13.9,1.2,null,"2020-07-12 00:00:00+02",22.3,13.9,1.2
"2020-07-13 00:00:00+02",21,14.5,1.4,null,"2020-07-13 00:00:00+02",21,14.5,1.4
"2020-07-14 00:00:00+02",6.5,13.4,1.9,null,"2020-07-14 00:00:00+02",6.5,13.4,1.9
"2020-07-15 00:00:00+02",21.4,16.6,1.3,null,"2020-07-15 00:00:00+02",21.4,16.6,1.3
"2020-07-16 00:00:00+02",17.5,15.7,1.4,null,"2020-07-16 00:00:00+02",17.5,15.7,1.4
"2020-07-17 00:00:00+02",17.9,15.5,3.5,null,"2020-07-17 00:00:00+02",17.9,15.5,3.5
"2020-07-18 00:00:00+02",7.1,15.5,3.8,null,"2020-07-18 00:00:00+02",7.1,15.5,3.8
"2020-07-19 00:00:00+02",6.6,15.5,3,null,"2020-07-19 00:00:00+02",6.6,15.5,3
"2020-07-20 00:00:00+02",19,16.2,1.3,null,"2020-07-20 00:00:00+02",19,16.2,1.3
"2020-07-21 00:00:00+02",16.2,13.6,1.4,null,"2020-07-21 00:00:00+02",16.2,13.6,1.4
"2020-07-22 00:00:00+02",24.3,13.2,1.3,null,"2020-07-22 00:00:00+02",24.3,13.2,1.3
"2020-07-23 00:00:00+02",24.6,13.2,1.4,null,"2020-07-23 00:00:00+02",24.6,13.2,1.4
"2020-07-24 00:00:00+02",21.7,14.1,1.5,null,"2020-07-24 00:00:00+02",21.7,14.1,1.5
"2020-07-25 00:00:00+02",23.3,15.7,2.1,null,"2020-07-25 00:00:00+02",23.3,15.7,2.1
"2020-07-26 00:00:00+02",4.4,14.8,2.8,null,"2020-07-26 00:00:00+02",4.4,14.8,2.8
"2020-07-27 00:00:00+02",18.9,15.9,3.3,null,"2020-07-27 00:00:00+02",18.9,15.9,3.3
"2020-07-28 00:00:00+02",7.2,13.8,2.9,null,"2020-07-28 00:00:00+02",7.2,13.8,2.9
"2020-07-29 00:00:00+02",8.5,13.2,1.6,null,"2020-07-29 00:00:00+02",8.5,13.2,1.6
"2020-07-30 00:00:00+02",24.8,16.4,1,null,"2020-07-30 00:00:00+02",24.8,16.4,1
"2020-07-31 00:00:00+02",22.9,18.5,0.9,null,"2020-07-31 00:00:00+02",22.9,18.5,0.9
"2020-08-01 00:00:00+02",22.1,18.4,1.5,null,"2020-08-01 00:00:00+02",22.1,18.4,1.5
"2020-08-02 00:00:00+02",6.6,15.4,1.9,null,"2020-08-02 00:00:00+02",6.6,15.4,1.9
"2020-08-03 00:00:00+02",20.5,15.3,1.5,null,"2020-08-03 00:00:00+02",20.5,15.3,1.5
"2020-08-04 00:00:00+02",22.4,14.6,1.6,null,"2020-08-04 00:00:00+02",22.4,14.6,1.6
"2020-08-05 00:00:00+02",2.2,13.4,3.2,null,"2020-08-05 00:00:00+02",2.2,13.4,3.2
"2020-08-06 00:00:00+02",12.7,17.4,2.2,null,"2020-08-06 00:00:00+02",12.7,17.4,2.2
"2020-08-07 00:00:00+02",20.1,18.4,1.2,null,"2020-08-07 00:00:00+02",20.1,18.4,1.2
"2020-08-08 00:00:00+02",18.8,19.2,1.5,null,"2020-08-08 00:00:00+02",18.8,19.2,1.5
"2020-08-09 00:00:00+02",20.5,18.2,1.7,null,"2020-08-09 00:00:00+02",20.5,18.2,1.7
"2020-08-10 00:00:00+02",10.7,17.9,1.3,null,"2020-08-10 00:00:00+02",10.7,17.9,1.3
"2020-08-11 00:00:00+02",20.7,18.9,0.9,null,"2020-08-11 00:00:00+02",20.7,18.9,0.9
"2020-08-12 00:00:00+02",21,19.7,2,null,"2020-08-12 00:00:00+02",21,19.7,2
"2020-08-13 00:00:00+02",18.4,18.7,1.6,null,"2020-08-13 00:00:00+02",18.4,18.7,1.6
"2020-08-14 00:00:00+02",20.5,19.4,1.1,null,"2020-08-14 00:00:00+02",20.5,19.4,1.1
