"Vejrstation","Nummer"
"Alvdal",10
"Apelsvoll",11
"Brunlanes",143
"Bø",13
"Etne",14
"Frosta",15
"Fureneset",16
"Fåvang",17
"Gausdal",18
"Gjerpen",19
"Gran",20
"Grue",132
"Gvarv",21
"Hjelmeland",22
"Hokksund",23
"Holt",24
"Hønefoss",25
"liseng",26
"Kise",27
"Kvarm",28
"Kvithamar",57
"Landvik",29
"Lier",30
"Linge",31
"Lyngdal",32
"Løken",33
"Meldal",82
"Målselv",104
"Mære",34
"Njøs",35
"Oppdal",81
"Pasvik",36
"Rakkestad",37
"Ramnes",38
"Rennebu",83
"Rindal",130
"Rissa",39
"Roverud",40
"Rygge",41
"Sande",42
"Sandefjord",131
"Sekse",134
"Sigdal_Nedre_Eggedal",142
"Skjetlein",43
"Skjetten",108
"Skogmo",44
"Slinde",64
"Sokna",146
"Soknedal",129
"Sortland",45
"Surnadal",46
"Svelvik",47
"SvelvikSyd",123
"Særheim",48
"Søve",91
"Tingvoll",49
"Tjølling",50
"Tjøtta",51
"Tomb",52
"Ullensvang",54
"Ulvik",55
"Valnesfjord",144
"Vågnønes",56
"Årnes",53
"Ås",5
"Åsbakken",61
"Åsnes",72
"Ørsaker",118
